metabolome_name	module
CPD0651	grey60
CPD0652	mistyrose1
CPD0653	indianred1
CPD0654	skyblue
CPD0655	navajowhite1
CPD0656	coral
CPD0657	yellow
CPD0658	darkolivegreen
CPD0659	indianred2
CPD0660	blue4
CPD0661	whitesmoke
CPD0662	orangered3
CPD0663	tan4
CPD0664	sienna4
CPD0665	yellow3
CPD0666	cyan3
CPD0667	darkseagreen4
CPD0668	mediumpurple3
CPD0669	tan
CPD0670	turquoise
CPD0671	tomato2
CPD0672	seashell
CPD0673	slateblue4
CPD0674	magenta1
CPD0675	blue3
CPD0676	salmon
CPD0677	mediumpurple3
CPD0678	lightblue2
CPD0679	purple2
CPD0680	darkgoldenrod4
CPD0681	cyan
CPD0682	pink
CPD0683	lightgoldenrod2
CPD0684	darkorange
CPD0685	tomato4
CPD0686	mediumpurple2
CPD0687	plum2
CPD0688	plum4
CPD0689	skyblue4
CPD0690	lightpink4
CPD0691	orangered
CPD0692	orangered
CPD0693	magenta3
CPD0694	burlywood2
CPD0695	darkgoldenrod3
CPD0696	thistle2
CPD0697	mediumvioletred
CPD0698	mediumvioletred
CPD0699	yellow
CPD0700	coral4
CPD0701	cyan4
CPD0702	tan4
CPD0703	hotpink3
CPD0704	skyblue2
CPD0705	paleturquoise4
CPD0706	turquoise
CPD0707	deeppink2
CPD0708	plum1
CPD0709	paleturquoise4
CPD0710	red4
CPD0711	slateblue3
CPD0712	rosybrown2
CPD0713	midnightblue
CPD0714	skyblue4
CPD0715	thistle2
CPD0716	purple2
CPD0717	tan3
CPD0718	lightsteelblue
CPD0719	white
CPD0720	mediumpurple4
CPD0721	mistyrose1
CPD0722	coral1
CPD0723	red4
CPD0724	orange
CPD0725	goldenrod3
CPD0726	lightcoral
CPD0727	rosybrown4
CPD0728	salmon1
CPD0729	blue
CPD0730	red
CPD0731	darkolivegreen4
CPD0732	grey60
CPD0733	white
CPD0734	darkslateblue
CPD0735	darkolivegreen
CPD0736	violetred
CPD0737	darkviolet
CPD0738	palevioletred2
CPD0739	salmon4
CPD0740	pink4
CPD0741	goldenrod4
CPD0742	darkgreen
CPD0743	mediumpurple1
CPD0744	darkorchid2
CPD0745	mediumorchid2
CPD0746	blue2
CPD0747	sienna3
CPD0748	lightsalmon4
CPD0749	lavenderblush
CPD0750	indianred4
CPD0751	bisque3
CPD0752	palevioletred3
CPD0753	palevioletred3
CPD0754	palevioletred3
CPD0755	darkviolet
CPD0756	orange
CPD0757	lightskyblue4
CPD0758	navajowhite2
CPD0759	grey60
CPD0760	paleturquoise
CPD0761	mistyrose
CPD0762	rosybrown1
CPD0763	red
CPD0764	tan
CPD0765	red1
CPD0766	skyblue3
CPD0767	brown
CPD0768	lightgoldenrodyellow
CPD0769	thistle1
CPD0770	maroon
CPD0771	coral1
CPD0772	violetred2
CPD0773	deepskyblue
CPD0774	turquoise2
CPD0775	lightgreen
CPD0776	skyblue2
CPD0777	brown3
CPD0778	blue
CPD0779	palevioletred3
CPD0780	yellow
CPD0781	hotpink1
CPD0782	mistyrose2
CPD0783	dodgerblue1
CPD0784	lightblue2
CPD0785	chocolate4
CPD0786	darkgrey
CPD0787	turquoise
CPD0788	lightpink1
CPD0789	lavenderblush2
CPD0790	darkolivegreen2
CPD0791	navajowhite2
CPD0792	lavender
CPD0793	magenta
CPD0794	burlywood3
CPD0795	skyblue2
CPD0796	darkgrey
CPD0797	mediumpurple3
CPD0798	chocolate1
CPD0799	sienna1
CPD0800	magenta
CPD0801	mediumorchid
CPD0802	mistyrose1
CPD0803	lavenderblush1
CPD0804	thistle2
CPD0805	midnightblue
CPD0806	darkolivegreen
CPD0807	chocolate
CPD0808	darkolivegreen
CPD0809	bisque3
CPD0810	skyblue3
CPD0811	darkmagenta
CPD0812	coral3
CPD0813	palevioletred3
CPD0814	royalblue
CPD0815	blue
CPD0816	lightpink4
CPD0817	darkturquoise
CPD0818	antiquewhite
CPD0819	tan
CPD0820	lightblue
CPD0821	brown
CPD0822	honeydew1
CPD0823	magenta2
CPD0824	darkseagreen4
CPD0825	turquoise
CPD0826	yellow
CPD0827	lightyellow
CPD0828	green3
CPD0829	maroon
CPD0830	grey60
CPD0831	skyblue
CPD0832	black
CPD0833	green
CPD0834	purple
CPD0835	coral3
CPD0836	black
CPD0837	purple
CPD0838	magenta1
CPD0839	wheat3
CPD0840	yellow2
CPD0841	red4
CPD0842	green1
CPD0843	lightyellow4
CPD0844	orangered4
CPD0845	cyan
CPD0846	lavenderblush3
CPD0847	brown3
CPD0848	blue
CPD0849	palevioletred2
CPD0850	bisque
CPD0851	navajowhite
CPD0852	darkseagreen4
CPD0853	honeydew1
CPD0854	black
CPD0855	lightgreen
CPD0856	paleturquoise
CPD0857	deepskyblue
CPD0858	lightyellow
CPD0859	ivory
CPD0860	tan
CPD0861	turquoise
CPD0862	black
CPD0863	darkorchid4
CPD0864	yellow2
CPD0865	magenta3
CPD0866	grey60
CPD0867	navajowhite3
CPD0868	coral2
CPD0869	lightgoldenrod1
CPD0870	salmon4
CPD0871	springgreen3
CPD0872	darkorange
CPD0873	magenta
CPD0874	salmon
CPD0875	coral4
CPD0876	pink
CPD0877	turquoise
CPD0878	purple
CPD0879	black
CPD0880	darkseagreen4
CPD0881	coral
CPD0882	blue
CPD0883	blue4
CPD0884	maroon
CPD0885	turquoise
CPD0886	peachpuff2
CPD0887	brown2
CPD0888	bisque3
CPD0889	red
CPD0890	floralwhite
CPD0891	darkturquoise
CPD0892	tan
CPD0893	lightgreen
CPD0894	lightblue4
CPD0895	chocolate4
CPD0896	blue
CPD0897	moccasin
CPD0898	tan4
CPD0899	yellow
CPD0900	greenyellow
CPD0901	darkmagenta
CPD0902	salmon4
CPD0903	lightcyan
CPD0904	lightslateblue
CPD0905	magenta
CPD0906	blue
CPD0907	rosybrown2
CPD0908	brown1
CPD0909	green4
CPD0910	skyblue3
CPD0911	navajowhite2
CPD0912	yellow4
CPD0913	blue
CPD0914	brown
CPD0915	black
CPD0916	bisque1
CPD0917	magenta3
CPD0918	mediumpurple2
CPD0919	green
CPD0920	darkgrey
CPD0921	chartreuse4
CPD0922	orange4
CPD0923	orange2
CPD0924	peachpuff4
CPD0925	olivedrab2
CPD0926	grey60
CPD0927	saddlebrown
CPD0928	goldenrod4
CPD0929	lightseagreen
CPD0930	skyblue
CPD0931	lightpink1
CPD0932	burlywood3
CPD0933	lightskyblue2
CPD0934	lightcyan
CPD0935	salmon
CPD0936	antiquewhite2
CPD0937	salmon1
CPD0938	firebrick2
CPD0939	plum2
CPD0940	red
CPD0941	darkgrey
CPD0942	lightblue3
CPD0943	steelblue1
CPD0944	magenta4
CPD0945	steelblue4
CPD0946	palevioletred1
CPD0947	lightblue4
CPD0948	tan
CPD0949	plum
CPD0950	steelblue
CPD0951	mediumorchid
CPD0952	navajowhite4
CPD0953	tan4
CPD0954	lightyellow
CPD0955	lightpink1
CPD0956	saddlebrown
CPD0957	floralwhite
CPD0958	blue
CPD0959	deepskyblue4
CPD0960	chartreuse3
CPD0961	dodgerblue2
CPD0962	brown
CPD0963	magenta4
CPD0964	aquamarine1
CPD0965	pink4
CPD0966	mediumpurple2
CPD0967	green
CPD0968	black
CPD0969	indianred2
CPD0970	lightskyblue2
CPD0971	steelblue1
CPD0972	turquoise
CPD0973	royalblue2
CPD0974	goldenrod3
CPD0975	chocolate2
CPD0976	antiquewhite
CPD0977	lightpink1
CPD0978	honeydew
CPD0979	seashell4
CPD0980	darkolivegreen1
CPD0981	slateblue1
CPD0982	brown4
CPD0983	tan1
CPD0984	lightcyan
CPD0985	rosybrown
CPD0986	tan3
CPD0987	lightcyan
CPD0988	mediumpurple3
CPD0989	mediumpurple1
CPD0990	mediumpurple1
CPD0991	yellowgreen
CPD0992	peru
CPD0993	violet
CPD0994	thistle
CPD0995	darkorange2
CPD0996	ivory
CPD0997	green3
CPD0998	midnightblue
CPD0999	pink
CPD1000	linen
CPD1001	lightgoldenrod2
CPD1002	orangered4
CPD1003	darkseagreen4
CPD1004	coral3
CPD1005	yellow3
CPD1006	lightblue2
CPD1007	linen
CPD1008	maroon
CPD1009	palevioletred2
CPD1010	palevioletred1
CPD1011	violetred2
CPD1012	salmon
CPD1013	blue
