module	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
MEbisque3	-0.451146455815776	-0.180286514413454	-0.296590118873876	-0.274688704775841	-0.308484347870664	-0.254497629921544	0.0583697404564819	0.159567064773062	0.0282083562758445	0.0094684052032967	0.315706989907035	0.296471509619078	0.30473669048098	0.129132452447122	0.175888986334122	0.071055516872454	0.138579464949568	0.151037285405149	-0.127063616171622	0.0624742123512646	-0.00284380541993348	0.0343168039807381	-0.102590265336703	0.0631779795432173
MEbisque4	-0.254646734672172	-0.135914670605858	-0.175062112475361	-0.219402963974324	-0.311028976725823	-0.294479816161103	0.203443134696064	0.214086368658741	0.146155053489274	0.150198201317526	0.197154362048047	0.215711747040078	-0.112056118431119	0.309382069384301	-0.125812803662767	0.0949391365074063	0.331465870632485	0.338645015751335	-0.118164904813532	-0.0966330601052886	-0.222951537561184	-0.0457342686672975	-0.0207358588720506	-0.06855713279738
MEblack	0.252893357336697	-0.0424663652487443	0.136108699845178	0.0441840849657151	0.348816334908452	0.331912139493455	-0.328051708304691	-0.321343921097368	-0.317168848501395	-0.317980344727358	-0.241372936072142	-0.294608779632544	0.111278041592836	-0.0617926282777582	0.120462358795752	0.110765053513621	0.0150864814428932	-0.0717640943962156	0.164620385866067	0.0998297731777621	0.188780012726227	0.0240467773893103	-0.00351132740094715	0.0512774526051979
MEblanchedalmond	-0.418495052428486	-0.101121510369814	-0.254803117999357	-0.117306211412383	-0.404608352857151	-0.398005941983355	0.0798536449952035	-0.0266075883971943	-0.0600202223466059	0.0840939367468278	0.058322710937519	-0.0482205859977624	-0.123227795337658	0.0987898595592326	-0.0954948462829835	0.0945251797317967	0.203515169424307	0.283538901932677	0.245756095126696	0.221433086112255	0.1501570604262	0.180295915633127	0.156044059765144	0.191585605021763
MEblue	-0.314357034600153	-0.182422187763011	-0.168207658319238	-0.216502351945008	-0.321099300740391	-0.316218936568722	0.306107106697997	0.239736541250312	0.283173218812865	0.331995463762076	0.249628564012714	0.32334732328336	0.0168676253815023	-0.0789212659526818	-0.0129419135872152	-0.126783758499553	-0.167783021074221	-0.0634557096220775	-0.0143441909931201	0.0225589402594828	-0.0438432466084493	0.0477785539563361	0.112294240353915	0.0933929985032818
MEblue1	0.148805591397716	0.155127629752231	0.266164892886159	0.0946615285913634	0.398140473057663	0.378726167460679	-0.294390938843301	-0.00793527691482216	0.102243706193098	-0.0184331725056396	0.341545119971991	-0.102126751930502	-0.120287534827116	-0.165378455038829	-0.0583995866965903	-0.0464003221791865	-0.27086763296331	-0.196151809654529	-0.111765673574893	-0.165511087139015	-0.194451050452963	0.209435401131818	-0.234250103281949	-0.108501114440073
MEblue2	-0.243936793838221	-0.255969995863496	-0.270167017879142	-0.230987808166641	0.0233042669149894	-0.00621126684588131	-0.206152045957858	-0.247929642361715	-0.149695769315883	-0.0871293992918609	-0.248840148171337	-0.321979535172154	0.283389070585058	0.159768563566915	0.217039980761869	0.240510584671094	0.166944090695348	0.138606434911415	0.211991198593349	0.179896778727862	0.148935633716316	0.148314124691355	0.112776109217036	0.237522585811584
MEblue3	0.0625811926231074	-0.178499104547134	-0.0248057496943486	-0.156413201699235	-0.00171157787106353	-0.111043336242382	0.341498722933078	0.216016849487507	0.335966484405279	0.312372167392813	0.326519629449529	0.369684857681056	0.0751899414211365	-0.116835235511182	-0.056533178815775	-0.108460225932539	-0.124114878375198	-0.251519884901928	-0.252797166087161	-0.240655854506665	-0.252990873371065	-0.0494426445819969	-0.0246657407093308	-0.0893411925465056
MEblue4	-0.190823001847289	-0.129820090930189	-0.253875938759371	-0.264630483874035	-0.250426262115293	-0.228878916120408	0.309018759331625	0.317211261073621	0.275609392958249	0.322252790784591	0.251741377408517	0.264418334165146	-0.026344872221232	0.0827775040183105	-0.0429700572346158	-0.0665785481307266	0.123134473684754	0.175786455464455	-0.0401764728796916	-0.0822934047851073	-0.290235787246519	-0.0733339028743009	-0.0084204337112934	-0.173142176159197
MEblueviolet	-0.0415397062873707	-0.111786028136132	-0.10261692145052	-0.153919675407173	-0.261139008508599	-0.325189648188059	0.248726384217097	0.305069541714098	0.380511101708986	0.32215466098098	0.197369589797831	0.346490130733142	-0.00659217820617168	-0.218971748281038	-0.0853189680436099	-0.249944407519847	-0.270038094701612	-0.0903116766579578	0.0273434898332598	0.0459225840315684	-0.0849684765624935	0.0316473278425787	0.0641667698810977	0.0329349572099471
MEbrown	-0.255326145148672	-0.195407121896529	-0.246697792859937	-0.226857289255442	-0.190156149578245	-0.226209091122598	0.158656994095065	0.163200283458717	0.151240755902584	0.124699859454703	0.128820594466453	0.143716277533084	8.78960459404533e-05	0.391522671242729	-0.0803266075889867	0.123583065979379	0.389720317192041	0.38225054088358	-0.0918613354011656	-0.134371830486191	-0.145357311724548	-0.0723036179194872	-0.166477710422277	-0.126147252850198
