genus	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	regulation
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_unclassify_f_Aristaeellaceae	0.006411865	0.004967574	0.005948412	0.006916168	0.007679397	0.006701523	0.003343315	0.003667534	0.002244769	0.00516505	0.004203937	0.004178456	0.006063963	0.005626322	0.005515449	0.004592433	0.005130968	0.008231171	0.001400608	0.002747678	0.002094472	0.000290734	0.002819675	0.001199945	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG_138;g_JAISXK01	0.000885321	0.000882387	0.00114324	0.000969152	0.001178373	0.001233676	0.001767412	0.002267744	0.000987632	0.000686795	0.000601892	0.000993203	0.000146229	0.000132848	0.00020294	0.000131942	0.000174795	0.000182212	5.18763E-06	3.42222E-06	3.52404E-06	2.02869E-06	4.08293E-06	3.01507E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG_138;g_JAJDHH01	0.002344007	0.00236382	0.003311556	0.003462322	0.003293171	0.002935023	0.002145244	0.001819499	0.000636576	0.001075062	0.000686212	0.001010494	0.004066973	0.00664467	0.004610309	0.00460717	0.01140651	0.015506379	1.57446E-05	1.43523E-05	1.60117E-05	8.35485E-06	1.74667E-05	1.61156E-05	Esin
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_CAG_138;g_JAQUTY01	1.08512E-05	1.53966E-05	1.25605E-05	1.18116E-05	1.35392E-05	1.41404E-05	4.15671E-06	3.89339E-06	1.82567E-06	1.52594E-06	4.3866E-06	5.35095E-06	0.002602241	0.004885435	0.001365175	0.002835229	0.000950794	0.000893367	4.51353E-07	5.2123E-07	6.9252E-07	1.61707E-07	3.88488E-07	2.43321E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Christensenellaceae;g_QANA01	0.000919365	0.001133425	0.001617942	0.001015489	0.001179141	0.001447115	0.000472089	0.001101743	0.000284424	0.000556791	0.000670904	0.001243994	0.000443807	0.000219964	0.000250391	0.000187332	0.000279107	0.000296981	0.000131485	0.000274257	0.00031422	4.25093E-05	0.000302929	8.42015E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Christensenellaceae;g_UBA5399	0.00093567	0.000996554	0.001075358	0.001182444	0.001599721	0.001733889	0.000892958	0.000991125	0.000809394	0.000812971	0.001111439	0.001289014	0.000146968	0.000169021	0.000210318	0.000141098	0.000130723	0.000165903	1.63425E-05	1.88011E-05	2.15631E-05	6.38497E-06	2.7377E-05	3.9575E-05	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_DTU072;g_CAG_1782	0.000338712	0.000779417	0.000369662	0.000362109	0.00040929	0.000328243	8.88556E-05	0.000109481	0.000110923	0.000100484	9.90683E-05	0.00011487	0.002532685	0.001629955	0.002021569	0.002065299	0.001236591	0.001883498	0.000171133	0.000145987	0.000159408	5.28438E-05	0.000141478	0.00017833	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Pumilibacteraceae;g_Protoclostridium	0.000855319	0.0012592	0.001045366	0.000520446	0.00060927	0.000606272	0.000614343	0.000708952	0.000788492	0.000693555	0.00066369	0.002449455	0.001129513	0.001268252	0.00129374	0.001198516	0.000822054	0.001049514	2.05747E-06	3.12738E-06	2.20601E-06	1.69547E-06	3.4126E-06	7.93439E-07	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_QAND01;g_UMGS1975	0.002287199	0.002304114	0.002946185	0.003304706	0.004613927	0.00463936	0.000487464	0.000596394	0.000673407	0.000394185	0.000697115	0.000861358	8.22177E-06	1.22726E-05	6.62238E-06	5.13332E-06	1.45378E-05	2.12837E-05	7.00477E-06	6.38112E-06	1.53974E-05	2.69511E-06	1.35285E-05	9.8122E-06	no-sig
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_unclassify_o_Christensenellales;g_unclassify_o_Christensenellales	0.002031214	0.001599995	0.001877389	0.001839723	0.00220688	0.001990159	0.001128877	0.001218519	0.000743951	0.001946603	0.000845473	0.000964679	0.000445687	0.000496853	0.000536682	0.000408495	0.000529326	0.000739977	0.00011125	0.000156232	0.000273596	3.53844E-05	0.00015557	0.000124341	no-sig
