species	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp009777005	27	23	38	31	15	146	0	0	0	0	0	0	96	57	133	89	128	323	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp009784145	2033	687	806	629	664	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp020148105	6908	1274	741	528	616	526	366	930	718	405	1437	2246	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_Methanobrevibacter_C_sp937881195	1290	512	357	262	269	322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_C;s_unclassify_g_Methanobrevibacter_C	1742	364	210	146	190	151	0	0	0	0	0	0	1385	1333	2427	1837	1429	1558	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_D;s_Methanobrevibacter_D_sp031261915	722	297	336	204	299	340	63	113	110	64	172	298	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanobrevibacter_E;s_Methanobrevibacter_E_filiformis	193	95	150	91	137	113	37	53	19	39	164	275	2001	1241	3118	4220	1260	2294	43	13	26	9	13	27
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanosphaera;s_Methanosphaera_sp017430835	79	111	184	115	120	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota;c_Methanobacteria;o_Methanobacteriales;f_Methanobacteriaceae;g_Methanosphaera;s_Methanosphaera_sp946537725	43	42	40	38	66	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Methanobacteriota_B;c_Thermococci;o_Methanofastidiosales;f_Methanofastidiosaceae;g_Methanofastidiosum;s_Methanofastidiosum_sp001587715	22	12	69	12	36	97	887	138	113	7052	140	357	0	0	0	0	0	0	6	5	230	2	8	2
d_Archaea;p_Methanobacteriota_B;c_Thermococci;o_Methanofastidiosales;f_Methanofastidiosaceae;g_Methanofastidiosum;s_Methanofastidiosum_sp012799835	121	68	83	68	87	40	0	0	0	0	0	0	0	0	0	0	0	0	71	280	138	15	55	15
d_Archaea;p_Micrarchaeota;c_Micrarchaeia;o_Anstonellales;f_Bilamarchaeaceae;g_Bilamarchaeum;s_Bilamarchaeum_sp023248035	172	16	18	30	16	20	51	120	44	187	139	528	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Pacearchaeales;f_GW2011-AR1;g_ARS10;s_ARS10_sp002690445	227	169	498	164	149	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Pacearchaeales;f_GW2011-AR1;g_ARS23;s_ARS23_sp002686195	361	308	466	290	1211	916	18	22	30	4	242	33	0	0	0	0	0	0	82	124	943	54	50	38
d_Archaea;p_Nanoarchaeota;c_Nanoarchaeia;o_Pacearchaeales;f_GW2011-AR1;g_JAGVWT01;s_JAGVWT01_sp018304175	144	50	13	44	42	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
