wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
fam01	144.428621162479	148.892742547084	137.009353717146	144.132964262754	145.780929088941	144.954423128301	139.04788443551	141.714853040829	148.303718155133	146.009709475306	51.3101848063843	23.5236243768179	17.7507173866422	62.5731276183614	44.5050087817533	41.7721579597113	83.5046346028859	75.0443945376305	41.8286194252792	30.9294232687379	0	19.3243912660358	53.3730133364192	65.2895652047874	67.8390233625623	6.13026038918793	44.132158850167	23.9554480517519	72.7726445115114	16.3379214542213	44.5332148955341	49.3618500613271	51.0855679878111	76.0352887415954	48.9775247241784	37.1012083587082	50.3032949977079	51.6932250017309	48.9593600324212	33.3114257990002	62.6935095098361	65.5738637262322	67.3512757615973	84.4574214304915	84.2617339694015	87.6279596726095	82.2970394223899	81.9711417333899	69.1376161637709	49.4042604952792
fam02	125.951849232023	130.870533406065	118.10639273736	126.123225530749	127.646354833513	126.692423106908	120.268028623015	122.826315231675	130.256592704379	127.701832926617	49.0934468370832	25.3788472260632	22.6825084891497	56.1851775562819	43.1173511171999	46.1973555009065	80.7965375664155	75.890852560609	35.1646046660071	32.6489694743057	19.3243912660358	0	57.1632609048942	63.4049596541884	67.346776020504	20.1982035993773	47.3634569804386	23.835789787496	71.2568589873371	18.2873658409833	43.4603953530297	49.6295321815522	50.1169988994859	78.065733897046	43.4909144613903	40.2510344908797	48.9460490573891	52.6743230276657	48.8881266937401	32.2213454217589	64.3261889324004	68.4841839175536	65.9017759639558	87.2268499966159	85.3241875480257	89.4598720049941	78.786626465791	81.2970542382143	69.4074325656037	48.8860953074344
fam03	152.931339861657	157.741416075442	138.266818925266	154.323420438913	156.180709271172	153.866107852977	146.375288952494	147.236806176568	158.103576029884	156.060804650077	77.8635752790752	52.5315368980655	58.1016752730583	46.8031684661646	55.3161141903871	26.7326068246571	47.9549436903415	42.8949623538058	55.9874511880796	73.7426836259097	53.3730133364192	57.1632609048942	0	23.2002657950237	19.4799795725855	51.7234608967337	9.84544633997688	48.4001838515735	24.2761327621113	40.5061242946417	38.4613621279604	35.8836885252737	30.2952037836095	43.0867458906333	27.7751769919933	40.6686794507221	46.577587147628	39.2006308621039	50.9141319845516	55.2537664108335	63.7511283091719	62.7658816642035	46.6292777502219	61.4072907234586	81.3257128992943	88.9884096671751	53.8213609183141	59.8655881118551	80.9454512216125	65.8803409475174
fam04	137.549147439574	141.81195877709	124.382342826188	138.880648982387	140.86966543352	138.304569229686	131.41154137317	132.150653757158	142.472558132981	140.829904766443	75.9037659112992	57.0451179907385	64.9691112445267	30.996256824594	52.1570495311867	31.2914652605909	27.5535804860363	29.7454256582482	51.788053883471	78.7065192131863	65.2895652047874	63.4049596541884	23.2002657950237	0	8.89280375787481	64.8437460779777	25.7813216266381	52.333936531503	17.0567605024294	49.6743189121089	51.8765730115172	50.50047913317	42.8440117492285	56.7573461559079	30.1319490552486	57.1874102444633	60.0400928379581	54.6016111924864	65.6492122115068	68.6248249362987	79.9295982965344	79.8698087948534	58.1934164992816	76.6854713575026	96.7640848505217	105.232001571634	60.0112962484434	71.6046801378509	96.2748947656356	80.3782860298283
fam05	144.730279150514	149.333856646543	129.598882746622	146.456344506555	148.371511683736	145.671193914749	138.216920595215	138.644540060684	150.011335054866	148.202558089073	82.9688995353751	62.1834665244775	69.4809963779091	39.8430135417302	59.1748577957969	35.1438049404069	33.4070428512578	34.8936211220156	59.0904928424926	83.9889815177336	67.8390233625623	67.346776020504	19.4799795725855	8.89280375787481	0	66.751194810427	25.0873680405583	57.523450135575	10.2262967458063	52.7893737042716	49.9801541708707	47.4599196564818	39.8521536225784	49.8325568929679	30.9688783766131	55.4741802704106	57.6423100502411	51.1357910560087	63.3182028827763	68.6023176868335	76.3864142818212	75.6734553047142	53.6271575657175	70.1105307686827	92.228407280246	100.851495116005	54.9042876777424	65.9782548558837	93.6119005858753	78.9778737381815
fam06	145.959534521915	150.829166532071	136.695876097171	146.125449864179	147.693405711458	146.696037069844	140.158106739271	142.527187289638	150.263640412504	147.770094966087	57.0336860657282	28.5418951465569	23.6104277256689	64.5932674649934	49.027974848221	43.3335112674397	84.7025684533239	76.8128818176421	45.8054223418652	36.8205743488299	6.13026038918793	20.1982035993773	51.7234608967337	64.8437460779777	66.751194810427	0	42.6572477051839	28.1502328181914	70.9577189636387	16.779656791915	39.4796683377803	44.3665893071625	46.7468816081798	71.292183458577	46.5019996810697	31.5217475316931	44.7900876268408	46.4266407412438	43.1216156533192	27.6149376032784	56.6023974805781	59.5183571090038	62.2129973232498	78.9356705981022	78.1480390848838	81.504554935603	77.574580541331	76.5282088262919	63.1559239897681	43.4937123847576
fam07	147.145025805168	151.951211244937	133.599607991626	148.305566722122	150.142165563462	148.028819156916	140.716048841894	141.875732962086	152.171983388071	150.068796031969	69.9418488774611	43.5058530901163	48.8275522997493	43.0849476981495	48.2542998016442	21.4072238960251	50.1965346559207	44.6201600037588	47.9671577905158	64.5840287030295	44.132158850167	47.3634569804386	9.84544633997688	25.7813216266381	25.0873680405583	42.6572477051839	0	39.2489143147651	30.2144618162418	30.731055149528	33.6827702625735	32.8106525505913	27.8051307648344	46.7974933133519	22.9511080579829	34.9869327819765	42.5187773413644	36.6292125940196	46.4578762383084	47.8325099513442	60.8247222713976	60.7538610619298	46.4837425475272	63.7355785882182	79.9119821117388	87.1579379820893	55.6164746269734	61.1605827274299	76.7675214609478	60.1099531186448
fam08	130.687579511267	134.057682455715	127.097895755363	129.544961296044	131.523187227602	130.700283150093	126.214905132342	129.289670751977	133.716831477924	132.098573184257	33.6928207285955	5.33474830839342	13.5048681561115	41.2405476445149	21.145692112987	27.9705535223318	64.63623022467	56.592744475094	18.6746930377367	26.5507954888099	23.9554480517519	23.835789787496	48.4001838515735	52.333936531503	57.523450135575	28.1502328181914	39.2489143147651	0	64.3989530157118	16.8652085516624	52.6885821706899	56.8799175256839	54.9910878701169	81.3690368354924	44.5870116116015	49.6109933679336	60.6443010980594	60.6413268831731	61.916118698251	49.3246648118209	78.0452270380002	80.6547231646327	74.0785058187582	94.4133933068738	99.6661157403717	104.699008924295	85.6714184385121	90.135043974417	87.077044271466	66.5710636685607
fam09	145.382866944023	150.598059864131	127.251301132146	147.890914588714	149.657253225814	146.66603603472	138.247946355197	138.117661929536	151.334509087517	149.233265905441	91.1328276688367	69.2804316785217	76.0557067778551	47.0238671881026	67.702371614517	43.9937959418538	40.2939150695263	44.322834214858	66.3334015601857	90.9054129845276	72.7726445115114	71.2568589873371	24.2761327621113	17.0567605024294	10.2262967458063	70.9577189636387	30.2144618162418	64.3989530157118	0	57.764437622819	48.2554618866181	44.9810240203122	37.1190767026705	43.4704663349848	30.5976141264022	55.3272624681321	54.8499106010408	48.2948927065756	60.9967827573029	68.8081751280912	72.9286024510844	72.0142780362686	47.7632226433427	63.9117385979983	87.093960840448	96.1409962958329	46.5568909836302	58.9010330060263	90.4257191428399	77.3412923021861
fam10	136.128148473198	140.728421583713	127.159659405074	136.300490709932	138.031832527994	136.763002741809	130.399857637487	132.660543349104	140.408833335483	138.165800182455	50.1599057401168	20.1687382325568	21.5527909089886	47.9889609425448	36.6836771176917	29.693802580793	68.5186337620698	61.749879328654	32.7095385943345	37.2554529327301	16.3379214542213	18.2873658409833	40.5061242946417	49.6743189121089	52.7893737042716	16.779656791915	30.731055149528	16.8652085516624	57.764437622819	0	36.5953352712802	41.0504137949417	40.3799496014022	66.9964132746714	34.1783849833335	32.8028835353556	44.2624832004862	44.5122419913692	45.2034950995207	33.5256291640055	61.2047919695236	63.8006997455701	58.7259950202643	78.5472356392323	82.8433694400401	87.9139223406557	71.7297148036947	74.489942117872	70.8174454426903	50.5232264756576
