MetaB_module_ID	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
MetaB_M014	-0.451146455815776	-0.180286514413454	-0.296590118873876	-0.274688704775841	-0.308484347870664	-0.254497629921544	0.0583697404564819	0.159567064773062	0.0282083562758445	0.0094684052032967	0.315706989907035	0.296471509619078	0.30473669048098	0.129132452447122	0.175888986334122	0.071055516872454	0.138579464949568	0.151037285405149	-0.127063616171622	0.0624742123512646	-0.00284380541993348	0.0343168039807381	-0.102590265336703	0.0631779795432173
MetaB_M015	-0.282385099863653	-0.180756296261464	-0.246038095950274	-0.234233543040272	-0.245010038690097	-0.248359658646737	0.182583105130513	0.191410936170391	0.164417158876486	0.136068323909942	0.162284850491926	0.169273699539977	-0.0325512174539565	0.357831766972256	-0.0915685864432077	0.104375526356345	0.362722230058048	0.358508939155944	-0.108045816437562	-0.108170706968538	-0.147522584064248	-0.0492250551426427	-0.126218052487842	-0.0893917852113339
MetaB_M016	-0.474738117286158	-0.158963192392506	-0.237464166919978	-0.0322911048541989	-0.345246779091796	-0.356070237695216	0.00436705330048073	-0.0639972981875649	-0.122858375677354	0.0815219687758319	0.00240216723849384	-0.0863406050134569	-0.125350791840495	0.137653325563309	0.0275009647834482	0.126464338388106	0.119288676069637	0.191826594172554	0.327645735329299	0.217574695824421	0.147690907185686	0.149662075507011	0.256845414034699	0.212876752785748
MetaB_M017	0.148805591397716	0.155127629752231	0.266164892886159	0.0946615285913634	0.398140473057663	0.378726167460679	-0.294390938843301	-0.00793527691482216	0.102243706193098	-0.0184331725056396	0.341545119971991	-0.102126751930502	-0.120287534827116	-0.165378455038829	-0.0583995866965903	-0.0464003221791865	-0.27086763296331	-0.196151809654529	-0.111765673574893	-0.165511087139015	-0.194451050452963	0.209435401131818	-0.234250103281949	-0.108501114440073
MetaB_M018	-0.243936793838221	-0.255969995863496	-0.270167017879142	-0.230987808166641	0.0233042669149894	-0.00621126684588131	-0.206152045957858	-0.247929642361715	-0.149695769315883	-0.0871293992918609	-0.248840148171337	-0.321979535172154	0.283389070585058	0.159768563566915	0.217039980761869	0.240510584671094	0.166944090695348	0.138606434911415	0.211991198593349	0.179896778727862	0.148935633716316	0.148314124691355	0.112776109217036	0.237522585811584
MetaB_M019	0.0625811926231074	-0.178499104547134	-0.0248057496943486	-0.156413201699235	-0.00171157787106353	-0.111043336242382	0.341498722933078	0.216016849487507	0.335966484405279	0.312372167392813	0.326519629449529	0.369684857681056	0.0751899414211365	-0.116835235511182	-0.056533178815775	-0.108460225932539	-0.124114878375198	-0.251519884901928	-0.252797166087161	-0.240655854506665	-0.252990873371065	-0.0494426445819969	-0.0246657407093308	-0.0893411925465056
MetaB_M020	-0.275858483799514	-0.172872744246597	-0.161098226362592	-0.21008249142497	-0.314920661104164	-0.32043540930102	0.30235121715537	0.253252199287123	0.301208016631301	0.334582586069849	0.247074159282121	0.32992720781385	0.0124746538055838	-0.101273959465092	-0.0239433896833872	-0.145574816445918	-0.184015183937001	-0.067100575583963	-0.00999107160409045	0.0243570856728185	-0.0513311108919121	0.0437763817050001	0.10508565315533	0.084408963271877
MetaB_M021	-0.293379658546231	-0.0978078596533341	-0.184366077737138	-0.143450886863363	0.0368147826580103	-0.110635151227204	0.428025506607382	0.284665725312463	0.238129839920705	0.217381334389671	0.313748777721123	0.336949387715927	-0.0857754712097799	-0.148602532598593	-0.232963496949639	-0.243884232184299	-0.128577305274722	-0.118593181267503	-0.144294834533321	-0.0611236477121091	-0.15448548990522	0.102675095107154	0.14628110420481	0.0432682720252092
MetaB_M022	-0.264820875379438	-0.239417313739712	-0.245135550611548	-0.245145772277782	-0.283640501218432	-0.315384310809695	-0.0247075635804267	-0.0810930764858277	-0.0492907869620767	-0.0644960632622326	-0.108118032739964	-0.0736859575130443	0.269775939003585	0.278479598249382	0.210885407545315	0.218045346233085	0.318943971575729	0.374370427365889	-0.0496055475510907	0.187283764899112	-0.00713873534027297	0.104099751987399	-0.00443272845475054	0.0942286090667973
MetaB_M023	-0.249356953127901	0.143071765911894	-0.230693984285356	0.0564872099880128	-0.385275034853052	-0.107801629064903	-0.111621516056743	-0.170058058378761	-0.107547387226368	-0.0481903234631195	-0.241217482547291	-0.133962848215668	-0.187013826373698	0.364058620334688	0.195700568142689	0.2329940928982	0.324383285584133	0.386717231520941	0.0266518885197748	0.19177843845617	0.0887752198810476	-0.020431911987075	-0.0745670598687425	0.0571196942111296
MetaB_M024	-0.0445171251793358	0.177064111012806	-0.129661909030048	-0.0157689830973552	0.114301095422119	-0.205194756864882	0.302169693020176	0.137307584112797	0.289328236629622	0.264989988386479	0.288041060814484	0.413684548622777	-0.286799398927688	-0.130882391301213	-0.232963872192656	-0.289287081042143	-0.0250583253431702	-0.131609513511868	-0.141788326238372	-0.172407272789222	-0.253648572578396	0.00452162794974385	0.0812083668805731	-0.0130287847552266
MetaB_M025	-0.400703816171789	-0.296506979566896	-0.217098117705692	-0.237749470007331	-0.16955546316811	-0.352325002423495	0.153761889484982	0.0450785741279728	0.087160061536748	0.299238235389903	0.0524349559412686	-0.00619655205404705	-0.0461179526623272	-0.115693012257099	0.103569533597592	-0.0467415655824606	-0.107468238518437	-0.0253618289101502	0.189989319625972	0.287520068086943	0.239066442572557	0.0961626039032046	0.102802453646739	0.364733861113953
