MetaB_module_ID	module_color	module_name	metabolome_name
MetaB_M015	bisque4	MEbisque4	CPD1471
MetaB_M015	bisque4	MEbisque4	CPD1541
MetaB_M015	bisque4	MEbisque4	CPD1566
MetaB_M015	bisque4	MEbisque4	CPD1578
MetaB_M015	bisque4	MEbisque4	CPD1617
MetaB_M015	bisque4	MEbisque4	CPD1654
MetaB_M015	bisque4	MEbisque4	CPD1669
MetaB_M015	bisque4	MEbisque4	CPD1697
MetaB_M015	bisque4	MEbisque4	CPD1699
MetaB_M015	bisque4	MEbisque4	CPD1815
MetaB_M015	bisque4	MEbisque4	CPD1922
MetaB_M015	bisque4	MEbisque4	CPD1964
MetaB_M015	bisque4	MEbisque4	CPD2005
MetaB_M015	bisque4	MEbisque4	CPD2006
MetaB_M015	bisque4	MEbisque4	CPD2020
MetaB_M015	bisque4	MEbisque4	CPD2024
MetaB_M015	bisque4	MEbisque4	CPD2048
MetaB_M015	bisque4	MEbisque4	CPD2058
MetaB_M015	bisque4	MEbisque4	CPD2075
MetaB_M015	bisque4	MEbisque4	CPD2091
MetaB_M015	bisque4	MEbisque4	CPD2093
MetaB_M015	bisque4	MEbisque4	CPD2129
MetaB_M015	bisque4	MEbisque4	CPD2153
MetaB_M015	bisque4	MEbisque4	CPD2156
MetaB_M015	bisque4	MEbisque4	CPD2167
MetaB_M015	bisque4	MEbisque4	CPD2170
MetaB_M015	bisque4	MEbisque4	CPD2173
MetaB_M015	bisque4	MEbisque4	CPD2239
MetaB_M015	bisque4	MEbisque4	CPD2331
MetaB_M015	bisque4	MEbisque4	CPD2346
MetaB_M015	bisque4	MEbisque4	CPD2366
MetaB_M015	bisque4	MEbisque4	CPD2395
MetaB_M015	bisque4	MEbisque4	CPD2428
MetaB_M015	bisque4	MEbisque4	CPD2481
MetaB_M015	bisque4	MEbisque4	CPD2496
MetaB_M015	bisque4	MEbisque4	CPD2673
MetaB_M015	bisque4	MEbisque4	CPD2680
MetaB_M015	bisque4	MEbisque4	CPD2718
MetaB_M015	bisque4	MEbisque4	CPD2731
MetaB_M015	bisque4	MEbisque4	CPD2765
MetaB_M015	bisque4	MEbisque4	CPD2826
MetaB_M015	bisque4	MEbisque4	CPD2892
MetaB_M015	bisque4	MEbisque4	CPD2893
MetaB_M015	bisque4	MEbisque4	CPD2959
MetaB_M015	bisque4	MEbisque4	CPD3003
MetaB_M015	bisque4	MEbisque4	CPD3013
MetaB_M015	bisque4	MEbisque4	CPD3064
MetaB_M015	bisque4	MEbisque4	CPD3123
MetaB_M015	bisque4	MEbisque4	CPD3230
MetaB_M015	bisque4	MEbisque4	CPD3256
MetaB_M015	bisque4	MEbisque4	CPD3333
MetaB_M015	bisque4	MEbisque4	CPD3372
MetaB_M015	bisque4	MEbisque4	CPD3379
MetaB_M015	bisque4	MEbisque4	CPD3413
MetaB_M015	bisque4	MEbisque4	CPD3451
MetaB_M015	bisque4	MEbisque4	CPD3494
MetaB_M015	bisque4	MEbisque4	CPD3511
