MetaB_module_ID	metabolome_name
MetaB_M068	CPD0131,CPD0466,CPD0559,CPD0766,CPD0810,CPD0910,CPD0981,CPD1046,CPD1072,CPD1216,CPD1242,CPD1464,CPD1499,CPD1652,CPD1677,CPD1985,CPD1996,CPD2044,CPD2127,CPD2133,CPD2201,CPD2240,CPD2262,CPD2299,CPD2321,CPD2391,CPD2495,CPD2537,CPD2542,CPD2576,CPD2665,CPD2706,CPD2785,CPD2841,CPD2896,CPD2919,CPD2956,CPD2962,CPD2963,CPD2974,CPD3011,CPD3074,CPD3119,CPD3150,CPD3184,CPD3247,CPD3407,CPD3430,CPD3435,CPD3468,CPD3496,CPD3541,CPD3603
MetaB_M069	CPD0121,CPD0151,CPD0152,CPD0197,CPD0257,CPD0322,CPD0603,CPD1253,CPD2100,CPD3066
MetaB_M070	CPD0125,CPD0773,CPD0857,CPD1049,CPD2056,CPD2295,CPD3029,CPD3056
MetaB_M071	CPD1280,CPD1631,CPD2454,CPD2483,CPD2817
MetaB_M072	CPD0333,CPD0959,CPD1225,CPD1951,CPD2760,CPD3030,CPD3452
MetaB_M073	CPD0095,CPD0783,CPD1863,CPD2652,CPD2698,CPD3092
MetaB_M074	CPD0111,CPD0961,CPD1311,CPD2329,CPD2989,CPD3046
MetaB_M075	CPD0087,CPD0247,CPD0438,CPD0609,CPD1207,CPD1474,CPD1731
MetaB_M076	CPD0022,CPD0089,CPD0411,CPD0544,CPD0581,CPD0582,CPD2069,CPD3520
MetaB_M077	CPD1415,CPD1427,CPD2136,CPD2182,CPD2291,CPD2701,CPD2774,CPD3222,CPD3306
MetaB_M078	CPD0220,CPD0485,CPD0501,CPD1051,CPD1430,CPD1871,CPD2022,CPD2416,CPD2474,CPD3177,CPD3197,CPD3633
MetaB_M079	CPD0057,CPD0126,CPD1784,CPD2536,CPD3062
MetaB_M080	CPD1329,CPD1701,CPD2283,CPD2570,CPD3324
MetaB_M081	CPD0310,CPD0370,CPD0371,CPD1581,CPD1603
MetaB_M082	CPD0725,CPD0974,CPD1312,CPD1646,CPD1776,CPD2741
MetaB_M083	CPD0444,CPD0521,CPD0577,CPD0741,CPD0928,CPD2977
MetaB_M084	CPD0232,CPD0282,CPD0292,CPD0360,CPD1602,CPD1840,CPD2264,CPD3298
MetaB_M085	CPD0828,CPD0997,CPD1306,CPD1308,CPD1374,CPD1530,CPD1735,CPD1906,CPD2789
MetaB_M086	CPD0136,CPD0490,CPD0568,CPD0578,CPD0909,CPD1160,CPD1653,CPD2137,CPD2644,CPD2798,CPD3355
MetaB_M087	CPD0015,CPD0026,CPD0034,CPD0079,CPD0093,CPD0167,CPD0182,CPD0543,CPD0546,CPD0900,CPD1161,CPD1572,CPD1921,CPD2087,CPD2090,CPD2144,CPD2229,CPD2455,CPD2493,CPD2807,CPD2854,CPD2873,CPD2891,CPD3070,CPD3111,CPD3273,CPD3376,CPD3525,CPD3631
MetaB_M088	CPD0084,CPD0271,CPD0295,CPD0325,CPD0539,CPD0574,CPD0651,CPD0732,CPD0759,CPD0830,CPD0866,CPD0926,CPD1023,CPD1084,CPD1170,CPD1323,CPD1396,CPD1411,CPD1740,CPD2556,CPD2713,CPD3079,CPD3161,CPD3584
MetaB_M089	CPD0085,CPD0435,CPD0640,CPD0650,CPD0978,CPD1353,CPD1361,CPD1450,CPD1497,CPD2728,CPD2821,CPD3492
MetaB_M090	CPD0288,CPD0346,CPD0781,CPD2567,CPD3550
MetaB_M091	CPD1022,CPD1706,CPD1983,CPD2791,CPD3088
MetaB_M092	CPD0211,CPD0703,CPD1939,CPD3191,CPD3246,CPD3335
MetaB_M093	CPD0086,CPD0561,CPD1657,CPD2074,CPD2242,CPD3163,CPD3363
MetaB_M094	CPD0190,CPD0520,CPD1056,CPD1118,CPD2566,CPD2884,CPD3035,CPD3443
MetaB_M095	CPD0563,CPD0601,CPD0643,CPD0653,CPD2702,CPD2710,CPD3100,CPD3371,CPD3553
MetaB_M096	CPD0181,CPD0659,CPD0969,CPD1438,CPD1806,CPD2322,CPD2716,CPD2900,CPD3300,CPD3345
MetaB_M097	CPD0474,CPD0515,CPD1148,CPD1282,CPD1399,CPD1816,CPD2165,CPD2303,CPD2460,CPD2723,CPD3082,CPD3188
MetaB_M098	CPD0237,CPD0353,CPD0579,CPD0588,CPD0589,CPD0590,CPD0604,CPD0616,CPD0750,CPD1383,CPD1846,CPD2009,CPD2051
MetaB_M099	CPD0049,CPD0161,CPD0162,CPD0184,CPD0228,CPD0356,CPD0391,CPD0859,CPD0996,CPD1387,CPD1406,CPD1838,CPD2824,CPD3139,CPD3275,CPD3446
MetaB_M100	CPD0213,CPD1336,CPD2636,CPD2947,CPD3614
MetaB_M101	CPD3031,CPD3307,CPD3338,CPD3560,CPD3605
MetaB_M102	CPD0164,CPD0419,CPD0498,CPD0499,CPD2874,CPD3439
MetaB_M103	CPD0149,CPD0301,CPD0683,CPD0792,CPD0927,CPD0956,CPD1001,CPD1256,CPD1321,CPD1338,CPD1364,CPD1417,CPD1487,CPD1494,CPD1507,CPD1529,CPD1555,CPD1573,CPD1718,CPD1723,CPD1843,CPD2025,CPD2158,CPD2573,CPD2664,CPD2667,CPD2695,CPD2707,CPD2783,CPD2800,CPD3304
MetaB_M104	CPD0622,CPD0749,CPD1158,CPD1577,CPD1888,CPD1941,CPD1991,CPD2681,CPD3301
MetaB_M105	CPD0107,CPD0564,CPD0803,CPD1091,CPD1097,CPD1167,CPD1318,CPD1773,CPD2008,CPD2407,CPD3078
MetaB_M106	CPD0476,CPD0789,CPD1385,CPD1943,CPD2104,CPD2385,CPD2527,CPD2612,CPD2904,CPD3164,CPD3251,CPD3474
MetaB_M107	CPD0246,CPD0262,CPD0598,CPD0599,CPD0608
MetaB_M108	CPD0101,CPD0362,CPD0743,CPD0989,CPD0990,CPD1016,CPD1121,CPD1197,CPD1332,CPD1370,CPD2300,CPD3053,CPD3083,CPD3090,CPD3099,CPD3133,CPD3272,CPD3629
MetaB_M109	CPD0820,CPD1209,CPD1780,CPD2038,CPD3208,CPD3456,CPD3522
MetaB_M110	CPD0524,CPD1604,CPD1809,CPD1813,CPD1973,CPD2394,CPD2818,CPD3105
MetaB_M111	CPD0016,CPD0075,CPD0274,CPD0390,CPD0678,CPD0784,CPD1006,CPD1144,CPD1194,CPD1594,CPD2064,CPD2328,CPD3199,CPD3282,CPD3480
MetaB_M112	CPD0309,CPD0894,CPD0947,CPD1533,CPD1618,CPD2036,CPD2598,CPD2606,CPD2850,CPD3116,CPD3416,CPD3630
MetaB_M113	CPD0042,CPD0517,CPD0726,CPD1230,CPD1886,CPD2032,CPD2184,CPD2279,CPD2402,CPD2450,CPD2470,CPD2541,CPD3438,CPD3610
MetaB_M114	CPD0002,CPD0008,CPD0235,CPD0587,CPD0748,CPD0903,CPD0934,CPD0984,CPD0987,CPD1075,CPD1080,CPD1191,CPD1467,CPD1695,CPD2067,CPD2224,CPD2280,CPD2344,CPD2393,CPD2437,CPD2480,CPD2497,CPD2535,CPD2621,CPD2860,CPD3008,CPD3412,CPD3458,CPD3564
MetaB_M115	CPD0297,CPD0340,CPD0343,CPD0388,CPD0558,CPD0691,CPD0692,CPD1068,CPD1110,CPD1373,CPD1392,CPD1455,CPD1647,CPD1673,CPD1686,CPD2151,CPD2222,CPD2434,CPD2539,CPD2653,CPD2786,CPD2829,CPD3121,CPD3450,CPD3534,CPD3552
MetaB_M116	CPD0869,CPD1248,CPD1409,CPD2140,CPD3057
MetaB_M117	CPD1123,CPD1482,CPD2934,CPD3153,CPD3280,CPD3285,CPD3440,CPD3454
MetaB_M118	CPD0003,CPD0025,CPD0621,CPD0648,CPD1125,CPD1810,CPD1935,CPD2253,CPD2686,CPD2831,CPD2906
MetaB_M119	CPD0277,CPD0627,CPD1768,CPD2083,CPD2555,CPD2943,CPD3101,CPD3185,CPD3302,CPD3314,CPD3414,CPD3619
MetaB_M120	CPD0029,CPD0690,CPD0816,CPD1423,CPD1920,CPD2159,CPD2193,CPD2226,CPD2233,CPD2235,CPD2334,CPD2876,CPD3044,CPD3505
MetaB_M121	CPD0636,CPD1309,CPD1729,CPD2114,CPD2949
MetaB_M122	CPD0409,CPD0417,CPD0629,CPD0642,CPD0929,CPD1070,CPD1462,CPD2180,CPD2230,CPD2421,CPD2617,CPD2738,CPD2933,CPD3115,CPD3223,CPD3224,CPD3286,CPD3591
MetaB_M123	CPD2642,CPD3120,CPD3179,CPD3226,CPD3297,CPD3548
MetaB_M124	CPD0458,CPD1244,CPD1345,CPD1359,CPD1538,CPD1643,CPD2660
MetaB_M125	CPD0933,CPD0970,CPD1410,CPD2559,CPD2754,CPD2964,CPD3562,CPD3627
MetaB_M126	CPD0296,CPD0455,CPD0504,CPD0534,CPD2732,CPD3060,CPD3206,CPD3294,CPD3361
MetaB_M127	CPD0480,CPD0481,CPD0757,CPD1907,CPD2041,CPD2297,CPD2588,CPD2714,CPD3076,CPD3455
MetaB_M128	CPD0139,CPD0554,CPD0904,CPD1014,CPD1495,CPD1531,CPD1626,CPD1895,CPD2052,CPD2705,CPD2766,CPD2846
MetaB_M129	CPD0718,CPD1114,CPD1516,CPD1556,CPD1691,CPD2138,CPD2187,CPD2290,CPD2364,CPD2418,CPD2715,CPD2761,CPD3028,CPD3207
MetaB_M130	CPD0206,CPD0238,CPD0461,CPD0827,CPD0858,CPD0954,CPD1180,CPD1331,CPD1445,CPD1472,CPD1478,CPD1610,CPD1616,CPD1649,CPD1860,CPD1874,CPD1937,CPD1945,CPD2001,CPD2341,CPD2509,CPD3134
MetaB_M131	CPD1079,CPD1948,CPD2043,CPD2132,CPD2737
MetaB_M132	CPD0005,CPD1457,CPD2584,CPD2717,CPD2753
MetaB_M133	CPD0843,CPD1060,CPD1081,CPD1852,CPD1932,CPD2778
