gene	Human_vs_Wild	Lab_vs_Wild
ko04068	-0.211091506034202	-0.374512689910488
ko04141	-0.216557037706032	-0.321165368836135
ko04977	-0.237893891894495	1.02979161992245
ko04213	-0.249796218067736	0.017293239996232
ko04144	-0.283661250681644	-0.911514531062852
ko00670	-0.308167545823117	-0.34569578473085
ko03250	-0.374969796623105	-0.191562451987123
ko04814	-0.403724470773787	-1.37083172663811
ko00565	-0.410298375614415	0.118030646643353
ko04620	-0.421463354324525	0.01164719900754
ko04392	-0.446471931735931	-1.39949826499405
ko00020	-0.448163976742076	-1.16552056289823
ko03010	-0.448510629390654	-2.28025929771662
ko01230	-0.476802637844672	0.0740871523967101
ko04080	-0.476802637844672	0.215753867575368
ko01200	-0.509090513341757	-0.157314177160334
ko00030	-0.524855964159125	-0.118030646643353
ko00010	-0.553184443307305	0.100028957130122
ko00600	-0.646327748723269	0.196779589613302
ko00250	-0.694743892968628	0.438489777092779
ko00230	-0.710507840553467	-0.122699814230927
ko03013	-0.771422690941524	-0.873627050966373
ko03083	-0.818468980263607	-0.118030646643353
ko00470	-0.818468980263607	0.00213880066196499
ko00640	-0.908508297324982	-0.256374454766266
ko03022	-0.968247551875288	-0.638566730898199
ko04082	-1.04166721817504	-1.27105693526201
ko00260	-1.05566515637999	-0.217406484404767
ko04391	-1.06492608748885	-0.909278537030391
ko03082	-1.11914755152409	-2.87991951282841
ko00740	-1.16240617104945	-0.0464673819467744
ko00532	-1.21151340093487	0.660464321165866
ko00970	-1.24796721571512	0.911252000788991
ko00380	-1.2887418541989	-1.53981359811616
ko04330	-1.32504962740453	-0.363883082633944
ko03420	-1.33858855715802	-3.69102710509768
ko03040	-1.50171172406278	-3.18479436351982
ko00290	-1.64392949783512	0.0464673819467744
ko00515	-1.74029034958717	0.543685579732069
ko04382	-1.76654845066115	-2.24181721957463
ko00563	-1.87978274853106	1.09875891819015
ko03008	-1.95374978042518	-1.84224501219335
ko00240	-2.00854055670557	-1.26894702909455
ko04820	-2.16165578653564	-1.65499561340554
ko03410	-2.20409793963579	-3.43588194044029
ko04145	-2.22690042647559	-1.05239254096467
ko03440	-2.41796873427617	-2.53692401152266
ko04980	-2.46601717637527	-1.80857043738333
ko04013	-2.83579470982192	-0.0890989771030823
ko04624	-2.88309952347951	-2.11608063887066
ko04745	-2.88309952347951	-1.74547051348605
ko00400	-3.02118560353961	-0.681729209556541
ko05100	-3.30006266627941	-2.03790582913755
ko04320	-3.37332688248835	-1.02196940739561
ko03273	-3.39328463411983	-2.08352083734185
ko00360	-3.42619691490763	-1.81278908355284
ko00564	-3.78635221627778	-0.934069948977428
ko00232	-3.95453020593737	-0.314253328817325
ko04120	-4.1066207925411	-2.21238212516484
ko00330	-4.41643773241391	-3.24965045275272
ko04310	-4.41643773241391	-1.17237118231588
ko03430	-4.51014169243094	-5.24231395126005
ko03030	-4.99837604288511	-5.48917426294178
ko03050	-5.06963425135191	-5.24231395126005
ko04512	-5.64581803142748	-5.47566543892807
ko04350	-5.73090206472269	-3.43588194044029
ko00785	-6.97500352758201	-6.81643644267073
ko01210	-8.04321350397618	-3.43588194044029
ko00750	-8.13376352493287	-9.28668074219543
ko04137	-8.19861068674761	-4.96568797817265
ko00350	-9.36373189032524	-5.80353248792058
ko04214	-10.4182223966179	-8.62771315067521
ko00534	-10.6571646095251	-6.28128876846764
ko03265	-11.2772882997349	-5.44461648339439
ko04215	-11.2772882997349	-9.28668074219543
ko03266	-11.4092904616655	-6.64607811719195
ko00910	-11.5656725080528	-9.28668074219543
