ID	AB1	AB10	AB2	AB3	AB4	AB5	AB6	AB7	AB8	AB9	CB1	CB10	CB2	CB3	CB4	CB5	CB6	CB7	CB8	CB9	FB1	FB10	FB2	FB3	FB4	FB5	FB6	FB7	FB8	FB9	HB1	HB10	HB2	HB3	HB4	HB5	HB6	HB7	HB8	HB9	WB1	WB10	WB2	WB3	WB4	WB5	WB6	WB7	WB8	WB9
neg_8293	8.0950087067513	4.97174621871109	8.51134803807145	7.88317291216014	7.12513476410783	6.90810527542063	6.59786400581135	6.5047714882958	8.4310039618264	6.47968172201446	15.9661574859058	11.435720096075	1.02134814335808	11.8348199530195	9.69630936187719	12.3188110071136	20.7210349404268	16.1765770185435	11.5853162322875	10.3873231799309	11.1441684596565	12.5717796369347	11.554281334572	15.6357920834761	10.7288335369784	12.0744765566721	11.7349615752387	15.3757768790539	11.3178004696454	13.7111171445698	10.2289828132589	11.4852296198668	10.9704064133119	11.9546186488009	12.56684443921	12.796745396219	12.7569274075309	10.5582054835747	12.7609458524142	13.5374270902654	12.7472874551841	14.6999186628907	10.9694708190405	11.6956625417325	20.8140420119432	12.1808120914519	8.70203707535718	11.6934905376654	22.0891609824515	13.1765340699363
neg_15291	9.89506418033772	10.8972318739201	3.96887956885996	8.79744387548578	10.7265472248969	10.313566490142	8.08389821927758	6.92349272708934	9.25068743353685	3.2895588221378	9.87249794957438	10.2789866900648	9.06737450392885	8.71515390416587	1.76282096722695	9.44737016348749	9.67490861972529	9.88580269581158	10.2188799770946	10.7033667172148	10.7937423726894	8.90126540686409	10.1046372891246	9.68170346177863	11.1299214487719	18.6325254289064	13.1685590260247	11.9930930604513	12.3719971371639	10.5379196146793	8.97486623639104	9.08526450684172	10.1696236884172	10.9654583165337	9.75646291772883	9.9427037825964	10.2570117486464	9.4741394256555	10.0553548463989	9.19500904764749	10.1312444284084	9.42356216968092	9.41327180875235	11.0282083627027	9.84608916647824	8.96830813434538	10.0781767293081	12.7510685376088	6.764506064344	9.90369761642476
neg_24515	13.6190056463724	13.7157983558133	13.91515735409	14.4999493167888	14.8840452954732	13.6950314998659	13.823727345366	14.8608962918647	14.0121348856672	14.4168426751017	18.7630738886431	17.4735178515919	14.9394541483895	17.0805179580744	16.7568938179158	17.8191017014066	20.567203787909	19.7826711993241	20.2467532006836	14.4677478780202	14.2244679498616	15.6130767978356	14.3935065729619	11.738562746855	15.3211752040304	17.6729022373384	19.4539655110787	18.9050812828699	17.9615381915104	19.7563007609674	15.92758000216	17.7263464586865	13.8162915254571	17.555791103313	17.9567314852581	20.5661595749904	15.2739990843987	15.2972116875535	18.4615161588834	19.9790983647086	17.828797878397	19.4700142904374	17.7654547402434	18.9803698071136	15.1125028440368	18.2339070572294	17.2771941861299	14.029321116098	18.0916843017503	16.4350165850379
pos_25605	21.7046154144351	21.4745705334508	21.3475051500545	23.2578869065794	21.3873882932988	21.3512373061775	21.5302510064168	22.1233148740254	22.3897550102108	21.3445755308631	23.0823975795573	24.0118173872742	21.625099346173	22.8302592561616	22.7081919255207	22.311963816545	24.2196992164292	24.6670264044531	24.7812302957159	23.5501783069665	23.0923154241562	22.2079567652326	23.0920249697447	22.4454200011881	24.3110499804797	23.3214726514702	25.2687465627837	24.6312565507396	24.6608529653832	25.4402342160765	22.845918744648	23.167497482536	22.6037307417554	25.5427453648111	23.5966559201543	23.8586097632988	25.1339171205949	22.4553739075765	24.2888254746249	24.2172857133748	24.3042497897396	22.8374956898812	23.6511498068711	25.2726177935565	22.4699854533221	22.9388710108413	24.6044762333718	23.7643329066218	21.814263628323	24.6380588468463
neg_1118	16.7692389216143	16.7256297049039	16.2471589961893	18.0738803239059	16.4552695827992	16.856683641875	16.4361238950649	17.0704372196458	17.3480325650695	16.2844336447903	19.5240687182327	18.4402969714862	14.5061920220053	18.2994125145029	16.4903373987655	17.2700447477903	19.1769261500678	21.8585788808504	18.1560240003287	14.1424149033973	14.4818641131453	15.6065545407367	15.6533438850331	11.8706298166425	14.8940964580815	23.2208004573739	14.1526558306025	21.1816882186494	16.4964394728593	22.1616165808885	19.8841353678974	19.5663056285954	14.0586796065311	22.8055804497176	12.7648958325766	22.7397481396241	18.2775711049222	18.6254658696644	20.7283333008843	22.5973183252407	18.6098391000332	17.5758485073883	19.7184438773079	16.2569210924802	14.9290352795199	18.0733468055082	21.1061978718141	12.9459324239653	19.7423065939725	20.695773425777
neg_20380	14.9879908646251	15.5419204675726	15.764216284523	16.822151855313	15.1370573559349	15.72568789116	15.4800801657324	15.8181386543338	15.8649986440225	15.4261705609932	10.9196324044738	15.8487105869673	10.5624859424222	12.2362667472944	16.7347178949027	12.9560339539849	13.3253858580782	13.3755329308742	11.5262346197088	14.253686090699	15.2105080010679	12.7782881384463	14.2364016151955	12.4189513450428	12.9998591697476	15.6341956100521	13.5216195037822	16.3103191452337	14.4637819044278	16.3797772930433	12.6824837686851	12.7688029620791	12.1335457290259	11.5795825757866	12.3518241073376	9.47199383091774	15.1528235377673	12.1827781976521	11.8898825211817	12.3343800407903	11.7844143695336	16.9718218334826	9.02809021392461	17.5523335517562	12.9360574920984	12.4738994762507	11.6011253397364	13.8824998931747	11.6805554921046	15.2568310468043
pos_22704	17.226200448883	18.1843490692514	16.7200475085068	17.365740321769	17.3209445195115	18.4200010768005	16.9982793261039	17.4781839665487	17.2567843393378	17.0814144307483	19.9163980116993	20.6760164760259	20.0476479343079	18.6493291294362	20.1420947800292	21.11035947774	18.9754413107477	20.5995751239966	22.4532828963559	20.0761757693347	18.5793917168596	18.3480850227133	18.9594812644763	18.4468807831321	20.1454950576388	22.183768531323	18.6190029346674	22.0455777871946	20.1000486044951	21.7224882373708	22.3158504710512	21.9106326238109	18.8252264945733	20.9840713515847	18.9665985145292	19.8869554425064	19.5434612181036	21.1250351859313	19.7249446390307	19.680663200808	19.5889345747358	20.7830176956561	19.1859282868353	20.5118037460604	17.6098682875713	19.93714650028	20.184537215211	20.4225703891366	20.3891885873056	20.6819940583828
neg_1814	15.9194747908211	15.6420356512639	15.5316657281168	16.3811935222192	15.4393573255575	15.4372308640858	15.8555819379294	15.8909626262029	15.9934053196043	15.4640239530666	12.507742127319	13.7620482045185	13.8814727128313	14.1551749199725	16.5317134249541	13.9126948623483	11.7421212144266	13.6634005565632	15.1616414069089	13.9444919902629	12.3186415546753	12.333417648964	14.338314548457	15.0056839109089	12.601543802547	14.3811208031194	10.843667542475	14.266282135027	12.2143620974144	13.6683613894677	12.1067548885553	13.0041516632605	13.3757949645057	11.7956087284082	12.457586596976	9.46970830828046	13.8697673475364	12.4620338183456	12.324451637531	11.7456519208832	16.1694235918819	11.3293957301535	9.21218916021338	11.9137509249432	8.21241832750496	15.722092036604	9.74790147528542	13.0595670106358	12.7498237368672	15.9931210327128
neg_6549	17.5126908291917	17.2828255705878	17.3346375571794	18.1410960710409	17.2454891673013	17.2219181238045	17.3861776878506	17.6643688385114	17.7765097879582	17.2165763997707	16.7981850827915	18.4181092986538	15.9708159927651	17.1475168281074	17.3507460426297	17.4326189468388	18.2823986108226	18.9792230686591	18.5181999427526	18.0448164840736	18.3401635637356	17.7455115705032	18.1178100433445	18.0228208339707	17.9111987383395	16.9621435543161	18.4881934456372	19.3759086903623	18.4987244947462	18.6618184260172	17.4665701320018	17.8168137383364	18.1160817361136	18.7960356576159	17.7284239535759	17.3758583949197	19.0029335424694	17.5301430329639	18.0146130496709	17.8988462531711	18.0622068578079	17.3898920102129	18.3314447932508	18.7859239758731	16.12626377302	16.9395672315955	18.5206392901738	18.3239678223028	17.1517850657091	18.6786125760602
neg_6978	17.8347389564794	19.5269597662671	13.4722575836872	14.6325075107143	17.2047348097876	19.7858747683778	16.7849137823134	16.8451954567466	17.1235918295862	16.2624095539686	17.6543886901749	17.9470413831847	14.8301898107625	17.0194463951703	16.3421173982109	16.3528966834203	18.2188689965432	19.8601178676829	23.9020155987102	15.3756463501301	14.5589602023356	17.1780527845911	15.9676256360042	16.3736880514562	16.1155249345794	15.7176045740576	15.7206984956725	22.2484353317682	15.0834565457008	16.3814022866303	15.6729212533177	16.2180722912679	13.76401781303	15.6360925816133	16.296183930745	15.9021746057975	15.7156176550232	14.7040710699782	16.0888944776947	15.781758137688	15.6632840762065	15.9398602718973	15.2127065212512	15.504062453268	14.9999752739112	14.840646629619	13.9393024937072	13.6038728198755	15.6417277368765	16.0075649079693
