module_ID	module_name	category_C	category_B
M00115	NAD biosynthesis, aspartate => quinolinate => NAD	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00117	Ubiquinone biosynthesis, prokaryotes, chorismate (+ polyprenyl-PP) => ubiquinol	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00118	Glutathione biosynthesis, glutamate => glutathione	Other amino acid metabolism	Amino acid metabolism
M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00120	Coenzyme A biosynthesis, pantothenate => CoA	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00121	Heme biosynthesis, plants and bacteria, glutamate => heme	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00124	Pyridoxal-P biosynthesis, erythrose-4P => pyridoxal-P	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00126	Tetrahydrofolate biosynthesis, GTP => THF	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00128	Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate + polyprenyl-PP => ubiquinone	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00129	Ascorbate biosynthesis, animals, glucose-1P => ascorbate	Other carbohydrate metabolism	Carbohydrate metabolism
M00130	Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4	Other carbohydrate metabolism	Carbohydrate metabolism
M00131	Inositol phosphate metabolism, Ins(1,3,4,5)P4 => Ins(1,3,4)P3 => myo-inositol	Other carbohydrate metabolism	Carbohydrate metabolism
M00132	Inositol phosphate metabolism, Ins(1,3,4)P3 => phytate	Other carbohydrate metabolism	Carbohydrate metabolism
M00133	Polyamine biosynthesis, arginine => agmatine => putrescine => spermidine	Polyamine biosynthesis	Amino acid metabolism
M00134	Polyamine biosynthesis, arginine => ornithine => putrescine	Polyamine biosynthesis	Amino acid metabolism
M00135	GABA biosynthesis, eukaryotes, putrescine => GABA	Polyamine biosynthesis	Amino acid metabolism
M00136	GABA biosynthesis, prokaryotes, putrescine => GABA	Polyamine biosynthesis	Amino acid metabolism
M00137	Flavanone biosynthesis, phenylalanine => naringenin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00138	Flavonoid biosynthesis, naringenin => pelargonidin	Biosynthesis of phytochemical compounds	Biosynthesis of other secondary metabolites
M00140	C1-unit interconversion, prokaryotes	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00141	C1-unit interconversion, eukaryotes	Cofactor and vitamin metabolism	Metabolism of cofactors and vitamins
M00142	NADH:ubiquinone oxidoreductase, mitochondria	ATP synthesis	Energy metabolism
M00143	NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria	ATP synthesis	Energy metabolism
M00144	NADH:quinone oxidoreductase, prokaryotes	ATP synthesis	Energy metabolism
M00145	NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria	ATP synthesis	Energy metabolism
M00146	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex	ATP synthesis	Energy metabolism
M00147	NADH dehydrogenase (ubiquinone) 1 beta subcomplex	ATP synthesis	Energy metabolism
M00148	Succinate dehydrogenase (ubiquinone)	ATP synthesis	Energy metabolism
M00149	Succinate dehydrogenase, prokaryotes	ATP synthesis	Energy metabolism
M00150	Fumarate reductase, prokaryotes	ATP synthesis	Energy metabolism
M00151	Cytochrome bc1 complex respiratory unit	ATP synthesis	Energy metabolism
M00152	Cytochrome bc1 complex	ATP synthesis	Energy metabolism
M00153	Cytochrome bd ubiquinol oxidase	ATP synthesis	Energy metabolism
M00154	Cytochrome c oxidase	ATP synthesis	Energy metabolism
M00155	Cytochrome c oxidase, prokaryotes	ATP synthesis	Energy metabolism
M00156	Cytochrome c oxidase, cbb3-type	ATP synthesis	Energy metabolism
M00157	F-type ATPase, prokaryotes and chloroplasts	ATP synthesis	Energy metabolism
M00158	F-type ATPase, eukaryotes	ATP synthesis	Energy metabolism
M00159	V/A-type ATPase, prokaryotes	ATP synthesis	Energy metabolism
M00160	V-type ATPase, eukaryotes	ATP synthesis	Energy metabolism
M00161	Photosystem II	Photosynthesis	Energy metabolism
M00162	Cytochrome b6f complex	ATP synthesis	Energy metabolism
M00163	Photosystem I	Photosynthesis	Energy metabolism
M00165	Reductive pentose phosphate cycle (Calvin cycle)	Carbon fixation	Energy metabolism
M00168	CAM (Crassulacean acid metabolism), dark	Carbon fixation	Energy metabolism
M00169	CAM (Crassulacean acid metabolism), light	Carbon fixation	Energy metabolism
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Carbon fixation	Energy metabolism
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	Carbon fixation	Energy metabolism
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	Carbon fixation	Energy metabolism
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	Carbon fixation	Energy metabolism
M00174	Methane oxidation, methanotroph, methane => formaldehyde	Methane metabolism	Energy metabolism
M00175	Nitrogen fixation, nitrogen => ammonia	Nitrogen metabolism	Energy metabolism
M00176	Assimilatory sulfate reduction, sulfate => H2S	Sulfur metabolism	Energy metabolism
