module_ID	module_name	category_C	category_B
M01000	GDP-Man biosynthesis, Fru-6P => GDP-Man	Nucleotide sugar biosynthesis	Glycan metabolism
M01001	GDP-L-Fuc biosynthesis, L-Fuc => GDP-L-Fuc	Nucleotide sugar biosynthesis	Glycan metabolism
M01002	UDP-GalNAc biosynthesis, Fru-6P => UDP-GalNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M01003	UDP-GlcNAc biosynthesis, GlcNAc => UDP-GlcNAc	Nucleotide sugar biosynthesis	Glycan metabolism
M01004	UDP-Galf biosynthesis, UDP-Glc => UDP-Galf	Nucleotide sugar biosynthesis	Glycan metabolism
M00853	ETEC pathogenicity signature, colonization factors	Pathogenicity	Pathogenicity
M00576	ETEC pathogenicity signature, heat-labile and heat-stable enterotoxins	Pathogenicity	Pathogenicity
M00856	Salmonella enterica pathogenicity signature, typhoid toxin	Pathogenicity	Pathogenicity
M00857	Salmonella enterica pathogenicity signature, Vi antigen	Pathogenicity	Pathogenicity
M00859	Bacillus anthracis pathogenicity signature, anthrax toxin	Pathogenicity	Pathogenicity
M00860	Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis	Pathogenicity	Pathogenicity
M00745	Imipenem resistance, repression of porin OprD	Drug resistance	Drug resistance
M00704	Tetracycline resistance, efflux pump Tet38	Drug resistance	Drug resistance
M00744	Cationic antimicrobial peptide (CAMP) resistance, protease PgtE	Drug resistance	Drug resistance
M00718	Multidrug resistance, efflux pump MexAB-OprM	Drug resistance	Drug resistance
M00639	Multidrug resistance, efflux pump MexCD-OprJ	Drug resistance	Drug resistance
M00641	Multidrug resistance, efflux pump MexEF-OprN	Drug resistance	Drug resistance
M00642	Multidrug resistance, efflux pump MexJK-OprM	Drug resistance	Drug resistance
M00643	Multidrug resistance, efflux pump MexXY-OprM	Drug resistance	Drug resistance
M00769	Multidrug resistance, efflux pump MexPQ-OpmE	Drug resistance	Drug resistance
M00696	Multidrug resistance, efflux pump AcrEF-TolC	Drug resistance	Drug resistance
M00697	Multidrug resistance, efflux pump MdtEF-TolC	Drug resistance	Drug resistance
M00698	Multidrug resistance, efflux pump BpeEF-OprC	Drug resistance	Drug resistance
M00700	Multidrug resistance, efflux pump AbcA	Drug resistance	Drug resistance
M00702	Multidrug resistance, efflux pump NorB	Drug resistance	Drug resistance
M00714	Multidrug resistance, efflux pump QacA	Drug resistance	Drug resistance
M00705	Multidrug resistance, efflux pump MepA	Drug resistance	Drug resistance
M00746	Multidrug resistance, repression of porin OmpF	Drug resistance	Drug resistance
M00660	Xanthomonas spp. pathogenicity signature, T3SS and effectors	Plant pathogenicity	Plant pathogenicity
M00664	Nodulation	Symbiosis	Symbiosis
M00611	Oxygenic photosynthesis in plants and cyanobacteria	Metabolic capacity	Metabolic capacity
M00612	Anoxygenic photosynthesis in purple bacteria	Metabolic capacity	Metabolic capacity
M00613	Anoxygenic photosynthesis in green nonsulfur bacteria	Metabolic capacity	Metabolic capacity
M00614	Anoxygenic photosynthesis in green sulfur bacteria	Metabolic capacity	Metabolic capacity
M00617	Methanogen	Metabolic capacity	Metabolic capacity
M00618	Acetogen	Metabolic capacity	Metabolic capacity
M00615	Nitrate assimilation	Metabolic capacity	Metabolic capacity
M00616	Sulfate-sulfur assimilation	Metabolic capacity	Metabolic capacity
M00597	Anoxygenic photosystem II	Photosynthesis	Energy metabolism
M00598	Anoxygenic photosystem I	Photosynthesis	Energy metabolism
