gene_set	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko01250	0.236682477	0.306890002	0.299027259	0.293535618	0.274154508	0.233223633	0.217590389	0.196950295	0.240768506	0.205085319	0.159304308	0.189350337	0.276978334	0.266772193	0.290104857	0.30210214	0.242698616	0.29121184	0.276772431	0.232364168	0.247749546	0.279259699	0.228628072	0.289321615
ko02010	-0.010101793	-0.003195767	0.029581821	0.070234955	0.037610584	0.000397505	-0.039985315	-0.038589336	-0.03234511	0.008464001	-0.050146434	-0.007577215	0.010979632	0.017077825	0.020815785	0.040526576	0.006761802	0.023045987	0.009475181	-0.013722392	0.003393779	0.024638356	0.008319886	0.013919657
ko03008	0.13581852	0.111946824	0.127406692	0.12717332	0.133730353	0.154036343	0.178646399	0.230242475	0.209419895	0.185902411	0.185642162	0.199131844	0.264532263	0.238871807	0.263383419	0.249531078	0.25652191	0.240504391	0.262011048	0.242669361	0.231932488	0.247172092	0.246746182	0.271095142
ko03010	0.526732911	0.525795993	0.536004728	0.52023198	0.519942306	0.531253812	0.394987356	0.409064409	0.41293973	0.388489086	0.404585342	0.399888691	0.537088554	0.538077669	0.554923371	0.53416431	0.545621614	0.542983919	0.521899149	0.521629355	0.52849903	0.517305878	0.521219727	0.513977404
ko03013	0.217270785	0.173849061	0.18806196	0.199501798	0.193303056	0.211725238	0.15323959	0.193268366	0.18829076	0.152099484	0.165504503	0.171599494	0.228604867	0.217242838	0.221574515	0.2324487	0.225992668	0.20728257	0.235590188	0.217119219	0.215351892	0.235313814	0.234614426	0.242007958
ko03015	0.20388402	0.169985924	0.167316084	0.171889718	0.180583552	0.191263316	0.174583385	0.19961529	0.197402821	0.162053534	0.184733593	0.191717764	0.249499663	0.244603166	0.241801538	0.25815495	0.247948221	0.2323704	0.256956863	0.240188739	0.222734235	0.248962419	0.247632671	0.253696831
ko03018	0.206652411	0.181600028	0.183857832	0.196668019	0.191136802	0.212405677	0.120146659	0.169557211	0.149332491	0.129522144	0.149079236	0.142412661	0.220413828	0.215839991	0.212618268	0.221837159	0.221773412	0.197339151	0.239220561	0.221503103	0.227849838	0.236980255	0.23071887	0.230734054
ko03020	0.137278107	0.140109943	0.172138326	0.136673656	0.131764368	0.149406554	0.101206846	0.165263302	0.147135641	0.125232952	0.138711583	0.132870809	0.27979914	0.258358261	0.279578781	0.260816287	0.288767217	0.260557368	0.255566591	0.246165448	0.246518255	0.258854808	0.264980902	0.257451613
ko03022	0.220836357	0.187269577	0.183013736	0.193719945	0.186715981	0.22027628	0.20377241	0.230679968	0.214729989	0.183952965	0.199958199	0.212845521	0.192967644	0.171172347	0.182483591	0.166958253	0.188029021	0.160480329	0.15917924	0.136024036	0.146785274	0.167161631	0.162173345	0.167852393
ko03030	0.143993921	0.043117781	0.033806767	0.043559609	0.01026863	0.153524065	-0.032536198	-0.029552719	-0.012190511	-0.081357763	-0.036634475	-0.026426638	0.093839196	0.132460515	0.089877787	0.094016408	0.190848378	0.085404171	0.079120457	0.053154048	0.068610681	0.053306142	0.14528953	0.038823935
ko03040	0.277364119	0.240715201	0.251234445	0.259050765	0.258510172	0.276339686	0.220420046	0.247297654	0.235233316	0.213647021	0.232126921	0.230393089	0.330230515	0.318485975	0.32088001	0.32534808	0.331132145	0.299527454	0.308586889	0.291060577	0.305453147	0.312206039	0.312201907	0.310366808
ko03050	0.522891121	0.520985341	0.522028644	0.53025814	0.530396804	0.519612667	0.393732373	0.422872818	0.4319233	0.389618874	0.419869495	0.399089882	0.510487978	0.517263586	0.520393458	0.518792255	0.514592552	0.512129301	0.522963315	0.516422638	0.519485258	0.531861961	0.523022252	0.523160079
ko03060	0.355670138	0.361066105	0.373197801	0.379163231	0.375634023	0.351846668	0.299100566	0.315187794	0.326725613	0.299869811	0.304787186	0.298332672	0.415076114	0.422080717	0.427227574	0.419230295	0.409851096	0.411879432	0.417390923	0.407498701	0.401726571	0.409970466	0.403361762	0.414033427
ko03082	0.159157282	0.126524823	0.117181598	0.12237599	0.119988313	0.15227684	0.089810187	0.100292162	0.109357475	0.067610906	0.086351548	0.082898099	0.142901413	0.137501703	0.122745345	0.132088744	0.144908131	0.108511065	0.123115606	0.097249379	0.111434071	0.116068256	0.126247247	0.110070391
ko03083	0.119271538	0.083161852	0.064157133	0.090666489	0.101103413	0.093249237	0.120422739	0.139159628	0.133462901	0.091502744	0.095404859	0.116086236	0.065518852	0.073875641	0.057299627	0.091178216	0.076235885	0.046659224	0.076103215	0.050896194	0.036207207	0.074078306	0.083245464	0.061572494
ko03250	0.237612353	0.214615892	0.196583613	0.225495463	0.212039102	0.237665697	0.245727317	0.273371477	0.262704347	0.249014159	0.247696128	0.255086879	0.306550424	0.301602347	0.281051034	0.316287374	0.316372738	0.280036786	0.310289803	0.290117874	0.289288099	0.310639441	0.313105684	0.301708496
ko03272	0.212999502	0.218724207	0.230402982	0.211760666	0.223844328	0.203872202	0.340338335	0.288629423	0.296770768	0.313584919	0.331782288	0.344514266	0.188413419	0.196899561	0.173235241	0.174678561	0.191844672	0.169577109	0.200037219	0.206487386	0.187985397	0.200344082	0.216704414	0.188621622
ko03273	0.547065312	0.490827511	0.477463899	0.50946881	0.538599967	0.501140418	0.607015045	0.589620593	0.59643768	0.582011768	0.593731167	0.593257507	0.517501998	0.531727865	0.484285998	0.525394912	0.50439398	0.515791742	0.49274059	0.50885262	0.471297478	0.520873831	0.529129335	0.486638164
ko03410	0.089469612	0.020762001	0.026676128	0.027109761	0.000433436	0.102037872	0.004678505	-0.000256974	0.01489481	-0.029653156	-0.004434958	-0.003859974	0.106878849	0.121239473	0.111687401	0.110207399	0.155067911	0.097343196	0.095751175	0.070795119	0.098659695	0.081593372	0.116598793	0.070359566
ko03420	0.145768864	0.110051872	0.121595256	0.106380899	0.097063883	0.149959277	0.096229527	0.120815105	0.106009148	0.082675378	0.095131634	0.100945894	0.152044161	0.150195965	0.147551487	0.140918707	0.165670613	0.125343957	0.114670399	0.088632033	0.108420618	0.106281618	0.126132414	0.103689018
ko03430	0.121416055	0.01454158	0.015870497	0.015867834	-0.001198088	0.11474327	0.002283838	0.041036647	0.046936797	-0.002678361	0.029499517	0.011136673	0.056560363	0.077259283	0.051250225	0.053533013	0.131967917	0.051383729	0.033608189	0.015858573	0.03035025	0.046891723	0.113154181	0.00976333
ko03440	-0.023980727	-0.099392104	-0.126109598	-0.1209347	-0.135320492	-0.024222615	-0.024330703	0.019421996	-0.001980775	-0.054839372	-0.029020233	-0.02654341	0.003818157	-0.011972828	-0.009871038	-0.033760818	0.046317802	-0.056209912	-0.051320761	-0.064670208	-0.032384031	-0.037158529	-0.001368301	-0.066636271
ko03450	0.140437542	0.092324075	0.085033347	0.071952723	0.04005276	0.149414923	0.108513849	0.116093953	0.130625917	0.106555812	0.125767966	0.09680344	0.067550685	0.086931668	0.083574324	0.055646822	0.102146369	0.073563812	0.090922205	0.081417148	0.13368705	0.113366001	0.120741008	0.070634572
ko03460	0.011302975	-0.067665106	-0.07063697	-0.07610118	-0.082663044	0.003316805	-0.057814501	0.00429004	-0.034816442	-0.072911936	-0.03936304	-0.064554169	-0.020084222	-0.008226776	-0.02246262	-0.032832074	0.019020746	-0.076319936	-0.048825461	-0.052666717	-0.035719233	-0.02186858	-0.005996009	-0.049636336
ko04013	0.047090683	0.035465136	0.031994736	0.063397442	0.054796845	0.038599063	0.155654086	0.164745097	0.163490173	0.176856707	0.150292166	0.156946469	0.116419735	0.116742509	0.098167555	0.127803823	0.120041583	0.112073239	0.132183245	0.106175662	0.113255141	0.137751866	0.123359203	0.124890783
ko04068	0.071805474	0.04900834	0.009750975	0.046232352	0.044292936	0.053696963	0.090078505	0.10072317	0.096160139	0.097524889	0.062654022	0.097061569	0.022009226	0.036988935	0.017923065	0.030242395	0.037470297	0.003299387	0.015939169	0.004732573	0.014739096	0.027140187	0.038253998	0.011952207
ko04070	0.017388727	0.011116513	-0.009140352	0.017910552	-0.005196703	0.013799193	0.046780077	0.066582364	0.077729642	0.06489016	0.033512459	0.060430911	0.008622094	0.011066719	0.007711239	0.025083566	-0.018328195	-0.003948212	0.001525111	-0.020679256	-0.017986457	0.008268695	-0.010938574	0.008188385
ko04080	-0.074768381	-0.117935565	-0.110749636	-0.10408541	-0.115015069	-0.084224339	-0.070215994	-0.074311337	-0.10708303	-0.030422032	-0.097292597	-0.098719343	-0.145807248	-0.143240253	-0.14943828	-0.147011001	-0.145054967	-0.102160987	-0.180910674	-0.097729159	-0.140848624	-0.188381851	-0.169580809	-0.155653661
ko04081	-0.085871119	-0.085031244	-0.105776996	-0.08503013	-0.096765436	-0.101282034	-0.025662325	-0.009622712	-0.018072955	-0.022429527	-0.031527924	-0.018497908	-0.041226833	-0.045093915	-0.055422342	-0.048779658	-0.061258304	-0.076196619	-0.080272394	-0.087604161	-0.090558657	-0.073834283	-0.074348822	-0.078248608
ko04082	-0.285801799	-0.270459702	-0.28946652	-0.261836768	-0.280127436	-0.257941508	-0.124964076	-0.135232119	-0.16628829	-0.172283514	-0.146490119	-0.136358068	-0.23330742	-0.220700398	-0.216484449	-0.228878386	-0.205886382	-0.2316561	-0.226855159	-0.211376343	-0.215400839	-0.201729536	-0.184201131	-0.216974422
ko04120	0.194989955	0.180486398	0.159443991	0.189113136	0.174294593	0.199881341	0.205728228	0.235014837	0.233131485	0.213634103	0.209226407	0.20130472	0.229613589	0.226352788	0.214992309	0.233595732	0.23572405	0.212132992	0.226762193	0.212038193	0.223161501	0.241455072	0.226367895	0.234284607
ko04122	0.080761034	0.076620626	0.06025045	0.115712331	0.053467568	0.100196523	-0.095216408	-0.026010277	-0.076222935	-0.107628236	-0.043654075	-0.023872584	0.047638791	0.075564183	0.108790657	0.111492839	0.065706756	0.074592016	0.022726217	0.020052625	0.062939081	0.043675387	-0.008660068	0.091490955
ko04130	0.104575046	0.127954573	0.07428217	0.094489841	0.063073718	0.121891355	0.162504371	0.206323632	0.208055862	0.202538224	0.158585273	0.157101845	0.171644325	0.170188988	0.17412197	0.195045656	0.180380125	0.120601905	0.128606828	0.113651152	0.126671497	0.140021587	0.110148331	0.135086718
ko04136	0.160593717	0.148595404	0.119097863	0.171186647	0.149020702	0.166325278	0.215974098	0.233848148	0.222781095	0.205345376	0.208699891	0.215234683	0.190644281	0.19034519	0.180133328	0.191376278	0.172701335	0.155536778	0.169479222	0.148757757	0.179618297	0.215376275	0.176204535	0.190650227
ko04137	0.293247596	0.290535703	0.285912901	0.307540902	0.290599399	0.306047232	0.32117489	0.34175763	0.349905106	0.321234044	0.309750262	0.318997645	0.378636143	0.384025659	0.371939282	0.387614419	0.393547874	0.388034706	0.368962826	0.357804972	0.365449589	0.377291822	0.357939237	0.366676065
ko04140	0.13864061	0.127518403	0.112533363	0.150002798	0.136051927	0.136905964	0.138666048	0.162567592	0.160742186	0.155959066	0.118838811	0.135777061	0.128792219	0.128627027	0.116900308	0.136979488	0.122407307	0.098152102	0.11423654	0.104334466	0.10923749	0.134844299	0.10713115	0.118796485
ko04141	0.35088867	0.35785786	0.350945083	0.359148273	0.352315329	0.331230936	0.321789922	0.339754789	0.336239423	0.317096865	0.332901598	0.326623295	0.358901279	0.351330897	0.350411123	0.362240397	0.337218297	0.341116553	0.343191732	0.332876111	0.335477284	0.351696934	0.328519445	0.357057952
ko04142	0.171698981	0.178857844	0.191253295	0.195205844	0.202064323	0.17696935	0.190569648	0.185239598	0.211546865	0.192956712	0.190542283	0.190058261	0.191712323	0.194723973	0.185792714	0.199432823	0.177813734	0.20464289	0.209427476	0.235130163	0.211977253	0.198994457	0.194089827	0.227245787
ko04144	0.144780202	0.156659507	0.122110862	0.16827832	0.149921889	0.132860066	0.183517638	0.192754173	0.191806552	0.184196587	0.183616786	0.187800882	0.184912857	0.183035985	0.171834171	0.198604705	0.179551636	0.166484843	0.180699844	0.163043979	0.175799726	0.197535394	0.157980358	0.187848839
ko04145	0.279988332	0.28152266	0.299750525	0.304943199	0.30520135	0.274631848	0.31412435	0.287042287	0.29720456	0.297510214	0.301293766	0.311113716	0.336671902	0.329878339	0.320106711	0.330228615	0.329543405	0.326238099	0.323775245	0.326415534	0.313023052	0.326435633	0.317078554	0.319820532
ko04146	0.121929656	0.16012365	0.193352412	0.190793931	0.171330147	0.151602375	0.219218535	0.195496682	0.20753716	0.198792046	0.195815702	0.211684888	0.197476794	0.192961237	0.202675218	0.196674919	0.166476904	0.193436746	0.201107978	0.174684554	0.213090954	0.217729272	0.161005087	0.216157911
ko04148	0.082042191	0.081536216	0.067838058	0.105379805	0.120937442	0.071006783	0.09821572	0.105511303	0.104326913	0.103149849	0.096287237	0.115090404	0.123199887	0.110947498	0.10278437	0.108576673	0.102605365	0.11541964	0.105065636	0.10549966	0.101524912	0.121211491	0.096237495	0.114754111
ko04150	0.064156458	0.071348345	0.04878112	0.078515347	0.06022095	0.067207934	0.036231811	0.043408995	0.039855747	0.044199308	0.017862499	0.025654297	0.107296441	0.094976756	0.094092199	0.103182279	0.097336981	0.075285131	0.093707253	0.078186931	0.089885998	0.098417899	0.093071491	0.097556259
ko04213	0.054795476	0.065941982	0.037193571	0.047954361	0.030742912	0.062855886	0.044812613	0.039079556	0.037337901	0.0428954	0.004655663	0.052996554	0.065038001	0.04830264	0.056456148	0.048899257	0.026437502	0.025160848	0.050132209	0.044938041	0.057490673	0.072684572	0.054025182	0.061407133
ko04214	0.076922838	0.070758729	0.065606146	0.085353549	0.064494325	0.062061845	0.197665423	0.193223716	0.193857068	0.19318236	0.210302063	0.194645417	0.170854562	0.172110484	0.15710308	0.169686266	0.174618427	0.148496687	0.134451323	0.123827156	0.122344407	0.130805014	0.13057179	0.119954361
ko04215	0.135405523	0.108990289	0.108573364	0.115831	0.061910692	0.126899671	0.095219542	0.116374246	0.111257802	0.085753842	0.134340991	0.110025443	0.129542077	0.175590028	0.174886584	0.139682074	0.190133292	0.131309917	0.106100298	0.113405414	0.121303717	0.088439818	0.11235783	0.107206715
ko04310	0.029074239	-0.008231423	-0.00040405	0.014646737	0.015746204	0.01455151	0.095602858	0.092797252	0.087830138	0.101614284	0.078568666	0.086098723	0.051798138	0.04424247	0.023734716	0.05155847	0.062451259	0.039731201	0.065477411	0.052292003	0.059289838	0.078839705	0.086020563	0.063595507
ko04320	0.013399345	0.033996134	0.011313503	0.046418789	0.026480479	-0.002471836	0.005937361	-0.003022952	0.018409519	0.017935181	0.033849365	0.022732172	0.174611005	0.197505581	0.157564947	0.209574843	0.185541447	0.183894422	0.179007147	0.155541882	0.128089175	0.19629331	0.150399396	0.16647444
ko04330	0.089105984	0.071888697	0.064802784	0.079367823	0.077195472	0.092311596	0.102011851	0.103031024	0.137534513	0.094618709	0.092569093	0.094753729	0.007122884	0.006461916	-0.022053007	0.0138825	-0.002973386	-0.002730816	0.026959252	0.007300913	0.004175919	0.043291758	0.041144156	0.031903701
ko04341	0.118048205	0.081542652	0.072682335	0.108466682	0.129986986	0.062310352	0.027018156	0.001456999	0.009419685	0.087493341	0.006289439	0.005578405	0.007053123	0.005331419	-0.008879374	0.016638897	-0.011281681	-0.03115	0.011570036	-0.000957487	0.00359262	0.030492888	0.011369456	0.017134909
ko04350	-0.019131177	-0.021571329	-0.035172271	-0.013027629	-0.015270608	-0.050018103	0.073378577	0.040638859	0.055964214	0.077839033	0.048213395	0.052076439	0.057330659	0.058848122	0.029822822	0.073450025	0.045242737	0.032307406	0.059582117	0.022030086	0.02987815	0.067300273	0.056907729	0.043262779
ko04382	0.092199436	0.102939612	0.104656292	0.105613685	0.178355962	0.080714803	0.052036709	0.028705794	0.0377774	0.101716349	0.078227866	0.07072346	0.070618043	0.039504755	0.017381612	0.055906437	0.024654864	0.096360026	0.117415803	0.134362278	0.088959968	0.076552603	0.089680517	0.12455127
ko04391	0.079649485	0.063928646	0.053032602	0.074565936	0.080485745	0.074919989	0.122233404	0.107233295	0.119125379	0.12459936	0.122855165	0.122516522	0.057480116	0.066527299	0.035115402	0.073160833	0.065609888	0.054979008	0.024705809	0.037785193	-0.002218084	0.040334975	-0.000664742	0.021300455
ko04392	-0.149912858	-0.146485918	-0.165782942	-0.135602359	-0.144534751	-0.134100407	0.02304313	0.015226305	0.025049355	0.012089534	0.020831077	0.027547238	-0.084751751	-0.093209791	-0.1124885	-0.077009966	-0.087122214	-0.115246956	-0.147381758	-0.125116584	-0.155259339	-0.123848428	-0.170112574	-0.132157705
ko04512	0.084287868	0.062695786	0.122097307	0.093168148	0.145798971	0.048650254	0.084605036	0.010968652	0.024362223	0.060987177	0.048511747	0.054587985	0.026957935	0.096599743	0.026641383	0.037575249	0.067930407	0.109276289	0.036238896	0.08399125	0.005615491	-0.021164741	0.112494813	0.027578251
ko04620	0.035987036	0.027795576	0.026008248	0.077295292	0.053126721	0.005566488	0.079368609	0.095652476	0.094157851	0.085301248	0.081848403	0.07925023	0.088833066	0.074108582	0.070433893	0.108422364	0.092472912	0.068540873	0.090914579	0.065203914	0.063454318	0.097171297	0.063900193	0.069606531
ko04624	0.125181316	0.091622746	0.125373645	0.128964868	0.149477728	0.081700218	0.052962538	0.09829891	0.070354494	0.079720936	0.088164372	0.072148498	0.075795608	0.062679334	0.044163737	0.077288317	0.069443675	0.083179757	0.07258072	0.127225067	0.069565274	0.075237296	0.088678339	0.064867484
ko04711	0.134770347	0.139147449	0.082256399	0.145986664	0.073144603	0.099033834	0.076913612	0.146399743	0.112021248	0.114620278	0.022232479	0.085197531	0.0157178	0.036325256	0.038143584	0.099824777	0.027952828	0.027052153	0.092918423	0.055504264	0.049186348	0.094232119	0.015421946	0.076506166
ko04745	-0.100039505	-0.063751373	-0.102083323	-0.08049188	-0.092437263	-0.102309269	-0.045378995	-0.035458082	-0.02605627	-0.011356475	-0.017939321	-0.010568423	-0.050100264	-0.042806214	-0.056211555	-0.015997935	-0.07278642	-0.050757112	-0.08257516	-0.087648385	-0.095712571	-0.075651339	-0.097132137	-0.080453936
ko04814	-0.049859568	-0.062441862	-0.071391312	-0.054517406	-0.062526799	-0.071831853	0.034049037	0.027942777	0.031908855	0.025465207	-0.00874298	0.014546983	0.013288026	0.013417459	0.00997545	0.017888427	0.00428551	-0.01735783	-0.006773636	-0.002689936	-0.004012641	0.013779349	-0.004667504	-0.007172735
ko04820	0.119124233	0.121519724	0.111115143	0.124618106	0.13510524	0.094074938	0.271640524	0.200021503	0.210977247	0.257574645	0.280473993	0.262825471	0.180883775	0.19818309	0.171247376	0.17069446	0.180777353	0.175890404	0.174963643	0.185504384	0.174627698	0.166710312	0.194747449	0.163183744
ko04977	-0.185849724	-0.156198787	-0.119175385	-0.115870695	-0.151671515	-0.159973934	-0.05396916	-0.13125443	-0.117870422	-0.066417382	-0.065283955	-0.022933069	-0.271335252	-0.306067235	-0.267128664	-0.268336027	-0.293333408	-0.292763969	-0.268790587	-0.246359655	-0.26681267	-0.25512009	-0.246123754	-0.234427584
ko04980	0.167454655	0.215600809	0.152197032	0.16114814	0.148986346	0.179504607	-0.119046066	-0.075704394	-0.097691239	-0.125413715	-0.144558319	-0.09776058	0.240831048	0.257703723	0.316228916	0.293668097	0.276769696	0.276626197	0.153186255	0.145085351	0.172431655	0.147396343	0.166155054	0.165321142
ko04981	0.01422996	-0.001002282	0.025651246	0.041379015	-0.015251424	0.032901355	0.032809827	0.037390162	0.051274851	0.02440194	0.054708693	0.063844134	0.072527923	0.096014822	0.082298028	0.074366904	0.117962458	0.042146861	0.11134678	0.093594842	0.125558493	0.04807766	0.163856249	0.111458447
ko05100	0.218586474	0.204746579	0.189173574	0.230379016	0.240393734	0.193702856	0.193484951	0.18974205	0.204818706	0.195748315	0.207234108	0.210139945	0.24903436	0.245441097	0.23344904	0.253797938	0.252276654	0.241630482	0.251884518	0.255601431	0.243426267	0.256239504	0.245215974	0.250228176
