gene_set	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
ko00590	0.070771673	0.103281562	0.118345897	0.083862442	0.121122891	0.076688743	0.117203998	0.103496155	0.084816842	0.053137352	0.115293605	0.075947463	-0.032006724	-0.050021733	-0.027211189	-0.051117723	-0.071624092	0.027087933	0.002795612	0.052371564	0.036814399	0.036631833	0.002226603	0.033305698
ko00592	-0.063030519	-0.072001047	-0.008715259	-0.025179336	0.011164304	-0.085486113	0.031995111	0.042669269	0.061889392	-0.017480356	0.066057412	0.042662339	-0.031894973	-0.046889225	-0.062388462	-0.034499688	-0.047785632	0.042328971	-0.01316071	0.039590516	0.0141314	0.032515587	-0.063294521	0.018560612
ko00600	0.215241931	0.23856713	0.240230359	0.24639872	0.239520522	0.227701897	0.13074178	0.141018087	0.154224052	0.143346604	0.150891526	0.133700738	0.113479938	0.091004337	0.080671745	0.107218435	0.066496941	0.09991066	0.134384572	0.146500132	0.108314226	0.08573531	0.095742683	0.154698636
ko00601	0.221559943	0.235231202	0.2565433	0.193942812	0.194795585	0.202080388	-0.317988899	-0.348726363	-0.365185867	-0.349425176	-0.260654511	-0.311962355	-0.284120991	-0.332360534	-0.274817421	-0.346995755	-0.249015113	-0.318197797	-0.233760203	-0.19160291	-0.187397959	-0.291804404	-0.275452071	-0.282316307
ko00603	0.247763815	0.222943603	0.270403127	0.240567583	0.25359996	0.257979653	-0.002210182	-0.028022441	0.004036321	-0.02881639	0.015346531	-0.005524703	-0.008817451	-0.019429316	-0.110289617	-0.078269998	-0.131548033	0.002849153	0.019828796	0.068554986	0.014945072	-0.026303219	0.000584016	-0.006588855
ko00604	0.487971921	0.475780823	0.467304922	0.515344375	0.480683767	0.508696856	0.219002647	0.18891169	0.284911648	0.208613889	0.197909861	0.197979928	0.170642933	0.090186623	-0.009420302	0.090594631	-0.186422786	0.180532953	0.173126167	0.162726004	0.08679813	0.077745269	0.027738292	0.172896482
ko00620	0.208801133	0.297647898	0.248367214	0.268012883	0.244756966	0.227246482	0.296184395	0.255390086	0.265588095	0.283564598	0.316542504	0.282311044	0.268041952	0.280489727	0.287009365	0.275684471	0.237986614	0.256571717	0.305866566	0.293770457	0.297984638	0.28626065	0.302148117	0.29970453
ko00630	0.250473388	0.323295803	0.296357678	0.306088701	0.284164034	0.286726799	0.275562554	0.234776792	0.237430692	0.276657856	0.267559081	0.281157019	0.269431273	0.286456205	0.30251519	0.294350447	0.273004542	0.290915643	0.349909279	0.325439365	0.331526434	0.336656128	0.332633365	0.343339287
ko00640	0.135208197	0.183263459	0.18891754	0.22166633	0.204310732	0.135801815	0.298319919	0.277657693	0.314109717	0.300525236	0.282471752	0.303933081	0.304028592	0.318446736	0.300022813	0.325642722	0.258517085	0.27854017	0.281627603	0.264290636	0.271275724	0.279622788	0.225461259	0.277201037
ko00650	0.132026679	0.188258911	0.215644411	0.232920271	0.20597383	0.163370971	0.213232151	0.160309645	0.200824418	0.219671197	0.210954891	0.193383376	0.217627313	0.200578311	0.246798613	0.205639006	0.144110297	0.215619973	0.230029125	0.198868902	0.184241334	0.176206435	0.177963302	0.216625595
ko00670	0.186665159	0.225366871	0.242142201	0.1861311	0.196091014	0.219860535	0.151481025	0.162274164	0.144298532	0.154330464	0.197710239	0.218145551	0.118564078	0.118848068	0.180571387	0.117534053	0.136834061	0.127580547	0.239479972	0.162798201	0.220954883	0.118225692	0.243604525	0.215213751
ko00730	0.020242017	0.10949948	0.064824719	0.04423548	-0.010180016	0.061139698	-0.045643648	-0.077042087	-0.064307601	-0.06025905	-0.013624812	-0.042680249	0.058957954	0.035530267	0.087467875	0.038075683	0.008692854	-0.004429744	0.032635456	-0.021455582	0.033218269	0.023050305	0.01042135	0.039182885
