pathway	cpd
ko00073	C19621
ko00073	C19622
ko00073	C19623
ko00073	C19624
ko00073	C19625
ko00073	C19630
ko00074	C00024
ko00074	C00031
ko00074	C00083
ko00074	C00229
ko00074	C01083
ko00074	C01209
ko00074	C02843
ko00074	C03688
ko00074	C20683
ko00074	C20876
ko00074	C22855
ko00074	C22857
ko00074	C22858
ko00074	C22859
ko00074	C22860
ko00074	C22861
ko00074	C22862
ko00074	C22863
ko00074	C22864
ko00074	C22865
ko00074	C22866
ko00074	C22867
ko00074	C22868
ko00074	C22869
ko00074	C22870
ko00074	C22871
ko00074	C22872
ko00074	C22873
ko00074	C22874
ko00074	C22875
ko00074	C22876
ko00074	C22877
ko00074	C22878
ko00074	C22879
ko00100	C00187
ko00100	C00448
ko00100	C00751
ko00100	C01054
ko00100	C01164
ko00100	C01189
ko00100	C01561
ko00100	C01673
ko00100	C01694
ko00100	C01724
ko00100	C01753
ko00100	C01789
ko00100	C01802
ko00100	C01902
ko00100	C01943
ko00100	C02141
ko00100	C02530
ko00100	C03428
ko00100	C03845
ko00100	C04525
ko00100	C05103
ko00100	C05107
ko00100	C05108
ko00100	C05109
ko00100	C05437
ko00100	C05439
ko00100	C05440
ko00100	C05441
ko00100	C05442
ko00100	C05443
ko00100	C07712
ko00100	C08813
ko00100	C08821
ko00100	C08830
ko00100	C11455
ko00100	C11508
ko00100	C11522
ko00100	C11523
ko00100	C15776
ko00100	C15777
ko00100	C15780
ko00100	C15781
ko00100	C15782
ko00100	C15783
ko00100	C15808
ko00100	C15816
ko00100	C15915
ko00100	C18231
ko00100	C21106
ko00100	C22112
ko00100	C22116
ko00100	C22119
ko00100	C22120
ko00100	C22121
ko00100	C22122
ko00100	C22123
ko00100	C22136
ko00120	C00037
ko00120	C00187
ko00120	C00245
ko00120	C00695
ko00120	C01301
ko00120	C01794
ko00120	C01921
ko00120	C02528
ko00120	C03594
ko00120	C04554
ko00120	C04722
ko00120	C05122
ko00120	C05337
ko00120	C05444
ko00120	C05445
ko00120	C05446
ko00120	C05447
ko00120	C05448
ko00120	C05449
ko00120	C05451
ko00120	C05452
ko00120	C05453
ko00120	C05454
ko00120	C05455
ko00120	C05460
ko00120	C05465
ko00120	C05466
ko00120	C05467
ko00120	C05468
ko00120	C06341
ko00120	C13550
ko00120	C15518
ko00120	C15519
ko00120	C15520
ko00120	C15610
ko00120	C15613
ko00120	C15614
ko00120	C17331
ko00120	C17332
ko00120	C17333
ko00120	C17335
ko00120	C17336
ko00120	C17337
ko00120	C17339
ko00120	C17343
ko00120	C17345
ko00120	C17346
ko00121	C00695
ko00121	C01921
ko00121	C02528
ko00121	C03990
ko00121	C04483
ko00121	C05122
ko00121	C05337
ko00121	C05465
ko00121	C05466
ko00121	C07880
ko00121	C15515
ko00121	C15517
ko00121	C17644
ko00121	C17646
ko00121	C17647
ko00121	C17649
ko00121	C17650
ko00121	C17651
ko00121	C17654
ko00121	C17657
ko00121	C17658
ko00121	C17660
ko00121	C17662
ko00121	C17664
ko00121	C17667
ko00121	C17668
ko00121	C17687
ko00121	C17689
ko00121	C17726
ko00121	C17727
ko00121	C17737
ko00121	C20865
ko00121	C20866
ko00121	C20867
ko00121	C20868
ko00121	C21449
ko00130	C00082
ko00130	C00156
ko00130	C00223
ko00130	C00251
ko00130	C00341
ko00130	C00353
ko00130	C00390
ko00130	C00399
ko00130	C00423
ko00130	C00544
ko00130	C00811
ko00130	C00828
ko00130	C00885
ko00130	C01179
ko00130	C02059
ko00130	C02477
ko00130	C02483
ko00130	C02730
ko00130	C02949
ko00130	C03160
ko00130	C03313
ko00130	C03657
ko00130	C03964
ko00130	C03993
ko00130	C04145
ko00130	C05427
ko00130	C05807
ko00130	C05817
ko00130	C05819
ko00130	C05847
ko00130	C05848
ko00130	C05849
ko00130	C06986
ko00130	C10793
ko00130	C13309
ko00130	C14151
ko00130	C14152
ko00130	C14153
ko00130	C14154
ko00130	C14155
ko00130	C14156
ko00130	C15547
ko00130	C15882
ko00130	C15883
ko00130	C16519
ko00130	C16695
ko00130	C16999
ko00130	C17010
ko00130	C17017
ko00130	C17018
ko00130	C17412
ko00130	C17551
ko00130	C17552
ko00130	C17554
ko00130	C17559
ko00130	C17561
ko00130	C17562
ko00130	C17570
ko00130	C18131
ko00130	C18132
ko00130	C18133
ko00130	C18134
ko00130	C18135
ko00130	C19847
ko00130	C19858
ko00130	C19859
ko00130	C20265
ko00130	C20737
ko00130	C20738
ko00130	C20772
ko00130	C20773
ko00130	C21084
ko00130	C21860
ko00130	C22039
ko00140	C00187
ko00140	C00280
ko00140	C00410
ko00140	C00468
ko00140	C00523
ko00140	C00535
ko00140	C00674
ko00140	C00735
ko00140	C00762
ko00140	C00951
ko00140	C01124
ko00140	C01176
ko00140	C01227
ko00140	C01780
ko00140	C01953
ko00140	C02140
ko00140	C02373
ko00140	C02537
ko00140	C02538
ko00140	C03205
ko00140	C03681
ko00140	C03747
ko00140	C03772
ko00140	C03852
ko00140	C03917
ko00140	C03935
ko00140	C04042
ko00140	C04295
ko00140	C04373
ko00140	C04518
ko00140	C04555
ko00140	C04676
ko00140	C05138
ko00140	C05139
ko00140	C05140
ko00140	C05141
ko00140	C05284
ko00140	C05285
ko00140	C05290
ko00140	C05291
ko00140	C05293
ko00140	C05294
ko00140	C05295
ko00140	C05296
ko00140	C05297
ko00140	C05298
ko00140	C05299
ko00140	C05300
ko00140	C05301
ko00140	C05302
ko00140	C05469
ko00140	C05470
ko00140	C05471
ko00140	C05472
ko00140	C05473
ko00140	C05474
ko00140	C05475
ko00140	C05476
ko00140	C05477
ko00140	C05478
ko00140	C05479
ko00140	C05480
ko00140	C05481
ko00140	C05482
ko00140	C05483
ko00140	C05484
ko00140	C05485
ko00140	C05487
ko00140	C05488
ko00140	C05489
ko00140	C05490
ko00140	C05497
ko00140	C05498
ko00140	C05499
ko00140	C05500
ko00140	C05501
ko00140	C05502
ko00140	C05503
ko00140	C05504
ko00140	C08357
ko00140	C08358
ko00140	C08359
ko00140	C11131
ko00140	C11132
ko00140	C11133
ko00140	C11134
ko00140	C11135
ko00140	C11136
ko00140	C13712
ko00140	C13713
ko00140	C18038
ko00140	C18039
ko00140	C18040
ko00140	C18041
ko00140	C18042
ko00140	C18043
ko00140	C18044
ko00140	C18045
ko00140	C18075
ko00140	C22831
ko00140	C22832
ko00190	C00001
ko00190	C00002
ko00190	C00003
ko00190	C00004
ko00190	C00007
ko00190	C00008
ko00190	C00009
ko00190	C00013
ko00190	C00042
ko00190	C00080
ko00190	C00122
ko00190	C00536
ko00195	C00001
ko00195	C00002
ko00195	C00005
ko00195	C00006
ko00195	C00007
ko00195	C00008
ko00195	C00009
ko00195	C00034
ko00195	C00080
ko00195	C02061
ko00195	C16693
ko00220	C00011
ko00220	C00014
ko00220	C00025
ko00220	C00026
ko00220	C00049
ko00220	C00062
ko00220	C00064
ko00220	C00077
ko00220	C00086
ko00220	C00122
ko00220	C00169
