gene_set	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko00100	0.0877917312518887	0.18740019248684	0.328884260195625	0.308384552681654	0.352613454000232	0.177118681995302	0.297682079102065	0.32871233110176	0.312830301787279	0.343357681614541	0.413687469013077	0.45555166268858	0.454238723676912	0.449082290093442	0.444283048366696	0.430061876453823	0.42118398439998	0.432375292032458	0.443681335581045	0.442639949818771	0.37775302752876	0.421802430215882	0.412298995569213	0.440373510680624	0.412929834948409	0.424523152057873	0.417511570875922	0.417741060984248	0.368558368294275	0.417530506422213	0.444428695878335	0.335776059036562	0.318603147852931	0.413332576754548	0.402042682108613	0.465109215713229	0.427152986488781	0.334572656389731	0.330986345287005	0.390289739076018	0.415067004461871	0.235783411908199	0.325525620723978	0.293079648715928	0.301284120445514	0.410402939401839	0.411521145874923	-0.454359322485989	0.344671523048813	0.325690665320366
ko00130	0.0520201902679369	0.0669727754673396	0.0514036716973598	0.0452222539695591	0.0523946523137833	0.0883443306187764	0.0582126397639337	0.0572857453611567	0.0286304778198245	0.0468653845109942	0.083516752091307	0.0848130495160945	0.0639996594631025	0.0892105596965007	0.0495900153466539	0.0915437314658092	0.0554264496475324	0.109000054232682	0.0763727844027176	0.0935462971301224	0.0858880235108399	0.0394978242847258	0.0314663883990839	0.0564053709841503	0.104886420505922	0.109712073120543	0.0800823835802901	0.103899643077483	0.111380201306004	0.0917175610306611	0.059212841219531	0.0609950793607801	0.0905735382062551	0.0527480725902027	0.055523345695906	0.0323938618345332	0.0640282381878255	0.139487076416526	0.0796794240151609	0.105617113126079	0.0203283039774577	0.101678428041876	0.048426439112601	0.0286890578480045	0.0997738625181407	-0.0191625532724853	0.0993420358669907	0.164081059832755	0.0756826552707149	0.0925992679107794
ko00190	0.477799366179215	0.502183325021639	0.484507518854913	0.507944889569599	0.478655224638002	0.510855690902289	0.485744064648975	0.496318094175333	0.502418323591217	0.481658377523581	0.500716075689448	0.508719959970319	0.502922110553879	0.507549639002687	0.490520418144379	0.512756827066095	0.507010139940532	0.503107558976667	0.506480623599588	0.503190693436905	0.494201881474031	0.501148749344572	0.495165983014696	0.504763584491716	0.506129686240916	0.507876263815328	0.501706015347249	0.508673417088063	0.502431184434246	0.501605660629221	0.498794334408891	0.514176011506068	0.514049905710847	0.489788541072557	0.501629360852314	0.487945164690204	0.495228671644933	0.516210850383929	0.514416888627308	0.513790239914466	0.499244105197238	0.509973220434664	0.507495595920701	0.501438695636855	0.503886415889786	0.485342704028451	0.505735465627075	0.4977669559495	0.515879995435736	0.514259600110035
ko00220	0.285336001893727	0.314502270932936	0.300644158500255	0.359796168360711	0.278685022340847	0.310022555568983	0.310337262037111	0.334381718621289	0.36163292142612	0.280057113789788	0.365680149213367	0.324673510289918	0.325635201259524	0.361637285504229	0.298076021828429	0.342143360057595	0.316642325638472	0.334186476396121	0.308840278762405	0.321863839734068	0.324368856377803	0.319270474646468	0.292660668329283	0.306223433984478	0.345755649804053	0.351757046295755	0.335115532462471	0.3158196690915	0.310174265300312	0.342881704141737	0.301856946916167	0.295297321827165	0.324511758712048	0.260213438806468	0.347385775378341	0.290829556127737	0.323250504984572	0.348495775681721	0.309184768665137	0.301417405952805	0.287488485853254	0.324546481882854	0.28153776903699	0.256412238423675	0.312841738527635	0.209764409813728	0.332016829038947	0.28954287995701	0.326360187756624	0.345609275383957
ko00230	0.00414462122840645	-0.0144662173790442	0.00290672112361921	0.0332668270577935	0.0166698703507055	-0.00761939125648957	0.00352446962234317	0.0196111079594519	0.0248433534218352	0.0105335085992065	0.0191235727701552	0.00154295328798001	0.0241816310420269	0.016118668997833	-0.0104314891391577	0.00752486969906215	-0.00950244129725043	0.0089291757083568	0.00641571609187433	-0.00343130766873157	0.0132302742584331	-0.00303432143625563	0.0151091120227776	-0.00457807835122756	0.0104618111739116	0.0155135593758149	0.021820091066335	0.0133894613733466	0.0148169176939533	-0.00749664742060505	0.00641450103746172	-0.00157016605738279	0.0261520959358093	-0.0551435433628331	0.00594199289139964	-0.0225504008391466	0.0193879973846482	0.0230327711899815	-0.00409609203575845	0.00435487427427045	-0.00668798914202826	0.000248943527998994	-0.0116665682857577	-0.00535307550954967	0.00178429895548551	-0.0366742815893558	0.0136491472331255	-0.0379740820322144	-0.00538281008755905	-0.00965429533530632
ko00232	-0.00636140848866198	0.0063405438224907	0.0445970583010396	0.0119991683647698	-0.0302841914051695	-0.0191800795177787	0.0582376702898961	-0.00249896849850193	0.0420016965509945	-0.00341321633564683	0.0747208031772549	0.0356832807800132	-0.0266261221995476	-0.0392245769106565	0.0015294613043912	-0.0483747398433843	0.015912579443207	0.00940289573720525	-0.0451620925125944	-0.0249810403962228	-0.0596565641369032	0.00292551564025593	-0.0535099706000429	-0.0472332912056442	-0.0718659549167555	-0.0888598687334137	-0.011009198173308	-0.088079283643331	-0.0343265504365605	-0.0365317721418393	-0.0332527016086016	-0.0451876134213424	-0.0164153698477537	-0.0877158618320888	-0.085134291792003	-0.0234299486367295	0.0480398157079869	-0.105561312913964	-0.0152224312546903	-0.121460429116745	-0.0388444529883434	-0.0337013569598238	-0.0536879646322894	-0.0577842765213629	-0.0363920128543553	-0.0959266893282301	-0.0836859420154024	-0.177634248312622	-0.0690841702553164	-0.0929691447958472
ko00240	-0.000147252623315247	-0.0302112554914798	-0.0581552332682973	-0.014999719338167	-0.00147608796277875	-0.027939980534395	-0.0286704521811267	-0.00521779297787397	-0.01735103980285	-0.0118525001937675	-0.056147618560943	-0.0292186193379336	-0.0171456038375645	-0.0224561696322061	-0.0920456499813573	-0.0227135577315078	-0.049486023874782	-0.0606201511356332	-0.0127654533888142	-0.0484060485741973	-0.0380847566823035	-0.0612479928289386	-0.0331291470050013	-0.0484454687834931	-0.0151418835756602	-0.00696753964397047	-0.046500983976925	-0.0121244830256696	-0.052387284063037	-0.050466007382016	-0.0204308334889745	-0.0520318648324857	-0.0444641203939193	-0.0686032691316487	-0.0425630418862263	-0.0598830770852326	-0.0417223364781067	-0.011621585778431	-0.0597672536369892	-0.020535781747056	-0.0434332461676562	-0.0604159997591543	-0.0321391389516532	-0.0321046751433143	-0.0918115384262151	-0.0337065743761249	-0.0202761328085007	-0.0970336119745315	-0.0518260955885269	-0.0636951717186699
ko00250	0.205651842489011	0.233699311462719	0.226279380918974	0.302649261123994	0.256349035741934	0.237404771606762	0.227726636655401	0.289798368095485	0.296654116824519	0.251675262433905	0.257770284430632	0.2604624902733	0.261520935094541	0.29089334829712	0.261753686325006	0.272838068283048	0.263317670809982	0.270703735209013	0.266219550904498	0.266140517548188	0.263322422682348	0.271042267332609	0.240620587962609	0.247202194430761	0.272977684363065	0.27803107835884	0.250369736283872	0.257708001469754	0.231279487208039	0.263369237779353	0.236898314491336	0.246463496469378	0.249289248133342	0.183152960351995	0.264068178383618	0.220015760052511	0.261157307162886	0.269319731566544	0.24393312981785	0.249718451751958	0.206524665973117	0.243624944524255	0.208501818743609	0.170857010829588	0.206787597522478	0.168633702864487	0.268655786442701	0.150390402627256	0.231843937819072	0.237643486355774
ko00260	0.118026868979614	0.193538108055028	0.236994632098619	0.217489876255286	0.221360197868003	0.196385783194349	0.207459221876107	0.219769713895893	0.206312487926026	0.226039030484674	0.264571486836124	0.180894846281451	0.213867018339908	0.183233041199336	0.18422937522583	0.167328029472226	0.149581517708589	0.237955478228193	0.163565279850544	0.17394761202175	0.229012533642247	0.177364075724013	0.182400434934574	0.165952796155666	0.154068970470028	0.208926806591944	0.248461048600905	0.174298934246593	0.185900673334902	0.200384053990179	0.161082860178226	0.16371748153017	0.251949747041325	0.103187950309589	0.193268335862428	0.133906817369181	0.236368110270598	0.239113734910901	0.166069742458215	0.144904997887615	0.137917437562941	0.212760123149295	0.130233000218945	0.112358877764389	0.210536517506379	0.051981972885472	0.218574837855043	0.095576845340067	0.162937176546509	0.160126815092344
ko00270	0.141004185952458	0.204331605391164	0.200974945137987	0.282767745691684	0.242385182354137	0.216659100712933	0.194131170844127	0.265731375283746	0.267245125901505	0.234281399144815	0.259448943202784	0.225516046129102	0.247637569848372	0.230572454780279	0.227913169302869	0.241175233575718	0.212340651449858	0.245875459315216	0.233561164239509	0.219987016674154	0.248927656377344	0.235153002514812	0.243519070356842	0.240215008175846	0.23871485466259	0.24908605236842	0.268301750419933	0.241172240427022	0.241630210644095	0.250488478232767	0.220790772363808	0.222802335173562	0.255815940230852	0.157036737356756	0.260896245990393	0.204622024478635	0.254299557959597	0.263779091668401	0.222213960347431	0.209214792253477	0.20393816602029	0.232449952890511	0.194561729127703	0.187706465790499	0.23450741768849	0.163456783566691	0.248803433263867	0.151398914144594	0.244329053401259	0.224514532649596
