gene	Peri_vs_Esin	Bger_vs_Esin
ko04120	0.714953125399378	-3.27443993287206
ko00030	0.710427184667078	-0.296376319877399
ko00561	0.59642712532353	-6.83509834494997
ko04142	0.541052607910259	-0.355989076065276
ko04382	0.401357010025616	1.58206822049652
ko03460	0.401357010025616	-0.0465377854427764
ko00380	0.345721186861114	-1.60280449590419
ko00053	0.297268747150395	1.95346839658797
ko04148	0.295161205596581	-1.12476533389768
ko00564	0.293734048332354	1.6781079954905
ko00785	0.254368618325871	-1.16271843321719
ko00541	0.21697541190438	2.11848387091257
ko01240	0.206225803152522	1.05986802977669
ko00051	0.0622366304844245	-2.38815388883952
ko04512	0.0596319883320862	1.27585463132412
ko00650	0.031118752784942	-0.232579125611775
ko01212	0.0256242894309151	-3.03046352591096
ko00620	-0.0192049864042995	-1.58151504330165
ko04624	-0.031118752784942	2.40925052785666
ko00740	-0.0622366304844245	-6.19073519078434
ko00670	-0.0698408430143644	0.879438545502963
ko03440	-0.128364272363304	-2.39181195403274
ko00970	-0.129371843815513	-0.485913484462749
ko00532	-0.164674080628944	3.14226646293146
ko00510	-0.171754445115247	-1.38560760567482
ko04620	-0.293734048332354	-3.80892549751691
ko00603	-0.293734048332354	9.09006607262922
ko00062	-0.307347435448598	0.0205534578182456
ko00410	-0.311656452997085	-4.21054480913145
ko04146	-0.446535594299064	-2.54993422397437
ko00640	-0.447741182132408	-6.54730943228815
ko00520	-0.491365932694932	7.17385844678567
ko04144	-0.541052607910259	-4.22016447988487
ko04350	-0.542678551419239	-7.5341384981326
ko00980	-0.677778739049938	0.0390981735960115
ko00982	-0.728172281335598	0.402421184148543
ko00260	-0.73958746485576	-3.84407349959835
ko04341	-0.774735716700575	4.33358073427838
ko00330	-0.92535037813281	4.22381843473797
ko00790	-0.92535037813281	4.67593550509824
ko03450	-0.934653325613201	-0.516202762647948
ko00983	-1.00334816688309	-0.0208435308935943
ko01040	-1.19264658740605	-2.44151998835552
ko00010	-1.35739775545352	-0.841537653446094
ko04711	-1.47568412179811	0.442970523053003
ko04130	-1.6307882736122	-4.44926631860374
ko04814	-1.72955587470649	-9.00499633800013
ko00592	-1.7954537141043	-2.78557738771991
ko00750	-2.01480825289312	-0.235721200850032
ko00981	-2.09094052345201	-2.65825418652172
ko00600	-2.40187523428505	6.57445244975497
ko00604	-2.45528714549983	5.3051717980745
ko00440	-2.48220474261592	5.55036259318934
ko04140	-2.63661993628486	-0.676890820385606
ko04745	-3.17836688963623	-4.55501486548373
ko04136	-3.28979952649027	-5.47437856650126
ko00310	-3.37485638878923	-2.22543319772032
ko04310	-3.40789011291128	-7.64988273842199
ko00565	-3.63189950796391	2.64570714616499
ko03022	-3.80769183250167	-0.387110776581666
ko00562	-4.03515669160634	-5.27015636146414
ko00513	-4.45632615921892	-2.16443210977549
ko04080	-4.45632615921892	-0.754659655745984
ko03083	-4.58828413710734	-1.39757207356249
ko00590	-4.79504169270891	0.0588879439939973
ko04214	-4.96676324445939	-10.3760936927564
ko00534	-5.12479360888914	-2.30166224057908
ko04081	-5.43343980365219	-7.32265405283211
ko00511	-5.65390507612964	-3.70516945593186
ko04013	-5.71361598641355	-12.1469502694825
ko00531	-5.82923175670147	-5.98812950691788
ko04820	-6.05776350780192	-9.53312603543735
ko00500	-6.19785796637256	-2.45026538151437
ko04070	-6.60957832164456	-4.78427588519268
ko00340	-6.98815635038109	-5.74139868027665
ko04391	-7.0333268874117	-3.34391697344227
ko00830	-7.37899390616893	-1.38213151489034
ko03273	-7.37910972999202	-6.11331543855382
ko04068	-7.4032243489331	-3.88522285835407
ko04082	-7.4032243489331	-10.8871815811329
ko00514	-7.6342842534054	1.51420765013122
ko04330	-8.67717347577111	-1.51420765013122
ko00512	-8.94305202968707	-3.40331805622773
ko04392	-10.2739250878792	-10.5218949731668
ko04977	-11.1159425940786	-3.52425977807609
ko00515	-11.8619683414204	-10.5218949731668
ko03272	-11.9501970019433	-8.98861855608774
