gene	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_00019.t1	3.17528666053852	3.03824125715746	2.57306423608215	2.50925498628192	2.74454648052847	2.69880743994047	2.71325370182835	2.86782729202423	2.9823164325854	2.75034709652263	1.23886021509712	2.71882409127212	2.02259507508488	2.57560277696045	2.27033756702991	2.00958366025927	2.39994761540359	2.6353388166872	2.35905443987905	2.30257641707114	2.56146056174932	3.32899726522465	2.06729107909974	3.41443865656842	1.70295890442582	2.88855623428112	2.33883512860639	2.85671883123762	1.98369228572457	2.22872943300162	3.12054935177754	2.57638427111984	1.85842666930167	3.19427147577368	2.20935354327547	2.67120051157052	3.12747480566315	2.70435188094701	2.65812006155563	3.39601833704175	2.93622709517822	2.14840377190758	2.9781443654953	3.17375108033606	2.21523127627506	3.47009429264778	2.78618858610387	1.95405482625837	2.04590073013303	2.02339375920732
Pame_00020.t1	5.9380457932956	5.89422359007057	5.68775218733406	5.07715325503975	5.70413051193698	5.97271332942199	5.7568978589084	5.31989968306169	5.08534391882104	5.62086202098147	5.10103649772082	4.64721088048325	4.26947456754525	4.1768413474468	4.6213251626378	4.27972385660214	4.40805285263345	4.58012135888653	4.00308046956966	4.63982255163779	4.79129835874907	4.57794840681259	4.32986269842441	4.08489765677981	4.09137825922946	4.71562984053666	4.33255757049073	4.58427104367258	4.98657021455518	4.59921661104246	4.44779075867719	4.73438988899642	4.79246495997994	4.9810489030879	4.53457835934559	4.60205892728997	4.45736446139686	4.4660005763952	4.8282304388315	4.8674369023161	4.7977341450798	4.85458916515	4.94313367569071	5.10954443697253	5.26921272387275	4.75922509002394	4.59669069813961	5.33760406330366	4.90857756212328	4.89070933071496
Pame_00021.t1	10.7950899413302	10.4825861416957	10.0738202332917	10.1558175251561	9.81672928985006	10.3667702544907	10.3172317002226	10.0168779141454	10.3629300820549	9.90926307937532	13.4054739043298	11.751297173095	11.6489417327513	11.8287949900383	12.4033369662896	12.0603041354564	11.4867495632282	13.1846925155867	11.7764864950674	11.6412118325018	12.7620144659502	12.7330725367178	11.7163822147617	12.4446137540151	11.9260772757169	12.4392309346412	12.3361327272825	12.1143377407359	12.3719127412241	12.1924746812282	11.9475492778685	12.6147466470907	13.0552214179732	10.71506967938	11.8504681591943	11.489195690773	12.0888114223352	12.9323956312559	12.6317659298553	12.1816461183035	11.7634945695422	13.1464795784569	12.4029933771006	12.1990680283985	12.4977370952309	10.3219393658983	12.7472174426103	10.6430534673804	12.0690636991876	11.8728941532525
Pame_00022.t1	3.38745215500384	3.84883823329902	3.85480356958655	3.38857806172344	3.53444763110801	4.06712239296616	3.3317281435323	3.2452796379001	3.10967313732737	3.27990656431937	3.31444711359891	3.54809132302458	2.91722932467745	3.17664829983716	3.94010095832933	3.15046056912008	3.49853171886973	3.5203216649738	3.30522783058324	2.90182072364133	3.36452200712194	3.45723048618052	2.77354699484821	3.34162716307301	3.34530127134388	3.96315965617016	3.53651299683657	3.61225812477206	3.58999113684511	3.28386400410117	3.28148312785957	3.32325764688573	3.42298914075411	3.04951402318507	3.18930746756182	3.66741531008163	3.26323727056033	4.05683493768642	3.52328593582033	3.79074076523171	3.65993597208382	3.73692952633933	3.29943516772338	3.23325919761799	2.49974130782915	3.87342934711744	3.97529083975991	1.19297054929514	3.85028937007444	3.49217365961083
Pame_00024.t1	5.50777244471964	7.50504932385527	5.72832054280072	4.6376276335748	4.58214649889645	7.75968848842729	5.54014819160242	4.46707728027715	4.84127373530873	4.97452013500532	7.33596195960085	7.20999914698959	5.42031733229094	5.62937119268319	5.64051103287135	5.07385878460369	4.54225804976692	6.77507688702496	5.62211626327774	5.73989129651502	5.56725337455015	5.50156971429805	5.98854154614763	5.39527192028627	4.98692511660883	5.71829860104674	5.3826707107827	5.27888057608496	6.48231265731606	5.55197736018086	6.81211311298331	5.96524865684423	5.59570952345716	6.81219014367793	6.08510167941277	7.02588148715672	6.93683813585205	5.74118920715759	6.19339131053292	6.11398589321474	5.85337443622983	6.40402773240649	5.79762262119327	4.73579292798531	4.67408772635756	6.57639213230038	5.72540034361326	3.45524698614419	5.73853277182985	5.50561468306255
Pame_00025.t1	7.2447538928343	7.15062059991066	7.55455048161843	6.79736322997546	6.9869569625244	7.11458566164536	7.49717323157648	6.95170434703534	6.92874930641667	7.19029879162659	7.26056204903997	6.4239344309849	6.32532884387659	6.24377759886779	6.55192815733683	6.25039506812969	6.49290587949041	6.51766466443154	6.3313612672683	6.4233344519102	6.82172296864733	6.87181901211316	6.29147279313304	6.39099262675072	6.12020469367817	6.55862581395202	6.67839591155801	6.40562823738636	6.94715181867295	6.47902517729271	6.45792912213696	6.76748266025597	6.70528679027247	7.30634427499759	6.7221927608959	6.5725456234364	6.54301634891179	6.60021622243933	6.73348992588162	6.6518123148845	6.83337083237979	6.87307493222397	6.74414763753151	7.25047844743364	6.83101582481306	7.05515226165498	6.48759407153012	7.16267329394895	6.71981318126479	6.78378402621961
Pame_00036.t1	1.8796430390473	3.01072255940115	2.72123264891878	2.71123497786981	3.55329905845613	3.43811316895982	2.51142502597999	3.27408569392153	2.85513059963369	3.4456604988647	2.43905392530188	3.26568892558009	3.27271599421741	2.52675493050504	2.50792907408832	2.89862436151606	2.61602827696081	2.55515845028257	3.12258824166998	2.41299283420673	2.93478633297719	2.86137578838742	3.05190279057794	2.55131667200414	2.93124242890736	2.75948184178046	2.82642035502829	2.53604295058493	1.7843197082244	2.81590942328327	2.94282412373162	2.75754175523512	3.20585852956541	3.12613533483154	3.33064874490331	3.42228952307554	3.70592262495151	2.80080052521611	2.4922967369859	2.69146046499287	2.91154970189537	2.35888570493244	2.10741336293741	2.55097698267372	3.03242179829124	3.34497190738821	2.68289910289418	1.59006062280438	2.85628856725553	2.78299978098226
Pame_00040.t1	2.69528119514486	3.03989113687924	4.03582622472689	1.75236753260446	2.6979806028838	3.05170967722692	3.59666088503186	2.26682551167095	2.14625115879931	3.24629406574593	1.31333293336707	1.46709684927537	1.64661890069203	1.12969186000325	1.68197542132908	1.64586763503762	1.9135117757309	1.87580758015017	2.09363115987962	1.75599421242994	2.23804698303498	2.44647857309188	1.79940648776971	1.97570721599619	1.60306963174664	1.56698071963732	1.92871141255659	1.49509647345555	1.78836414795428	1.55846847065887	2.07764976790935	1.72777236656643	2.48591107922478	2.43531922146615	2.0519393226286	2.42880166614628	2.52714041615115	1.93405597342728	2.22587335757371	1.92377291374657	2.72842340470219	2.27064853908483	2.60751023249642	2.50421358402868	2.37152262054219	2.59796731348526	2.06407231482196	2.68720405463643	2.16666724722233	2.32612887186605
Pame_00042.t1	4.49823171658159	4.7863977162897	5.53877714451973	3.25400590098336	4.49894013233791	4.76297062458508	5.38610045802877	3.96457422181055	3.58436125251871	4.77974824158086	1.97328063915312	2.18984985522882	2.52110100414512	1.79311763670843	2.32796610501364	2.65951817250472	2.9832982762028	2.69239371932005	2.90470373692053	2.4973773257673	3.19585308301935	3.39318964606255	3.2006502979384	3.00469553626095	2.45783065070917	2.60290340704654	3.1254709188251	2.70337317308917	3.21506194176838	2.90758292308284	2.86877169694966	3.01560639542216	3.18574922248273	3.16686163494102	3.08797702795943	2.8719283944994	3.50803559770854	2.96726638278346	3.46396242831317	3.03726272465138	3.8953704884553	3.08544505236261	3.92878719928145	3.22807830180961	4.02259862577047	3.74459168654238	3.10907132271607	5.4558039296411	2.93596695924327	4.18027518961188
Pame_00043.t1	5.50974017340892	4.78350380048664	5.76638049054501	4.19592235684128	5.05613695207707	4.7219249123659	5.54122674250998	4.29691253706212	4.4502016966528	5.33098139471112	3.84796685009518	3.864196051539	3.53959310553091	3.78241904959161	4.40696517025465	3.87233628810464	4.05913027164103	3.88481279524424	3.6904059204695	4.14588936093776	4.09148827976428	4.44700385513013	4.10069177073496	3.95288332599845	3.84689442670347	3.85544160821557	4.00173920214753	3.81357599333014	4.13251926532218	3.72901975034994	4.01604161745794	4.03052148014074	4.52821497669788	4.57482206997017	4.17015741692149	4.41018504845994	4.45414956639375	4.41681272489879	4.62376738642584	4.41117537938401	4.52454014795281	4.69276194306377	4.73605280085152	4.9468150616738	4.38696955145318	4.88983368459698	4.39239299053986	4.60146476349126	4.7104152347071	4.35938763343228
Pame_00046.t1	4.01688849707299	3.68832585191385	4.42211187381321	4.06124912887969	3.80074462393678	3.72101166711161	3.91811904395741	4.13778219928436	4.2465753024812	4.02163074053918	4.53556155404406	3.14703148578013	3.61857931696997	3.32290879411521	4.26936983577902	3.39923262926276	1.66471947755625	4.31020922500321	2.59937730959275	2.48808306125238	4.49848065905585	3.958954004327	2.98013866345587	2.84508854950412	3.02044886274288	4.07818283761127	4.72220369243275	3.38810134679817	3.91741265936643	3.91497584341304	3.3789443668577	3.0246175500737	4.9825464410194	3.06708452193946	3.88388469978015	2.94311304095968	4.77282524211821	4.56930879922929	3.64549416114948	2.83797552561464	3.34015632042124	4.58062188112738	2.92266788484591	3.88367946123358	5.19461110039356	2.62088664744494	4.67272516507789	2.63480233953385	3.84991921868598	3.42995199602067
Pame_00047.t1	2.10182149519039	3.07409264048385	2.49439768860865	1.15065715267696	1.44706073818045	3.21158230370329	2.20007428060244	1.36883538466935	1.62748077189009	1.79193489832202	2.01622886523004	1.52073401298199	1.21933272660613	1.49026204879057	2.81010372725014	1.65873704223494	2.36544338906783	2.49712947053406	1.747666673224	2.15505944921407	2.36262698456681	2.66186130859733	1.42922494420783	1.65295909373073	1.30395605236634	1.43071881932496	1.88086964566896	1.49181718880625	2.2808583497307	1.97746677475701	1.63767052147435	1.99598733935823	1.65800577691312	4.23180870124093	1.78151918808929	2.09945343758984	1.76870095533078	1.29859966823261	2.53220473149871	2.12896971200461	2.07316556042042	2.2291479721033	2.58583747033201	2.93679998283051	2.57784208963962	2.89948695600435	2.13899463073902	3.69072996215656	2.48271923480675	2.75297974657386
Pame_00049.t1	1.69455931065207	1.76004206248612	1.85401959212359	1.17691632591687	1.63184930774002	1.51963751077839	1.75891287799003	1.82013810675589	1.79270129012089	1.49312467221552	1.55005350966632	1.86164575674924	1.65845372090795	1.92571844532103	1.88293253742239	1.8211754821421	1.98901908062977	1.74900214223023	1.80204842307698	1.55094990254589	2.25272749065299	2.2456721098792	1.96497892066399	2.02576590484915	2.11080420362791	2.34926618799351	1.89564386367075	1.88328453922878	2.32839704154085	1.93207629385369	2.10637177232261	2.14968859773018	2.24264213567634	2.24441216994681	2.04743369011381	2.13363585594911	2.12280853446708	2.31169201361211	2.16821519653163	2.40626998370565	2.08858940070691	2.21690180631267	2.45944473398714	2.77124752543269	2.07968872009001	2.30830553373951	2.07884206804641	2.00888483375279	2.62442847674627	2.15177765473205
Pame_00050.t1	2.35128627033452	2.2090509145596	2.44769555955869	1.88377719751621	2.14119079549161	2.13133924623496	2.44174639157694	1.68149874114764	1.87133901117624	2.19809492134581	2.65629270850462	2.32034314543589	2.37025078383901	2.2985908709272	2.71217754735499	2.57015930163612	2.6008120896681	2.82351092913823	2.50579186804277	2.30405538195222	2.76700851254954	2.84264903522936	2.30872199890921	2.42363464069835	2.56889794849774	2.69562864037513	2.55567384138896	2.48631793134702	2.71190893375085	2.43674818154601	2.63254509329978	2.54263693965095	2.55905122836702	2.74457231270987	2.79848398416832	2.7819891158647	2.85258418877278	2.76838972875067	2.8392783779123	2.60579535776943	2.83735797415478	3.04240795417206	2.78282369940667	2.81426329139978	2.81908158624554	2.90109472372053	2.67386844654009	2.89497681469936	2.73316558470463	2.6221314950331
