Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Alistipes_A;s_Alistipes_A_sp910583985	0	0	0	0	0	0	5.9924617	2.0095775	1.8756435	22.772049	1.3871843	3.229135	0	0	0	0	0	0	0.97197312	0.70514636	0.388984733	0.58058208	0.58821956	0.449224402
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_WRAV01;s_WRAV01_sp030265885	0	0	0	0	0	0	6.26793225	6.0775953	5.89176651	3.161136954	6.09939362	13.40089737	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Planctomycetota;c_SZUA-567;o_SZUA-567;f_SZUA-567;g_JAJBSZ01;s_JAJBSZ01_sp021205245	0	0	0	0	0	0	2.7442869	2.641123905	1.756904945	4.994143001	2.972419695	2.414501927	0	0	0	0	0	0	2.409842354	3.95001051	2.958197155	3.05771876	6.279087695	4.28626148
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae;g_JAAYCI01;s_JAAYCI01_sp012729855	0	0	0	0	0	0	0	0	0	0	0	0	2.20724371	2.39313505	4.23014706	4.10562249	3.16624764	3.82486999	3.47292021	3.60812734	2.27279691	1.48936659	4.00243754	3.10940057
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Azobacteroidaceae;g_JAJDGO01;s_JAJDGO01_sp030265685	1.6557888	2.06354863	2.00989034	1.2049141	2.60216926	1.9708162	0	0	0	0	0	0	1.282978665	1.59995158	2.48614701	0.70360559	1.45693712	1.86231426	2.55695027	2.70316682	2.84214973	2.56597072	3.00519917	2.77649145
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae;g_unclassify_f_Lachnospiraceae;s_unclassify_f_Lachnospiraceae	0	0	0	0	0	0	1.29594861	3.23467841	3.133793	1.434814562	4.71399647	1.491856164	1.26724036	1.16408629	0.45311683	0.257531305	0.45042799	0.20653308	1.95886303	1.94916718	5.69681797	1.410055942	4.284369482	2.54852203
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932;g_JAIRNF01;s_JAIRNF01_sp031258195	0	0	0	0	0	0	1.60918753	5.9860847	4.1190946	2.664559	4.362826	6.933886	0.4566533	0.2509727	0.57903874	1.1300328	1.0845366	0.7702164	1.6849372	0.98346091	1.06100878	0.6608701	0.9926389	1.18126674
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_unclassify_o_Bacteroidales;g_unclassify_o_Bacteroidales;s_unclassify_o_Bacteroidales	0	0	0	0	0	0	5.89047543	0.42406032	14.11851399	6.062822	5.5254471	1.14257045	0.6494345	0.42813104	0.15760249	0.07731207	0.15506308	0.13642077	0.12120215	0.20081337	0.11156788	0.26000494	0.0677383	0.15519
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Tannerella;s_Tannerella_sp031285685	0	0	0	0	0	0	0.63971126	7.1192317	3.8439379	0.19881141	3.2262416	0.8114735	3.19749347	0.88755417	2.02589748	5.2756335	3.5480505	3.24649544	0.28839543	0.11915126	0.10099447	0.20846526	0.27593413	0.37694654
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_JAJQAW01;s_JAJQAW01_sp031262465	3.524642	2.58564104	4.68672704	3.240203197	5.12644013	5.6010583	0	0	0	0	0	0	0.3552606	0.2088071	0.29465145	0.26519227	0.4348553	0.18549103	0.751282244	1.28653581	1.95123095	2.86519572	1.34473897	0.602564434
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides_H;s_Bacteroides_H_sp010500995	0	0	0	0	0	0	1.7888232	3.064041	3.4572701	3.588802	2.8430781	0.6805912	3.32219734	2.6946285	3.5267289	2.79533832	2.66839891	2.46994473	0.18232532	0.5560691	0.2748977	0.3776399	0.6676158	0.089251325
d_Bacteria;p_Planctomycetota;c_SZUA-567;o_SZUA-567;f_SZUA-567;g_JAJBSZ01;s_JAJBSZ01_sp020861125	3.57373664	3.14309635	3.73119765	4.76911801	2.43227561	3.02760523	0.25357533	0.096052684	0.10249728	0.2182344	0.10359991	0.5701409	3.0224704	2.040330205	1.88998571	1.38741459	1.33560123	1.30161169	0.24353471	0.22887571	0.11564638	0.12438916	0.5752201	0.23725997
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae;g_Dysgonomonas;s_Dysgonomonas_sp003523545	0	0	0	0	0	0	1.32680904	3.2132465	2.37687335	9.21159576	2.28365833	3.74324891	0.107522205	0.09307206	0.09456153	0.112454064	0.16798486	0.20463097	0.99335832	1.5211476	1.99180172	1.7803027	1.0365611	3.1920477
d_Bacteria;p_Desulfobacterota;c_Desulfarculia;o_Adiutricales;f_Adiutricaceae;g_Adiutrix;s_unclassify_g_Adiutrix	0	0	0	0	0	0	0.83593768	0.56461834	0.174262044	0.18972495	0.17460017	1.03156882	6.0914211	2.60130607	3.18454792	3.51809083	5.5266824	4.38228195	0.7364028	0.4747053	0.6182633	0.5846291	1.3246266	0.5810445
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_Tidjanibacter;s_Tidjanibacter_sp934663885	3.90227163	1.08217363	5.54700242	4.04905481	2.571960406	3.1304581	0.1429612	2.0846019	1.8241777	0.5382857	1.063507	0.26324445	0.16666551	0.19615218	0.16607624	0.12184501	0.14495184	0.1623046	0.282729457	0.451132325	0.549902275	0.45921066	0.538394359	0.407292546
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Azobacteroidaceae;g_JAJBTS01;s_JAJBTS01_sp020860885	1.5862038	1.5917363	0.15193458	0.7102844	1.1574751	1.021437	0.1653865	0.7492517	0.9242702	0.1423365	0.4432253	0.14791848	1.2397169	0.50820788	0.99921132	1.017503144	0.72183454	0.67849402	1.347330696	2.85844354	3.50948433	3.26364343	1.28477185	1.8569415
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Azobacteroidaceae;g_JAJBTS01;s_JAJBTS01_sp029916745	4.33115482	3.59449807	1.716288876	5.69122284	3.524857612	2.663864874	0	0	0	0	0	0	0.39394853	0.21173479	0.37269214	0.27139673	0.43515027	0.428775	0.424167823	1.269247233	0.296439586	0.541942361	0.30469231	0.422826743
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Azobacteroidaceae;g_WRFZ01;s_WRFZ01_sp031257875	0	0	0	0	0	0	0	0	0	0	0	0	3.7647497	2.29050554	5.68263856	4.02797578	3.53074361	7.24263077	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Rikenellaceae;g_UBA940;s_UBA940_sp031285345	5.20526402	4.76476489	5.48802888	3.84824741	3.65065932	3.22089242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_unclassify_g_Bacteroides	4.346379	5.354168	0.2443606	1.3906904	1.7144656	2.4988568	0	0	0	0	0	0	0	0	0	0	0	0	0.9800027	2.768323	0.07275025	5.4999366	0.5653788	0.17951113
d_Bacteria;p_Bacillota_C;c_Negativicutes;o_Acidaminococcales;f_JAISLQ01;g_JAISLQ01;s_JAISLQ01_sp031290885	0	0	0	0	0	0	1.14765104	1.58598428	1.07154872	1.60189614	1.34622095	1.46681068	1.50653622	1.92939543	0.677767814	0.97382324	1.25656303	0.78893523	2.01601857	1.92383835	1.88030218	1.2055895	0.759826492	1.58046418
d_Bacteria;p_Actinomycetota;c_Actinomycetes;o_Mycobacteriales;f_Mycobacteriaceae;g_Corynebacterium;s_Corynebacterium_provencense	5.6223683	1.1500019	1.435319	0.7766638	1.8594328	2.4443555	0	0	0	0	0	0	0	0	0	0	0	0	10.5448875	0.180870704	0.24440553	0.164602635	0.098614935	0.087228728
d_Bacteria;p_Planctomycetota;c_Planctomycetia;o_Pirellulales;f_Thermoguttaceae;g_WRKP01;s_WRKP01_sp031261125	0	0	0	0	0	0	0	0	0	0	0	0	3.788048	3.7771392	3.3573625	4.299812	3.867744	5.3110423	0	0	0	0	0	0
d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_JARXWG01;s_JARXWG01_sp029893105	0	0	0	0	0	0	5.9410276	2.2380817	3.4857018	4.934603	3.0576482	4.703058	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus_A;s_Enterococcus_A_pseudoavium	0	0	0	0	0	0	0	0	0	0	0	0	1.75224335	1.804744725	0.34136733	0.065243433	0.43316116	0.38108494	18.643862	0.05995949	0.09438477	0.18853752	0.3397406	0.024463702
