Species Path	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Secundilactobacillus;s_Secundilactobacillus_kimchicus	0.5454214	1.0730264	2.8834555	0.2690234	0.14751348	0.22346382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Secundilactobacillus;s_Secundilactobacillus_yichangensis	2.0741177	0.16819006	0.18427302	0.33978015	0.17165473	0.19388561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Alectryocaccomicrobium;s_Alectryocaccomicrobium_sp015056055	0.24389334	0.15432133	0.19501625	0.24962878	0.42820415	1.8787514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Avichristensenella;s_Avichristensenella_sp009787135	7.91974963	7.87001242	7.86773016	5.62903235	9.62091134	10.647722869999999	1.26907556	2.82334	2.5688112199999997	0.5803560560000001	3.0376074600000003	1.51207117	17.26593182	11.61050521	17.12105083	23.02940432	22.05002684	19.13113957	0.60178006	0.6868272	0.30369782	0.93423903	0.63061315	1.357689
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Faecivicinus;s_Faecivicinus_sp004555155	4.5351305	2.4524772	2.52375049	2.69853504	1.92408804	5.56066809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAEZHK01;s_JAEZHK01_sp029974035	0.44276038	0.5705405800000001	1.07911372	0.58438883	0.233017166	0.48705451999999994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_JAJDGF01;s_JAJDGF01_sp030265545	0.38078982	0.20138393	0.3590115	0.19545418	0.27473888	0.43760395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Limiplasma;s_Limiplasma_sp004556545	2.77952282	2.80639666	2.85977227	2.50886928	2.44307727	3.76972416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Limiplasma;s_unclassify_g_Limiplasma	0.5763232	0.49229577	0.4081602	0.50193125	0.48568875	0.7375484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Pullichristensenella;s_Pullichristensenella_sp012514855	0.24040906	0.45254725	0.26912245	0.15032196	0.66971123	1.0145258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_RGIG4709;s_RGIG4709_sp017481185	0.67867045	0.73978591	0.41819855	0.5733107	0.85091704	1.004853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_Ventricola;s_Ventricola_sp934631055	3.2416725399999997	3.81615584	5.64842739	3.3526325200000002	1.80188357	2.69935948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria;p_Bacillota_A;c_Clostridia;o_Christensenellales;f_Aristaeellaceae;g_unclassify_f_Aristaeellaceae;s_unclassify_f_Aristaeellaceae	1.20696772	1.41048744	1.9936852999999999	0.857096	1.94981333	1.69364628	0.23912857	0.33247113	0.8139025	0.13096431	0.33750045	0.1761296	0	0	0	0	0	0	1.82605715	1.49377857	0.66003844	3.40266124	1.1214907699999999	1.7987085
