gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K02635	0.34803456	0.119716205	0.11792168	0.23786102	0.2516236	0.63332045	0.05769812	0.04259264	0.06151371	0.09019322	0.031515777	0.028477889	0.314971767	0.208211988	0.254463878	0.223779121	0.38022341	0.35279385	0.190764727	0.142500105	0.101082217	0.173768505	0.082465108	0.13415227
K02636	2.39336527	19.21623385	7.31628558	3.83538334	5.22065709	4.929570823	0.958607374	1.71350929	1.43115339	1.21563388	2.273073674	2.36690263	1.85809396	1.81540758	3.097091778	4.75846784	5.11660674	3.89756521	4.010542349	1.588681103	2.85079357	2.115238063	3.012151998	3.431701189
K02639	2.80061466	1.14155365	1.66186411	0.50723356	1.7903975	2.51008419	0.580610175	0.910763613	1.125728583	0.59895787	1.24574109	1.602059818	3.568516673	3.63991112	4.651109605	2.582267375	7.13497659	4.955636753	1.34764347	0.93773906	0.498455506	2.388300843	0.83953161	0.47785285
K02647	68.595577689	135.819095636	80.629117087	44.2133329005	90.10673337	70.038954871	110.204971211	110.087399314	112.642209534	100.281939738	97.82294924	99.203312011	116.13753907	121.42555228	95.804475834	91.631062126	100.267242812	95.527001408	84.981936252	86.895638065	104.8125488645	77.969296718	116.683180176	98.760976414
K02650	25.284060102	19.2682577155	21.5652513845	13.124131431	31.415472932	33.873286451	61.299663245	69.897281135	80.7821391035	66.89792903	69.372513336	89.143469933	29.739333514	25.58297924	23.473385313	34.545433702	36.937628137	29.942689569	93.48842603	46.698958604	44.963252164	49.255311506	34.0363827415	44.630032741
K02651	5.80627427	9.55274957	9.02007089	2.84427654	11.91977416	2.94593484	8.015231347	7.659073197	3.98889114	3.546444596	18.7689593	12.040878526	9.710688886	9.160343308	12.122758098	15.591897483	12.26232629	12.893359658	13.239803344	25.928431448	9.56407354	26.127701204	13.672415245	12.769070763
K02652	61.249047973	52.630598072	66.8934391425	51.8668579516	83.094195298	54.196830545	136.7554498865	145.428533858	154.290138647	126.742833499	145.740609072	144.573879123	142.313788845	136.980203328	126.1674559965	138.615381639	149.191904335	161.447892001	141.7813679615	115.8747961125	102.4539652422	126.4394821505	89.061116051	102.0530809445
K02653	97.921288667	87.299650343	106.139510276	100.9364865125	115.303611905	132.019800722	166.048223576	173.279653428	177.666062768	153.169383992	192.413942552	200.397462576	197.264265962	188.3082994204	183.756176993	195.361069898	212.670129795	208.8273898573	181.191005279	146.2658736743	134.3472548879	131.200144042	148.817703726	148.427276425
K02654	74.45325264	68.524060988	78.229409927	66.184636082	82.46417416	122.451542387	134.033802595	133.318576414	138.557201734	128.6657628385	128.902768471	137.794362911	111.06594094	113.284126743	97.26640237	96.620997061	103.718251772	104.147444472	126.977575091	102.071238102	125.606941542	98.837289131	91.4856066871	87.77224657
K02655	47.480048476	28.632354687	44.743381791	49.02328337	56.906991951	33.644363973	14.746468303	20.424564361	17.231599836	9.701798535	10.08376289	10.008630609	15.037997316	11.901025879	11.653323431	12.397210541	12.58245385	14.629020513	34.904235922	23.775621615	22.675354531	28.619636953	17.460328267	15.838383212
