KO Bger Esin Pame Pful
K00336 146.035280288867 146.608028239583 207.873530633667 218.619417793133
K00337 184.515142908667 95.7299058533333 96.5578602548333 138.315971081
K00338 176.859031125 75.338366771 77.4638766528333 107.693545598667
K00339 169.428500429167 80.6140889043333 65.1877914998333 105.951784674333
K00340 176.174291850167 71.0969293525 80.6028060651667 110.668690556667
K00341 173.625263076 101.4221359835 76.1423463377667 144.61128480065
K00342 184.667725695333 90.7170621148333 82.5163034213333 125.375432497833
K00343 168.045847328917 89.114247929 91.7438114026667 125.610423509167
K00344 510.234441185583 250.237562627283 123.581515354583 213.724876366667
K00346 143.835478431 144.175828794833 127.533473832833 134.21064709575
K00347 131.559690317833 146.329511606333 128.440247576583 126.984702722
K00348 122.955838240833 126.238377718333 110.922784891167 107.936697151567
K00349 125.488622777167 142.058362640667 121.249448527333 116.36341207875
K00350 123.945126931333 140.952626672667 124.485228045 117.807550688417
K00351 139.574332592167 163.547740281167 138.670255223833 134.575949246733
K00354 118.44656522325 39.741605999 87.5342713819167 69.3529434865
K00355 85.1231761152667 59.9394836139167 48.4176635373333 62.6836979755
K00359 0.706932249 1.10356433333333 0.246268184083333 0
K00361 3.93151129583333 2.44664305733333 0.119637901 2.27494151316667
K00362 4.71423182883333 18.9028116105 1.44762111808333 4.95153206433333
K00363 2.57801989966667 12.7091127238333 0.4434317725 1.8307166235
K00364 24.9179870336667 41.1441251212167 26.6448068695 36.4407602419167
K00366 3.77208632733333 5.2539447105 1.88195713783333 2.7727810535
K00367 8.81836289033333 1.679845433 0.754838753666667 2.89898194366667
K00370 25.497521626 44.9184536061667 17.0352155858333 93.6319377625
K00371 17.7784962445 34.6842499938333 14.541554689 48.9596204533333
K00372 29.4904107214167 13.4353118003333 2.05159905283333 8.24382507316667
K00373 16.597596026 21.5090501233333 16.8887922811667 37.1761036068333
K00374 16.2968245351667 29.5052767608333 15.0704946748333 34.7607938545
K00375 130.04160769995 91.8773931053333 62.9417940231667 90.19578820025
K00376 0.611322591666667 5.5345165798 1.45670631683333 4.0172731875
K00380 40.5005621503333 32.4347982945 9.68162201783333 22.7273533399167
K00381 4.65987526183333 12.9220920521667 1.3002533425 3.78856639366667
K00382 326.149750434167 368.487242289167 407.13461006115 349.575923508383
K00383 63.6993083228333 88.0318527843333 38.7379470443333 55.90649203275
K00384 496.980502794467 436.085894300917 526.486214961617 467.779580016467
K00385 45.8958012988333 35.8735160711667 49.5285502923333 47.4003031516667
K00387 0.308583606166667 0.475087387166667 0 0
K00389 3.36538284566667 14.3050279835 0.735518748166667 7.3826610915
K00390 120.456648538833 146.085220719917 102.445137959333 90.0821736288
K00392 1.87268079783333 13.826199586 3.10545043516667 3.8999931505
K00394 11.539768394 13.4741306526667 40.7551529873333 33.9289657708333
K00395 12.0930208501667 5.69961811766667 27.1450379836667 27.440357218
K00399 0.754193848 7.66094213383333 9.69502610683333 3.30544964266667
K00400 1.20522321483333 8.48354344616667 8.857555146 5.18644134433333
K00401 0.381777950166667 7.49865921033333 9.157635369 3.72367554733333
K00402 0.424662441666667 7.00059865833333 8.386953575 2.82273706316667
K00404 1.58649315666667 15.0646152631667 1.69287163616667 9.7235314005
K00405 1.35913138583333 4.793778476 1.13991133266667 5.60304277316667
K00406 0.241959763916667 5.06230932166667 1.05241128333333 4.861795112
K00411 0.481456624333333 4.09163759958333 1.158833855 5.5692688415
K00412 5.03760022566667 6.8676569705 10.3801996455 15.7742310131667
K00413 0.663929340333333 3.40612678566667 1.43401529883333 5.68418286666667
K00425 207.54844913425 73.6486652101667 148.50295378775 171.73414854095
K00426 198.749784303633 64.1428879155 123.332515705833 147.620796984183
K00428 15.289023177 27.3834770178333 18.46006299 36.278852517
K00432 146.3711176555 237.918184157667 102.8049322605 127.871908050833
K00433 66.2516495388333 71.4312382493333 81.7333977545 77.9721925791
K00437 11.081846446 4.34847868333333 35.5233736803333 29.2801984288333
K00440 0.295841641166667 7.2753475045 14.9901653698333 2.72794900283333
K00441 4.37830405716667 15.9518143385 18.9226029095 7.6781463405
K00442 0.487497291666667 5.71234641233333 7.56082552983333 1.99069900933333
K00443 0.369733852833333 5.64650248216667 7.078730541 1.88005242483333
K00446 12.8566819061667 7.08848893566667 15.4864808661667 7.0448062215
K00448 0.253148135666667 6.11744723116667 0.298649320333333 0.0733983043333333
K00449 0.251690609883333 5.54779128316667 0.352224134 1.1160406545
K00450 2.04306111033333 3.958045786 0.424507942833333 1.90884927925
K00451 0.128687059 8.15465938933333 0.870407879333333 1.29551021266667
K00453 2.1684800195 4.94141125225 0.439753860666667 0.819500738833333
K00455 2.68961541916667 3.4186072555 0.425435774833333 1.80826454116667
