Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
Esin_5	0.163732088416606	0.150412536775636	0.152915877279878	0.165409110675839	0.151497996595988	0.174176484399966	0.0251181128431164	0.0294139019346374	0.0242869178193552	0.0280279632392364	0	0.0179604458897659	0.111607358402612	0.108881035072422	0.110326370370769	0.117651384473393	0.110892775434412	0.112787550411247	0.118498105057975	0.122338892115392	0.121251880682788	0.127775553303015	0.122593165661678	0.12527046547992
Esin_6	0.167501655543081	0.163584012200605	0.163578538630887	0.177709537320392	0.161200923203537	0.182499689941361	0.0323199883874834	0.0378109013975677	0.0283399529989266	0.0326084418662029	0.0179604458897659	0	0.125391767942413	0.124456936969568	0.125406131762609	0.131435812796079	0.125727512563131	0.125950267310489	0.121884241314522	0.125466702826913	0.12999718994067	0.131845925813338	0.131803807288936	0.134166791428326
Pame_1	0.118882478692987	0.0939065379744983	0.10423481576619	0.111176315787269	0.102244218702941	0.112252601469131	0.114732805187794	0.111305810622759	0.10451485407489	0.112555364371533	0.111607358402612	0.125391767942413	0	0.0106158528514297	0.0107003860657762	0.0163890858142703	0.0121397428292277	0.0152607354083775	0.0726363222745909	0.0597185747453888	0.0543833043361143	0.0673113016780872	0.0530923573303159	0.0506695632556154
Pame_2	0.12256062542756	0.0968351325892877	0.108279992143295	0.118349760872776	0.106931172411622	0.121658405033688	0.110850634180447	0.112535348907334	0.106175706623227	0.113370260445088	0.108881035072422	0.124456936969568	0.0106158528514297	0	0.0118597133705748	0.0217335133541225	0.0152559220768637	0.0179403911005163	0.0746307041259515	0.0692601450492349	0.0582599872895905	0.076078662613712	0.057301560293941	0.0568600465161561
Pame_3	0.119785720207569	0.0947643326643406	0.106097984203976	0.112556710804972	0.102286279644308	0.112123953238973	0.115436265850801	0.110968134493246	0.109586945755414	0.118228982133962	0.110326370370769	0.125406131762609	0.0107003860657762	0.0118597133705748	0	0.00824432756873217	0.00582463864624672	0.00648671273236245	0.0697131182063829	0.0619371697200072	0.0572066320516912	0.0687657235986299	0.0557615564174626	0.0568271866416211
Pame_4	0.12450061354607	0.0998781426004244	0.110934048314096	0.115877453595736	0.105876220728557	0.113222457768236	0.124061735999266	0.116702035723001	0.115815079679011	0.1247186119699	0.117651384473393	0.131435812796079	0.0163890858142703	0.0217335133541225	0.00824432756873217	0	0.00559736146227274	0.00616564945361331	0.0728274045587571	0.0628130892093589	0.0616278571874838	0.0698193836678127	0.0604070011070824	0.0614453622227786
Pame_5	0.121652280882692	0.0971227624724461	0.107267106765754	0.113322197846275	0.103669311886207	0.112731666213122	0.116892434190811	0.111440643660513	0.109632356433251	0.118329424112319	0.110892775434412	0.125727512563131	0.0121397428292277	0.0152559220768637	0.00582463864624672	0.00559736146227274	0	0.00522142560849592	0.0708768327516309	0.061899587964926	0.0584588007055086	0.0690797992290507	0.0570222090260227	0.0581902919593341
Pame_6	0.128145556598022	0.101415307161597	0.114276336705834	0.119637990172276	0.109533788802705	0.118356831406142	0.120779982268518	0.114781277784222	0.11278326461368	0.12206687284912	0.112787550411247	0.125950267310489	0.0152607354083775	0.0179403911005163	0.00648671273236245	0.00616564945361331	0.00522142560849592	0	0.0747472944674077	0.0657908573464672	0.064179970285637	0.0737633582414851	0.0631920096166867	0.0622976433417418
Pful_1	0.096675137666008	0.0972150323098815	0.0944848788160539	0.106535327093232	0.0907649973251259	0.105356405292251	0.111450578870428	0.112768185048857	0.114150116561999	0.12106353631257	0.118498105057975	0.121884241314522	0.0726363222745909	0.0746307041259515	0.0697131182063829	0.0728274045587571	0.0708768327516309	0.0747472944674077	0	0.0299844387397395	0.0310241239144717	0.0317482634676285	0.0316044660309602	0.0385709852125631
Pful_2	0.0796963110498111	0.0812282432903952	0.0752878873908085	0.086713816551426	0.0724826081816491	0.0847397633028698	0.119167378324199	0.115922189980458	0.115593745218379	0.118710840729711	0.122338892115392	0.125466702826913	0.0597185747453888	0.0692601450492349	0.0619371697200072	0.0628130892093589	0.061899587964926	0.0657908573464672	0.0299844387397395	0	0.0177626188996516	0.00854935795854983	0.0158626643379134	0.0203407491973123
