pathway	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
ko04350	0.0312711566338557	0.0121924832013997	0.0545380090145412	0.0138983940256496	0.0218463401771396	0.0175490506888572	0.0448099836223023	0.0202027561007461	0.0119567189514483	0.0318093407451871	0.00723457718400628	-0.00816320165100867	-0.0171271005899476	-0.0188099281955368	0.0158633636331638	-0.00521196455740981	-0.000371909703363107	0.00894435969249905	0.00149285283393288	-0.00884026388352313	0.00285154257827077	-0.00367793822339221	-0.0354843508879106	-0.00106577853483236	-0.0103532767894299	-0.0185573028963194	-0.00841769545373176	-0.00431133428121323	-0.021351041480132	-0.00617016624699481	-0.0281566373531403	-0.0121313535405055	-0.00942826795274821	0.0279095861460812	-0.0160998010948576	-0.000264139567922438	0.00733025591356329	-0.0254791914691689	-0.0109763735227723	-0.00764295699953163	0.00393125529310207	-0.0146508998807321	-0.00923744198469173	0.0278861920231478	-0.0254874069669614	0.000242698398116854	-0.0122106914145102	0.0257706309759678	-0.0155777923019273	-0.00861104935463054
ko04512	0.0884768299390997	0.144992724426995	0.113924631549205	-0.0157918402958818	0.00847021828790412	0.171146479062546	0.103806876290072	0.00472813277762347	0.0295769322732028	0.0325816891410343	-0.0495840353006887	-0.0720001335931697	-0.085671918234182	-0.0708548993784375	-0.0390942374374519	-0.119044626899948	-0.0568399277383816	-0.0312273761771263	-0.0732291914970443	-0.0723209592841677	-0.0712079463023724	-0.00594585979358756	-0.0639718090254064	-0.0388830096426796	-0.115165638513464	-0.0615073832642182	-0.0580968002550942	-0.0879586333579832	-0.057918311464628	-0.0699797523018464	-0.0274914241805623	-0.0742451392752311	-0.0326280010042218	0.113065431524954	-0.029088862636062	-0.0196182820207127	-0.0275180455666098	-0.0582752950897213	-0.0528066499733929	-0.0748745750964036	-0.0157884144860247	0.0113829792347676	-0.0502530573972292	0.0630307206198007	-0.0987006039671453	0.0252637828877736	-0.0449204554048234	-0.18846123144197	-0.0171337257076868	-0.0667878459910123
ko03265	0.186801922261408	0.0874694858295862	0.184012538489267	0.149419666004974	0.233132165185259	0.0673867258401463	0.190050681849691	0.198718340772234	0.160859006491886	0.219404940463197	-0.0732102148402481	-0.0043368331220704	0.0165329910451925	-0.000754632446723809	0.00712613916133873	0.00671120945613489	0.0322566507539203	-0.0389462462463316	-0.0361201838155123	-0.00872933804014633	-0.0758127465773967	0.0322985617253476	-0.0338298564977986	0.0115510484656287	0.0168247348935331	-0.0194904633897843	-0.126026698515876	-0.0669260341575532	-0.282148711671751	-0.0518079184343869	-0.0566123426046945	-0.148117291677444	-0.150655755203916	-0.0763067376180019	-0.143900228865738	-0.0328819203548641	-0.0554938873338834	-0.0301605172076834	-0.152554504513557	-0.0890874111808197	-0.0709347877964511	-0.118395003262502	-0.105637554476689	0.0281511543874082	-0.166588548313491	0.0565344318301762	-0.0180203714445432	-0.23336016339347	-0.168027929696498	-0.188885596784214
ko00750	0.0751387295790995	-0.0504223864622335	0.0591702725290458	0.0923479370672963	0.100957084169512	-0.130950117047181	0.0635928964468762	0.0915635468083894	0.0863121755429556	0.0756027345290513	-0.18742492806843	-0.251283968003587	-0.192050293386307	-0.211963949685112	-0.212354472770535	-0.0803285686037103	-0.259584428123981	-0.13243071503746	-0.218982382436211	-0.238191578708238	-0.121777549252384	-0.213573785115574	-0.0734514970085118	-0.123061764495094	-0.0253391053256268	-0.140423190746058	-0.058764723218789	-0.122595849969284	-0.10901946478117	-0.10239622364103	-0.150273567065749	-0.208972834396099	-0.0565535970967547	-0.269691278291577	-0.0614339932559761	-0.206473163930334	-0.128584947133248	-0.0940838278240005	-0.143782829604491	-0.184657522186692	-0.172343454330532	-0.116712057769382	-0.192274733913968	-0.148842841385431	-0.00945556789038122	-0.104688362976559	-0.093781874335244	-0.0652488408905189	-0.0886782421521258	-0.137686298700183
ko01232	-0.0134813428663498	-0.0391063163143871	-0.0518297322148395	-0.016882397322449	-0.0159870499690187	-0.0336807674598148	-0.0316375112801417	-0.0180339859730839	-0.0227192026166007	-0.0281890267241697	0.0076398841833162	-0.00111598876935518	0.0174732262504232	0.0101698402522968	-0.0330987714249999	0.00357817276748704	-0.00989875815250931	-0.00704765213324279	0.0095356066738918	-0.0056151483292398	0.00324507142821365	-0.0220298735869508	0.0109732730440233	-0.0133243708837902	0.00455465697439277	0.0111418906204717	0.00352173491397154	0.00786608814372574	0.00598260975127766	-0.011525334206248	0.0095854148898669	-0.00204598831946729	0.00281567670204261	-0.0451473469003077	0.00344420266999985	-0.0274904841727569	-0.00335191660193252	0.0180175631053744	-0.00496328752072195	0.0116399370370167	-0.00161724569460274	-0.00863713380935813	0.00607364447569086	0.00290654060726015	-0.0247667141891711	-0.0108495069780341	0.00725851574790346	-0.0429197836864847	-0.00826465896923192	-0.0153935904339014
ko00541	0.0402082286935897	0.0463165675720525	0.0619437672307493	0.186436365228985	0.0995725724899383	0.0708439200139998	0.0368002035135319	0.151137836789765	0.147451568404938	0.0831458883564095	0.162562070326625	0.144888192364746	0.144785755699108	0.165319466137628	0.121614387684148	0.142407436830136	0.151229967627785	0.128363689050621	0.148063989664768	0.146715908863933	0.142396353995409	0.131243351344315	0.138737033201227	0.122557410898116	0.141735342532015	0.158932735534296	0.145161878244836	0.150674534561428	0.146182894669262	0.119855138540979	0.150242262933469	0.153934046562896	0.139977946817339	0.143986256374218	0.133929056029194	0.117923254843795	0.122932184215627	0.157202433738925	0.125718176778995	0.138306885284496	0.0932089201590979	0.143400668734441	0.119428431809199	0.12404771577912	0.114710957247425	0.111429817535698	0.149089181921843	0.0757754135818034	0.105554361406159	0.0961045641776385
ko00830	-0.0617568998405283	0.103428841253017	-0.0149290869645129	0.120321806703414	-0.00171198957750755	0.133662583165322	-0.0262142526491599	0.0738861061472968	0.0976731883460481	-0.000878874147757988	0.211083258968665	0.154582754179785	0.172735526446645	0.182711435370223	0.158782096509303	0.156860880636244	0.118943604634299	0.173180980498228	0.189562074204928	0.184288930137514	0.155501670739925	0.138017839193217	0.132826233192135	0.128582595888356	0.159691173736041	0.154679119644301	0.104803949942642	0.161392508923198	0.138815199634005	0.129973359100191	0.14656523087931	0.156971419786439	0.151156471385572	0.0704183501582566	0.134743778762115	0.120958402053736	0.133798584731494	0.136533674722058	0.119609496467771	0.144236525799679	0.0672846029272382	0.142669651941028	0.0944858322818651	0.0731176876824083	0.107671494434219	0.0565208266332813	0.14001328031923	0.060323331396746	0.129306290900617	0.117612692686768
ko00062	0.12551943470088	0.169041432235717	0.0599931743000845	0.0969192246830699	0.0690475454288333	0.180164054013629	0.0735662091133981	0.0894443031412957	0.0981509881135287	0.0638892610874005	0.133374619082474	0.191665077293871	0.162892351394471	0.165964341219137	0.151096193619028	0.155831660614041	0.173956267556643	0.148466054325424	0.167583801359913	0.195746120804246	0.185153308467905	0.145888102983488	0.209646815930196	0.163874276583984	0.160221830704545	0.174733019962596	0.180205390464585	0.167239457989499	0.15612270604713	0.156908748826021	0.172661973547046	0.170096016068232	0.18072023161274	0.17925481829596	0.21571380930035	0.185327988306093	0.207622183924729	0.187578473050568	0.194802395425237	0.234167074643916	0.190003358531662	0.172696441248878	0.175098275883737	0.160180277371488	0.205558392498363	0.176948821711144	0.184939663508474	0.182435534742013	0.18989543111765	0.200142239053439
ko04140	0.0957323375034273	0.0595877171670235	0.0945928770150461	0.0958600323040054	0.114070802517676	0.0582153099205145	0.0962843588073776	0.103161643405386	0.0915734246820562	0.109580814203598	0.12783765801695	0.112499222597673	0.117737938699882	0.129154332491886	0.112409869438408	0.11068161429742	0.110673201684712	0.106209337450884	0.123959825402623	0.109849795426573	0.107440445088246	0.105066975268955	0.110759340177057	0.111817163239705	0.110796077617641	0.116585402992124	0.108492305886954	0.109820705521104	0.0993754315501866	0.106210510227735	0.108065068304013	0.114559909732859	0.105566222348753	0.106399878382771	0.102244792623854	0.107935584090272	0.10325247834836	0.0947348335402618	0.104439948363336	0.106708584502296	0.113117727426953	0.0909757221546752	0.104436141094689	0.106842916555167	0.109167830982603	0.112135098038473	0.104640398454431	0.148740485096689	0.0949874296454016	0.100754642350729
ko04711	0.012955080034392	-0.0431892471242966	0.0385691096177851	-0.0138117023127699	0.00821931733918096	-0.0712805306660415	0.0457780723088131	-0.00753669457436793	-0.00289289021537195	0.02499276818997	-0.0411169843680573	0.0756790675380683	0.036469634148203	0.0494659566660994	0.0694247962971428	0.0865828143152443	0.0586712996708136	0.10689012950394	0.0727153886754972	0.0599580572281576	0.0939089171688904	0.100934915806468	0.0309349456132699	0.0589682563852777	0.0883349542842047	0.0656714325194253	0.0583229282749983	0.0722269068640942	0.00131274767404489	0.081183415963638	0.0446530206618144	0.0413128506904745	0.0489933767367533	-0.000324872561303398	0.0116470758239942	0.01338256443715	0.0141724746261915	0.0723911687212058	0.060879838712815	0.0636088120421707	0.016646960735581	0.0625986607249983	0.0455251319190014	0.0447779154964235	0.0630700311693023	0.063775793180175	0.0713521608425313	0.135617977445496	0.0725003224742286	0.0903086205749919
