ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10	QC01	QC02	QC03	QC04	QC05	QC06
pos_2351	120774.0952	142293.1301	110465.4578	110671.2191	84883.17019	131352.3684	110984.8833	115275.7215	127300.5528	92655.90388	17095.1444	25227.73586	19036.7354	3487.147363	38236.90738	21944.67255	15973.6279	13141.98997	13031.9342	73188.37774	103629.2359	22503.88736	14523.35216	34530.77825	14476.90044	10414.17773	15946.25232	23000.81366	17998.66531	26549.75348	58885.27463	33231.52106	20652.26853	25960.84377	11165.85476	33661.49765	22145.03726	27359.91424	23874.97142	43043.64031	38175.47512	32030.2019	45023.27253	31245.62581	112243.9317	30198.56904	15946.09958	12224.5434	31348.37752	25228.42644	37704.41734	39036.29728	36302.55948	36290.57438	36402.82645	36409.34652
pos_2563	22361.82309	18495.39158	28412.16522	17322.0979	23543.51551	27438.65884	31709.50398	28262.40427	24425.90239	20619.7828	25691.69699	4734.741473	77408.72274	1655.322772	22212.68759	12217.50956	22214.87087	10117.97307	19255.64925	64959.73219	6223.596404	49456.38618	7001.466747	3515.001283	9278.918014	33608.49568	5031.211383	13132.65853	7693.949751	20004.21442	6666.55533	7422.704066	17678.86817	5937.925138	39.51575545	18840.45779	6084.09704	18564.83391	26672.57768	33386.37971	15136.07462	16033.98068	1569.495691	5595.539167	17819.36898	14735.98071	8005.66459	12995.34492	126203.9066	92330.42749	18058.00663	22288.89846	20467.44759	21290.19331	21231.35337	23470.80517
pos_2824	1045.906248	434.8813699	511.9530869	0	0	516.4725298	438.2580976	214.5438041	0	281.2311937	0	0	0	805.2784929	0	0	0	0	58767.46742	0	0	0	0	0	0	0	266.2934646	0	0	0	227.1389301	0	0	0	0	0	0	958.443983	0	0	0	0	0	0	0	0	3865.985504	741.6181339	0	230.7722298	0	0	185.4063576	0	444.0926484	466.5609998
pos_2941	35518.48336	40456.458	42222.05886	57442.70401	35156.75963	39735.19659	57561.79311	36539.13685	50453.70607	31829.18203	0	0	0	0	0	0	6492.145575	511.0630649	0	0	570.8136599	0	542.7817656	560.6747293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455.450875	0	740.8815427	0	437.8962635	0	0	0	412.635545	0	0	0	0
pos_3349	99977.56733	77116.10955	86794.50045	100841.9945	73587.76138	86493.74865	89291.40923	91442.43242	82324.26164	100472.2256	20460.26126	9694.74293	23721.57484	22706.41774	12162.06965	11083.02084	31444.1	18893.79843	12838.3771	4248.289073	7362.250225	9928.355347	13923.41634	45171.44335	481964.3847	9235.555808	10688.44209	7970.793238	21840.05397	15514.93906	13750.07493	27507.52402	12024.79471	13355.91651	15684.66543	5288.052429	10518.48152	8520.212699	12178.54729	8013.761943	11810.21562	18269.38585	24032.26744	17379.23267	26143.30823	9022.460442	22099.43544	17807.48135	8390.947069	7827.348307	22658.8555	26532.79147	26860.42043	30005.38041	29316.11737	29974.7956
pos_3735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106504.4352	39942.38455	0	0	0	0	0	0	0	0	0	0	0	0	49.59054065	0	0	10068.6993	0	863.3741813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	702.3163652	579.1467549
pos_3750	17780.7399	12127.16073	10168.80071	13209.39958	12988.73666	15227.15956	13159.93403	14275.06986	13031.83828	14196.52985	46710.47261	2601.895402	4538.137787	2951.750603	4306.605605	6524.508419	2154.820157	3990.786987	1738.782303	15215.507	3148.386732	30584.62384	10946.81597	2474.68181	2291.903553	38333.34165	4037.219017	17098.75493	15201.46298	5173.892221	247.1716593	4719.719556	3720.695429	9895.63231	1266.044889	2398.057979	2980.580378	2603.65618	12560.23179	30002.90434	1387.414727	5358.67412	0	3499.496914	2355.923087	6217.113676	4818.394932	9542.26605	16371.77826	7496.881674	8537.146736	7487.513621	8654.335499	7745.771577	7268.68685	8884.349767
pos_3999	3647.866405	5055.561993	1326.017341	6448.3412	6920.662472	6856.621084	5476.525731	4483.580385	8336.183521	6256.633673	6961.705883	12619.82017	15396.32227	4418.060003	8670.180174	12106.52439	339934.4966	138469.9553	6867.862105	7021.896343	23624.47366	10270.63167	33018.76499	22973.47014	89527.38027	104804.1507	7661.083365	17819.45888	167538.5291	9826.377714	17348.84358	8470.244626	6058.509284	80488.71107	2768.721682	47392.86457	7559.051149	26576.98628	5790.524336	13422.72754	16465.63122	5969.99863	3504.340393	6049.604399	8850.51712	17396.61452	11523.69011	1902.652676	4260.945262	8331.474791	22408.2381	21404.71106	23486.99126	19565.00485	18904.9712	19842.55882
pos_4303	879.0259407	907.3927447	815.4775566	595.227624	2496.923277	1087.973543	1098.900265	699.3615906	158.0135071	2161.484952	5771.434888	7291.624323	24774.96571	2630.371573	5715.778242	4624.890564	1036.542772	2115.727447	4111.011913	10385.75336	108392.403	1989.316311	4830.693871	2950.460431	465.0624001	3444.818766	3263.339674	7556.689042	959.2872626	23921.72557	6302.758893	12077.25303	3071.868725	2386.924883	4059.731953	1232.466537	3811.083834	614.3826416	5829.755442	1609.959322	8354.220523	4770.385684	8736.489087	21545.538	4638.389478	3755.286926	807.242569	2933.250133	1118.867732	3225.81182	9054.941136	11146.08603	9388.427069	8995.458866	10416.83858	9267.800773
pos_4527	380772.8243	366268.4687	104226.0396	221223.0829	283846.0416	374587.527	177049.4687	238269.3282	281999.8608	313114.7827	199431.1495	53504.9349	542009.7675	37426.88327	325151.5525	1066064.688	781760.5616	795154.173	330084.3789	378004.86	72356.10282	106391.6552	828999.8383	915803.5651	12416672.44	2419964.574	612957.3242	48111.40855	1617153.945	126607.3698	35373.33885	95448.98552	41276.51343	104620.4078	61843.97492	84062.20825	32682.25138	63413.93698	111603.421	73579.59718	65091.99001	50186.71139	33654.60324	295451.7012	492296.3782	12949.28779	25747.87324	1101067.575	606002.3893	1589076.715	527247.4826	528710.9774	514030.7701	537413.8683	529284.2285	525276.1717
