ID	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
pos_20420	35972.56717264	34770.4524	71202.9855264706	30506.1911001408	18025.0728442466	38297.3895466667	37882.1371988571	41596.4415014433	31041.0940326389	20984.4283973529	20321.14408625	33676.9651452941	31084.1291354545	8523.77259876543	41875.6944192105	43723.1466515385	85538.7769242424	50479.6956308474	170301.845943662	48150.9615908333	67214.45928	51656.3687879245	51380.3677708108	48425.33788	57073.6840804762	38576.7094027451	45180.9706846512	22549.6884378571	41933.2595326829	87909.0649236734	79961.3118189474	57556.946490625	53522.2731127273	117675.672915	30779.6648182222	159733.484230303	59445.347058125	164296.002980645	105382.757964516	101253.790460541	107888.652752308	102033.49474	57973.0854772414	100220.237444	151785.011912	160479.158738889	63649.7227664286	128120.308005833	250904.163681818	247488.4349625
pos_20590	154649.0279584	155491.362126897	232086.872935294	121446.583960563	137306.893519178	151274.031945185	162684.788289524	176233.292802062	155397.069730556	135631.784841176	37856.6108	57912.3812464706	65558.5877539394	44910.5114893827	41548.5578957895	27046.9796492308	22873.2494045455	18006.8477535593	97941.2828366197	138780.269441667	131251.2013	134581.659022641	150505.839854054	78587.21619	67120.1483052381	11180.9163909804	27388.0456181395	84809.1104571429	99019.3141492683	120414.557861224	91979.8725789474	134040.132133125	58818.2584515152	257415.9379	58143.3273062222	120287.197303636	68668.599713125	108670.793938064	94139.8275548387	151387.357124324	228387.544484615	126381.94162	165141.322896552	59490.437572	96385.572104	171643.416341111	71885.21085	36025.6110641667	315046.194009091	95529.666609375
pos_20663	2490.88259544	2584.54119434483	1309.10675702941	1252.07607064789	1293.11014157534	3058.2506525037	1900.86530085714	1787.6651436701	2501.41228927778	1797.06534326471	15519.53752875	21974.1731441176	3667.38412433333	7753.4668437037	13421.5403868421	2213.35248215385	971.976567424242	769.230784216949	2617.97985980282	10519.2692283333	4601.791805	8274.7692445283	53044.3842654054	17291.11458	7504.79800485714	45693.773652549	1266.22803846512	4156.79616071429	8848.97764970732	19556.6266379592	20583.5715910526	49643.77876625	8907.42131284848	48981.4176841667	1831.94588248889	12839.1134366667	2773.2391723125	4225.5229803871	1685.48977941935	3053.46817924324	1365.92725166923	172841.30018	5072.103152	8095.7280779	4111.1561899	5934.83892755556	0	5112.07621091667	3916.61010590909	0
pos_21045	8561.97031424	6682.81515903448	9446.68871882353	6055.28199	7038.58557369863	8148.42282325926	9002.28553371429	8772.33437216495	7889.26995930555	7341.73390397059	12334.357315	4901.23111905882	20512.2125621212	1805.01756222222	5629.39615107895	14631.7046453846	4309.12292463636	6762.94745810169	38124.4782850704	21648.0182741667	5064.06412	41195.2850283019	7162.01796308108	23460.00578	7497.11243985714	4356.4314305098	12924.0087134884	5535.64758260714	6179.23017478049	6950.65024420408	675.694632742105	5146.3343711875	11285.0324863636	4851.70680391667	6860.99238742222	21078.093849697	14161.865603875	7076.78343541935	18524.9050019355	14156.6957610811	2886.53542884615	25126.14242	4099.08962241379	52173.221643	16227.1205055	19802.4047191111	9180.78188671429	17050.9234329167	54279.6578436364	10147.3657493125
pos_21346	312.9550890736	76.9860803351724	154.592845623529	64.9666344464789	0	196.729083268148	42.269675264	586.924799092783	366.538524416667	84.0347897705882	203.204894152083	84.4735521117647	1011.38542606061	1013.10177155556	42.6124293902632	4.19289687819231	1975.05020678788	0	472.207856746479	246.916945177778	494.3673399	404.148291354717	314.228064654054	369.5588667	906.558563538095	203004.205670588	1239.5898332093	299.862052239286	206.500731146341	11494.4351359184	290.451831257895	97.09013641125	10.3465926503636	30.9975712316667	80.7202060377778	7070.69885048485	6.228968183375	1315.1348388	5833.61293425806	5272.00329816216	158.536715693077	2418.81591	28.8356762531034	812.9029817	5168.6966384	133.499950128889	67.39860177	50.6429397733333	733.770534518182	287.18104361875
pos_21441	2998.169773328	2535.34288128276	3274.97848632353	2104.67776732394	1628.89979882192	2601.95457488889	2088.52597866667	2488.93853913402	1598.86511030556	1859.73411026471	809.3999014375	4509.833629	6215.05924169697	128.854353032099	2594.94784063158	3483.862992	212.620441139394	1451.45006135593	15082.7466121127	15708.5382877778	9542.586456	12407.6957290566	2968.90461135135	257.1904815	581.740524242857	4368.19619207843	7799.84241916279	2415.53833717857	0	6886.08493240816	2593.29186968421	6515.196639875	872.489502321212	410.896025225	5884.47046702222	52667.0294593939	14227.43067175	46331.5939232258	23032.2743567742	11565.4551728649	13144.8471443077	2726.164312	2071.97328262069	9843.5742516	33121.330734	27795.2291877778	2519.80987792857	0	22305.3325472727	36918.67853375
pos_21485	864.945399008	912.653837117241	3482.89381326471	845.875158788732	699.041658547945	1637.1796318963	1576.58533801905	1470.15037224742	994.499629986111	914.860039147059	7133.073073125	5733.23529526471	10731.1683712121	872.194064419753	0	2376.07666123077	15437.7096751515	2330.88899454237	2961.46582487324	538.645272397222	871.9141724	34567.1497064151	3007.63535443243	2667.385081	36033.7351214286	45.7890475898039	0	0	5731.47608497561	0	1336.02452294737	23446.784731875	0	120542.4463325	713.58071688	154935.25810303	2260.987305125	94769.2476916129	135.994423949677	29691.8995432432	1464.78639163846	66020.14272	0	4924.5286936	0	0	0	6515.62292858333	30295.8344954545	10134.779429125
pos_21724	0	0	0	0	0	0	0	0	0	5.64484000882353	203798.811508333	0	0	40918.4879012346	24.1974968097368	0	64.9563096563636	0	0	5.12161545452778	44.74137879	0	16.0782957454054	0	0	73.28300296	0	95.4914490392857	0	44.9225577808163	55.3139765968421	53.3801181575	0	235.255525108333	0	0	0	0	0	1146.29019112973	0	0	0	0	0	0	0	0	0	0
pos_21731	0	0	0	0	0	0	0	0	0	0	1537.25028460417	2314.56820947059	3913.22555275758	0	1390.25774760526	8890.09337346154	0	1431.43838664407	0	6902.95396666667	1256.215412	0	3392.46181751351	0	0	2268.16160960784	4871.43181595349	4282.08785489286	1023.96842832195	1586.07730759184	0	1014.5754687	7035.46767909091	1352.71329239167	0	0	2072.715814125	9936.13318038709	0	0	0	12717.445854	0	206818.000149	0	15235.4261308889	55698.6659078571	1924.16658525	0	0
pos_21774	17897.69319648	10999.9566573793	20516.4900826471	12104.5779449296	12923.2596067123	14799.753954963	17552.0101523809	19358.2799243299	12477.79678625	16236.3092497059	1303.96708827083	460.881978902941	3499.40617315151	66.9501985432099	1084.02213463158	0	1284.0412699697	710.498905230508	26029.3521253521	17362.0607213889	944.2985996	11507.2988286792	0	2916.791888	2845.48923119048	5328.9692265098	0	257.183448889286	2209.53277497561	1370.23489938775	0	453.31457275	1076.05018477576	2130.07339525	0	2072.30023557576	577.81610921875	1784.16243851613	0	2615.59464794595	3069.75135530769	5700.967742	0	6540.026747	2675.8819068	4393.94941188889	0	2571.61282666667	17118.7162822727	4454.9774948125
pos_22276	0	2423.32152943448	2642.20537011765	863.038832338028	4077.86707219178	1935.48572768889	3540.13789809524	0	0	8687.68484602941	54.9257815895833	1591.985204	3193.46503033333	493.142840817284	217828.999573684	3902.15456819231	0	598.026259294915	1679.13705019718	3272.13849044444	1159.311108	10455.7921886792	0	0	119.38371577619	10159.5230466667	2204.59580102326	992.844850857143	0	8000.7225882449	227.710074484211	97.77167114625	1341.88559502424	0	0	2212.18198266667	0	469.722935716129	477.158782741936	6.36971715697297	0	1016.4204198	64.8306739848276	43.81275635	3032.1989786	0	271.997588792857	132467.849349167	33780.0129763636	69975.95011625
pos_22305	0	0	0	0	0	0	0	112.480297123711	0	0	48019.0661645833	5296.88489576471	24477.6648512121	6999.3274762963	18961.8313076316	264574.859869231	41831.5727945455	104644.808627119	370.505058216901	2367.55853697222	5880.770292	58363.6612396226	11408.7030851351	8560.414758	51923.1065428571	22865.4908047059	166914.774781395	19369.6491635714	16817.7142146341	4408.86333093878	39160.5913694737	54571.392361875	45762.2352139394	14774.0944551667	221.381074351111	138125.378687273	735708.82646875	107960.697725161	18393.2762690323	32247.3780978378	232831.615984615	217348.667	14588.5328977931	8570.4956074	115541.222016	3056628.42144444	71131.7265128571	11631.289014	265636.720427273	46878.283850625
pos_23612	0	0	0	0	136.356408310959	0	0	0	0	72.3650475382353	0	0	328.568542748485	0	0	0	286712.035054546	106430.983325424	0	0	0	0	241674.399675676	59730.11554	200217.9233	674.917848223529	0	0	251499.164058537	0	0	0	0	14669.5109194167	0	90322.2056878788	0	38497.3726225806	2.86408339574194	0	0	0	0	0	349.99189746	0	0	0	0	1.0299324258125
pos_23805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194.974551502632	1315.99365030769	0	358.679669457627	0	0	0	0	0	0	0	6449.44964741176	591.700947102326	0	0	0	0	0	0	0	0	0	61403.846220625	0	0	0	0	0	0	0	0	349583.144322222	0	3810.81760791667	1223.02547045455	0
pos_23843	3552.703037488	3222.24574855172	4515.27158326471	2819.73107321127	2495.06826416438	3272.49972878518	4365.96982259048	4084.85748482474	2813.11485545833	2397.56562489706	11589.8630172917	97927.5694029412	42706.6625345455	1597.70771474074	25221.854855	30374.6707092308	4862.24646418182	19311.512859661	7030.07350028169	29752.0127291667	20394.63383	26333.8410603774	6545.57990367568	39756.26556	12223.1715309524	54413.1213211765	33673.2753874419	23439.4885589286	16206.0556814634	43599.3511269388	90133.8180589474	118134.744563125	59575.9285775758	14164.1242661667	26723.6844622222	35581.8726478788	33059.94401	53659.7187574194	75365.5184025806	16197.8089048649	168083.065386154	144658.88918	62164.0761282759	255333.74951	123749.052064	39043.2073011111	24315.8661757143	4401.9604665	36900.2951590909	277581.8672625
pos_23919	0	0	0	0	0	0	0	0	0	0	0	5049.70661044118	24841.3838542424	0	826.667650552632	3503.20307365385	129.928635090909	722.291259945763	62.9169801557746	5018.70510297222	613.410582	7950.04733860377	1414.42051324324	0	0	39098.5194854902	789.211884493023	2075.087554	7983.33009521951	659.745718889796	314.753306110526	11919.7357558125	0	0	0	1149.77584227879	0	2986.9310743871	11082.1471750323	0	3661.43467953846	667.516904	483.355301144828	11724.8966772	12453.5273507	0	9434.3061405	1.45098559575	0	3439.553454625
pos_23942	225.4103406528	180.416962828965	377.300430717647	186.620674195775	17.4167712860274	103.586298998519	65.8685527161905	146.488449995876	50.0962865833333	69.0422566823529	1751.305859	3002.95405729412	0	471.997295550617	4144.31435997368	8570.23978919231	123.036798766667	3571.40619857627	56.8999093323944	86.5964537277778	22.41801181	772.360597671698	543.198946064865	71.53485765	7351.93408619047	6127.03754694118	9288.42056562791	33.8941714489286	748.717574448781	78.9609500057143	13548.8096278947	1086.56371883125	15575.1488236364	198.310574508333	537.566380257778	77.438302420606	3583.929922875	2565.18073767742	12095.4829037419	462.995968437838	4581.649128	13756.10313	564.763374931034	429.3464855	22873.2879193	13424.6231588889	7754.43459985714	415.407953433333	6572.44520727273	6829.62592825
pos_24352	18.16500044768	6.1352571537931	58.2083026423529	9.95356073647887	0	44.0382633511111	19.5135572447619	72.4276292041237	6.00166633541667	0	0	33.0047558414706	0	86.0303706716049	1142.21288757895	503.369326788461	41134.3037351515	21230.3685779661	333.31021728169	159.546066819444	585.4379008	0	8816.91373805405	24176.4178	11359.2704695238	0	0	0	99067.0065678049	0	0	83.83755642125	0	12597.2190844167	0	6072.84365254545	131.1007669925	2284.7489196129	0	673.355244502703	0	0	684.972475048276	0	825.21070973	974.253568144444	0	834.003774908333	2247.78522645454	1194.1047128875
pos_24580	17600.7584456	11670.5531372414	27183.0047235294	14282.2787556338	30464.8419554794	15621.7770761481	23016.9353293333	22469.8714729897	15144.0736166667	32838.2698476471	43826.8435385417	78602.4907323529	66749.5610133333	44622.5861711111	30059.1623726316	63800.3968026923	79508.9836666667	57976.9369972881	16104.1392484507	36095.0509455556	54696.18704	36373.0331033962	153516.790367568	64254.76858	82527.6641080952	186228.424541176	70955.2880027907	45506.1144614286	131048.448921951	120208.701571429	80844.0237589474	72566.7043	42651.0784066667	298995.091991667	92161.43102	140133.187830303	143025.05814125	117395.266534194	41187.5809774193	160285.632681081	92040.0626207692	75916.0589	57058.1906206897	1138658.89136	197594.543668	279659.631455555	117450.44668	112353.370699167	106548.104021818	169954.46005
