metabolites Bger Esin Pame Pful
CPD0258 21.8631184546537 25.0746818795543 23.5385083966605 20.8858734705103
CPD0259 26.0683650414069 25.6737935679825 25.0822801926181 25.7497561718991
CPD0260 20.8364271013712 20.8413643557922 22.2324361250069 23.015396556818
CPD0261 22.3571928637357 19.9912283469384 20.6430457289606 22.0095242869993
CPD0262 22.3496673566591 22.2916141986149 21.8869231324084 21.8943174567186
CPD0263 22.7041441592951 23.1193529363077 21.8183299452943 21.7751318716668
CPD0264 23.2612535599668 20.3386459403193 22.473912114098 22.1362281300906
CPD0265 19.0448706973217 20.1879865739549 20.0025484901796 21.3094498784634
CPD0266 17.5261995740377 21.7066903702677 19.7416180339406 20.4273377802021
CPD0267 23.5602083321267 26.0690969401881 24.5349400196731 23.8837554843821
CPD0268 20.4997495439505 21.6773939257463 22.247320150937 22.1355282786459
CPD0269 22.25441710841 20.2742025868679 21.3423953795766 21.8742837286489
CPD0270 22.7676063158993 19.4209414356442 22.3244189168114 21.2384661518084
CPD0271 22.4115179753387 22.7315347761115 21.5959330982496 22.4085562913938
CPD0272 24.834860087768 22.6526473116593 24.5629720198884 24.2314604175734
CPD0273 23.5741991113639 23.9054043573788 22.012817990491 22.7948404854908
CPD0274 22.3342760366078 21.288738107624 22.3016407167834 23.4458440550022
CPD0275 23.679978020102 23.6205812674118 22.9621014600774 24.599422732997
CPD0276 21.2737515022126 18.3646311163792 20.4104873611839 20.7773891155233
CPD0277 24.1409336955212 24.4539449985986 23.0069038168057 23.9501995761661
CPD0278 19.8100309838826 20.025154274158 19.7829931470487 20.4970770211482
CPD0279 18.6815280682037 18.1520966027992 19.4777232769452 21.2776885851989
CPD0280 20.4971790565535 18.8713627092972 22.9723368738859 23.4191417676493
CPD0281 20.1899709567755 22.3678855107835 21.1587185127827 22.1771960006722
CPD0282 21.2330036391974 18.8999775198349 21.3733713397043 20.5624286154456
CPD0283 27.6892440196471 28.6401143732707 28.5578674904286 29.9848276176844
CPD0284 20.204314918947 19.80255294391 19.9317734502 20.6702691340969
CPD0285 30.9724020353733 28.7034434224765 30.8844979118678 30.6054951140623
CPD0286 30.1834339607266 22.0106016394826 23.9276072394813 23.9412926881031
CPD0287 23.5773595267168 20.2024302921421 23.3842760250857 22.6745819253614
CPD0288 26.7735488972931 26.8947973808774 26.1394361858707 28.339600824361
CPD0289 21.15683777734 22.8500647777361 20.4328331177738 21.0050192601707
CPD0290 22.9531992770241 21.4522200531399 21.511013849084 22.3543676328798
CPD0291 27.3004382928242 25.4254266396484 26.0581706174878 26.6900554897713
CPD0292 25.8289080489686 21.8282440527018 24.681439649094 24.2402866819691
CPD0293 22.8587433373152 18.7052732318876 22.0091149113319 22.0321420348172
CPD0294 25.8732415422674 20.0115729188151 24.2770122371938 23.9889387092222
CPD0295 23.1068590185951 22.6367304796308 20.9957483064187 22.235906560881
CPD0296 24.373412818702 21.6373515300996 23.5565723366963 25.4523170701248
CPD0297 30.1364019389663 25.784007559907 25.7924307076062 28.8518616687346
CPD0298 28.9947272091961 29.4768851994188 28.4661716053298 29.6831133689533
CPD0299 22.7359743724225 21.8970769248449 23.8129368908886 19.4756154150276
CPD0300 23.2181266801511 21.3644915031592 22.0803357851829 22.6218095506319
CPD0301 23.1251258752281 26.0731841676262 23.2252819321753 21.8859106035941
