KO	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K14989	0.89445843	0.71026557	0.060887914	2.085855	0.5019576	2.4652565	0	0	0.6376014	0.13133013	0	0	0	0	0	0	0	0	0	0	0.8217471	3.01747558	0	3.56498596	0	0.68409081	2.24739286	29.368586399999998	9.882971869999999	1.16439038	0	0	0	0	2.24429309	0	0.25130343	0	0	0	0	0	1.0582672400000002	1.3518241	0.12497918	0.56321543	0.64160215	1.4970429	0	0.6999274400000001
K14998	0.93710845	7.25197287	1.0904783	1.24086604	10.077529499999999	0.61497189	0.16394663	0.39865485	0.63434065	1.03604823	0.2586028	0	0.09829169	0.71384954	0	0.83818678	0.14555219	0.08407077	0.35668807	0	2.6547862	3.33057305	2.56656642	3.29478902	1.58115699	1.3581509600000001	1.1022589159999998	7.6765645	0	1.0672475	0.40382524	0	0.55754148	0	0	0.29667255	1.9895898500000002	0.39648401	0.50943595	1.12109033	2.4485999	2.98178619	70.90814959	17.08678703	7.90065072	16.671491416	23.76779224	28.60474827	2.115266846	12.73679824
K15011	0.5658151299999999	0.54099473	0.12591016	0	6.3174577	0	0.1704445	0	0	0	0	0	0.18183947	0	0	0	0	0	0	0	0	0.4553465	0	0	0.26902366	0	0.6697623	0	0	0.87541468	0	0	0	0	0	0	0	0	0	0	0.99037811	1.52819215	10.72936481	3.18693372	2.80104359	6.2133831399999995	7.324742	11.16993778	0.9485470199999999	2.642914676
K15012	32.5258788	0.64519048	5.07817435	8.05171014	8.3707168	11.89257685	6.57222641	0.98060578	1.1804174	6.55110998	1.15653013	1.87640631	0.488578717	1.1354228	0.8255730299999999	0.13641843	4.67814394	1.73111731	0	0.14690405	3.1327221	9.21197847	41.5951869	24.85858148	33.47283455	9.92414413	23.18746112	0.38495188	18.99931446	15.94029862	3.12664276	4.05895416	1.22003762	2.13584687	0	3.902465	2.8778583	5.04121308	7.937819655	0.25079468	4.72895627	11.01267208	11.56990045	3.86875902	6.05886326	8.89835032	7.16281097	18.08809368	3.911965796	5.610899224
K15013	0.20744847	0	0	10.723176	0	0	0.31874004	0	0	0	0	0	0.9393477	1.5757161000000002	0	0	0.26211792	0	0	0	2.89327922	0	0	0	0	0	0	0	0	0	0	1.6447676	0	0	0	0	1.3248065100000002	0.41126615	0.49489796	0	0	0	0	0	0	0	0	0	0	0
K15016	7.6733374	0	0.7014191599999999	1.4525000700000001	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.23354574	0.84896617	2.36847548	0.525572485	3.58428708	0.94626263	4.18128896	0	1.24184198	2.529141	0	0	0	0	0	0	0	0	0	0	0	1.96925963	0	0	0.7992925200000001	4.34951231	0.6851057300000001	51.09151965	0.89088459	0
K15019	1.05195117	0.1972334	0.21699399	0	0	0	0	0	0	0	0.26516014	0	0	0	0	0	0	0	0	0	0	0.10507995	2.05428976	0	0.5586204	0.910739434	0	0	0	0	0	0	0.10045347	0	0	0.19435565	0.24922653	0.079899296	0	0	2.8150434	0.14917733	1.9332673	1.20647242	0.78234077	13.34962892	5.6608534	113.529778033	0.53836954	0.6303689699999999
K15022	3.06182412	2.4126829499999998	2.38058359	5.07558847	5.97570209	10.67553353	3.105905	6.435207999999999	1.57338395	3.0642005699999997	1.94361187	0.05235498	3.5938357599999997	0.44099529	0.80577294	0.28873313	1.04434669	0	0.22416285	0.11868323	22.55711281	4.39190948	11.94604341	10.61332773	13.92707258	11.59874168	7.48479493	0.64221352	6.2005293	10.01520292	2.99409043	0.707130844	4.4179891399999995	0.98516642	0	4.94398131	5.52373276	3.26815223	0.9849146	1.46722139	6.961000968	7.942647175	0.9752467499999999	4.777589956	14.256272195	7.1736242400000005	8.41041682	36.24614135	7.45808181	10.30913631
K15023	11.55067354	3.128827984	4.32697048	16.33191981	19.44683297	9.69857094	8.83105123	14.8359413	3.78350923	4.90258636	4.92120563	0.33132286	6.70396273	0.13240398	2.02530508	0.6287598400000001	2.481646234	0.10450451	0.1439885	0	56.220694789999996	24.1707065	29.4963313	8.34449493	23.508463432	17.23875918	17.758074225999998	2.46031233	13.2725256	13.52748654	5.88110848	4.65624921	13.016942	2.69726123	0	9.14245535	15.185577780000001	9.23213982	3.06809687	0.20742412	9.711679344	18.844657264	0	2.02659244	23.322829704	10.29126304	6.82051627	10.54191718	9.184333295	12.22883356
K15024	17.97265636	17.91874645	20.724833326	35.77504671	54.15023548	13.691942670000001	9.448267337999999	15.939815134	5.85722524	9.95465647	4.860687836	1.07416403	4.870050089999999	3.11750534	3.92669904	0.95016707	2.13471511	0.78644025	0.64137857	0.16916214	104.64075391	26.03221963	58.78771351	27.70563287	54.207132421	69.647670985	34.788158962	15.410554646	31.9027413	46.70992831	7.24516727	2.64851151	11.11771682	4.6888449	4.53749403	9.57320721	18.693288674	13.673864236	4.75301725	4.26194711	50.261953374	85.166217629	25.436963336	47.75903883	29.020691905	73.295411163	70.743767608	19.5452514	65.73791248799999	31.48612318
