gene	Human_vs_Wild	Lab_vs_Wild
M00621	4.44520677109265	1.70331032392436
M00076	4.39559193595948	2.01766337969754
M00860	4.36972542902356	5.51652769290444
M00797	4.33253408186102	2.7850482088701
M00970	4.29693902038482	2.12696832936704
M00618	4.21627099245163	1.47958703154367
M00096	4.21627099245163	2.49983683858398
M00145	4.18252109353162	3.00312065203182
M00847	4.13905186858279	2.56243093054287
M00078	4.12626117461659	2.72674050161245
M00988	4.09517865995317	0.907770667006208
M00567	4.01599248028363	3.3001179240082
M00003	3.98975573174392	1.18887136174926
M00597	3.91687403421697	1.62739337722569
M00049	3.86359846260579	1.47493972446758
M00086	3.83734921339328	1.00672960416709
M00903	3.83734921339328	4.41387636819194
M00126	3.82434611462003	1.604201382402
ko03060	3.63602154577771	1.11365099370136
M00854	3.62751053860805	4.81391358726753
M00549	3.61168448201743	1.55407305484444
M00025	3.59696515345626	0.904182175786997
M00115	3.59696515345626	3.35928715970436
M00924	3.50784846209532	0.53612266433253
M00966	3.48940488286476	3.45228130827314
M00374	3.4179055431844	0.988874527034315
M00116	3.39812566742209	0.699919598849188
M00763	3.38697197221391	1.29316062069722
ko03420	3.37394517436713	1.68146340956732
M00031	3.2531070636323	1.19117699920219
M00906	3.21665932141119	0.905132715397512
ko03450	3.18091635925244	1.30941187837979
M00079	3.16000170954967	2.32426113114734
M00829	3.06327757388546	1.00508860696661
M00938	3.06327757388546	0.340380766132211
M00358	3.00395471663767	2.83290635771927
ko00970	2.91298471535059	2.95848463610092
M00130	2.9126415301212	1.15744076533139
M00866	2.80001473172155	1.55249264727198
ko03022	2.78922985293551	1.72956089142537
M00949	2.76441422488451	1.47503014636474
M00048	2.76441422488451	2.94113484748153
M00916	2.75045980624275	0.216624027403792
M00800	2.71094634742799	2.99751644379987
M00173	2.70869286399523	0.989439143810063
M00614	2.70869286399523	0.989439143810063
M00652	2.70703569198205	3.71400248741445
M00814	2.61651900082699	4.35236631861278
M00577	2.56870614224085	0.617272069455938
M00001	2.56133306629032	2.12580515208989
M00063	2.507550159489	0.885376827605725
M00133	2.49263062281317	0.469478363490313
M00798	2.46636776457101	1.89783748297634
M00825	2.44428418702759	0.879883086908926
M00156	2.35203396355234	-0.724028536217961
M00608	2.34261655772827	2.41329556420895
M00627	2.32229617514162	2.36365593677822
M00159	2.25519839236563	2.40114517913325
M00052	2.22193751295441	0.728359678797275
M00935	2.21403361718651	2.41861274843762
M00375	2.20116030712608	1.71350561377435
M00914	2.17096493943532	2.4994138321376
M00850	2.15249464942013	0.717184712730495
M00803	2.12286183448181	2.79955381597273
M00802	2.01056522999554	3.0225772189764
M00035	1.99908608194237	0.33678863247175
M00075	1.99609437855763	0.258986752157769
M00612	1.96752391073461	0.0520125725697085
M00169	1.96752391073461	1.01797316048664
M00898	1.9613220909365	1.37829149122525
M00309	1.95768689512959	1.87037907304781
ko01051	1.933105129655	1.54671957428956
M00011	1.88059832462242	-1.43347330352913
M00165	1.77118023145855	-0.0383858929534536
M00922	1.67710309079226	1.87037907304781
M00307	1.66806093707101	-0.102579248471144
ko03030	1.66806093707101	0.645657778156659
M00932	1.64307557097474	0.428269285736813
M00094	1.64224871470635	1.72212950676106
M00074	1.63308227474949	1.17158618566428
M00148	1.56713917902906	1.17427933939378
M00836	1.54999643621793	2.47025808371961
M00787	1.50852636972424	1.01185857650061
ko01052	1.50194991509369	1.39243564704535
ko00511	1.50194991509369	3.28001166268141
M00774	1.50194991509369	0.620431263030347
M00053	1.46634072505862	-0.0206107151817349
M00029	1.44387980683727	0.408716575505548
M00083	1.42371185050511	0.712318788485226
M00740	1.33825606203456	0.0674930637982151
M00081	1.32716855872658	1.41747576879303
M00779	1.3264680551164	0.78772504515263
M00113	1.28545915359526	0.618545392451175
ko02040	1.27069484965245	0.645657778156659
M00050	1.26696069390532	0.122256882543019
M00867	1.20928210894614	0.359280640926678
M00433	1.18000243877165	1.08033667470797
M00796	1.11993463584972	2.40114517913325
ko00121	1.11972976139152	2.99751644379987
M00532	1.09530647175399	0.442667659881575
M00777	1.08779276313636	0.980939030768075
M00741	0.999547775054627	0.344544790184012
M00925	0.999547775054627	0.0835590384598857
M00876	0.985969182633687	2.10973145249448
M00418	0.965902868693917	0.0951407871507823
M00830	0.946863946525006	0.75231313153419
