gene	Metagenome_fam01	Metagenome_fam02	Metagenome_fam03	Metagenome_fam04	Metagenome_fam05	Metagenome_fam06	Metagenome_fam07	Metagenome_fam08	Metagenome_fam09	Metagenome_fam10	Metagenome_hos01	Metagenome_hos02	Metagenome_hos03	Metagenome_hos04	Metagenome_hos05	Metagenome_hos06	Metagenome_hos07	Metagenome_hos08	Metagenome_hos09	Metagenome_hos10	Metagenome_lab01	Metagenome_lab02	Metagenome_lab03	Metagenome_lab04	Metagenome_lab05	Metagenome_lab06	Metagenome_lab07	Metagenome_lab08	Metagenome_lab09	Metagenome_lab10	Metagenome_res01	Metagenome_res02	Metagenome_res03	Metagenome_res04	Metagenome_res05	Metagenome_res06	Metagenome_res07	Metagenome_res08	Metagenome_res09	Metagenome_res10	Metagenome_wild01	Metagenome_wild02	Metagenome_wild03	Metagenome_wild04	Metagenome_wild05	Metagenome_wild06	Metagenome_wild07	Metagenome_wild08	Metagenome_wild09	Metagenome_wild10
K01881	250.0614258	309.266113116	84.55581853	151.99380895	338.03779298	97.399499334	63.280844542	153.492371362	593.181728608	85.11427172	31.617252785	10.59180914	24.892609836	59.82730557	11.03213738	5.20857618	51.09686015	17.12081877	4.76520234	6.43521827	269.49613622	280.99659383	322.701613025	462.95779349	405.559999808	412.623408279	384.211758466	454.90911052	473.100102565	455.420856601	52.77347833	28.846137398	32.556497274	41.11250516	286.33323099	57.076291845	67.55946162	61.452922126	70.924305594	591.11960243	433.754428066	455.977276196	445.463908738	535.456558055	548.537300969	302.140057523	445.3524221	389.816110621	434.234144441	468.436241936
K01883	239.816024625	312.83619883	76.704762998	153.38672015	314.1257148	87.179350623	58.804721066	139.197863738	622.09104874	73.980569575	25.69923999	8.99235424	21.55466765	50.750917886	9.866994346	4.104943766	46.351414715	15.387828606	3.80185486	5.62026532	198.738873168	276.32381872	314.483109265	379.090813154	344.694295137	383.917356842	392.708654645	460.67306873	415.249703517	372.877475504	45.535268974	31.899403114	28.58849855	35.678664305	312.299289634	47.65493007	56.49496651	42.7868378	66.613542904	560.468445958	415.079972494	343.59856999	267.02198664	322.327478265	374.455612579	275.6493319	308.20179962	388.619500424	374.27671771	487.418856802
K01884	0.41046204	2.22326588	0	0	0	0	0.10144198	0.32215297	0	0.15767193	0	0	0.11472519	0	0	0	0	0	0	0	0	1.8044944	0.58654183	8.428833	28.21439828	2.8715257	11.431051	0	0.42096123	7.6005526	0	0	0.20904659	0	0	0	0	0	0	0	0	0.41798461	2.49307248	0	0.38318043	0.26482606	0	2.74653609	0	0
K01885	239.995448369	328.247598826	68.007055171	141.002106786	338.294763819	92.112783944	60.838000257	150.828194207	615.19765613	73.20953778	26.207886495	9.904022666	19.480941799	50.009880872	12.196357566	4.584712964	46.289071497	18.27351513	4.29579679	5.184253889	201.284622389	300.579534989	354.960214156	401.07480673	365.776420032	407.900180104	393.791812432	473.144152265	420.860870194	400.05143111	39.865378565	28.150597868	27.212150519	35.031988366	295.56913452	47.781956076	55.054855536	46.391245015	72.934380709	424.192305354	402.461103858	357.013138738	357.05910994	381.651754467	419.253501061	250.414227617	354.617400531	415.835884551	382.559727694	376.085646705
K01886	251.503795492	186.40812636	68.466346259	146.594354302	62.77790356	87.98254823	56.790184094	132.594883776	21.17233883	74.867577337	19.93675818	9.070495515	18.617142173	53.649271168	11.597932147	2.19213629	48.019303816	15.112446109	3.72248438	6.370384965	145.35157692	243.48127923	285.235313207	140.63961061	335.4502894	260.551611002	215.11315899	66.577248006	130.604193586	217.288243976	42.75172935	26.646179458	22.845918751	33.21284551	7.96565492	47.25867705	50.86136698	42.536577704	70.464417867	18.431847114	144.73017406	175.457863976	124.556900735	137.684123893	169.616906	180.180685244	156.397385116	142.647351012	147.664574968	153.8300539
K01887	235.131409272	322.000131526	76.008254213	144.418791009	331.21089464	86.635416826	61.482019296	147.84666065	579.021541216	78.77748423	28.347545377	8.64664464	21.282459854	52.152241403	11.939714789	4.00982089	47.02349211	15.631108674	3.94162874	5.55521071	201.59392729	271.44468317	289.129448405	390.13686064	368.506855123	376.402327746	368.063466414	479.994671275	405.554238296	390.733104175	46.63077673	25.282480306	27.843296998	38.166992063	308.32899774	52.04539553	55.898425529	51.612348951	68.803736935	463.018482466	404.071328914	380.307938242	299.288087266	392.702538698	536.580300847	310.08445094	370.207270724	360.18587477	410.266552871	396.346536228
K01889	233.775966637	294.86504736	81.058708105	146.98372938	314.538511392	84.585382116	53.398063784	138.13209214	613.77357614	75.29479838	23.056609457	10.00802297	20.187570805	57.98583438	11.922025315	4.38241006	49.59096712	15.72516037	3.96009015	6.19813884	207.166886505	273.524679356	304.09331306	372.64574238	344.337137249	382.928757882	356.684570813	455.193767844	482.624289692	364.811279284	47.25455722	27.753517014	30.419318244	38.150876234	297.23931638	49.410329256	54.6200481	46.037055605	64.969901755	429.36413387	351.503026716	285.965225205	279.126009863	298.771800475	371.49564944	207.493153339	298.46515499	360.93879973	351.65438261	342.307800114
K01890	232.715637588	300.842901855	82.456145406	146.0420848	321.29685221	91.670523325	56.344285235	142.647269358	687.705970594	78.0551202	26.969620705	10.30672481	22.28978467	53.644690115	10.881861729	6.09544381	46.16700987	15.79663772	3.98994631	6.574010566	214.500924021	256.934156444	304.671452967	452.791368514	391.772838324	393.255709501	449.390360343	465.35616657	539.565649939	418.019806751	54.289116554	26.441562648	32.791483448	40.338507844	402.41381906	53.78611705	55.917234065	53.074452321	70.318062366	982.99800704	411.714828582	347.632969476	390.104454742	534.999782828	486.017553701	244.031681054	414.099418286	376.835176853	437.332314596	490.364038006
K01892	217.452363853	298.677830596	66.072105341	124.54699404	307.51657118	81.67960892	55.848866528	143.283940466	607.95680671	70.52541477	22.87753432	10.911178926	21.140321566	49.555520245	8.69633282	3.565467884	46.331531337	15.754052069	3.42950971	5.53181731	188.358269924	264.886141475	286.974882433	387.575528435	344.963936928	345.678733419	333.870943979	443.64075483	395.21377104	364.973483349	42.08268246	24.913102985	28.05579419	31.49642545	271.34941627	47.648506446	50.66367194	41.490852206	62.90746889	429.63301144	384.672515137	340.010632592	293.751243331	330.208199154	413.468597457	244.028190917	371.08512751	292.534864136	345.732125635	431.239263206
K01893	236.656154244	293.34068232	73.01750674	142.7135559	307.54110444	81.25829307	53.078479435	137.889237599	640.216414794	73.9634289	24.66117347	8.78295502	20.705650576	53.928145166	11.119555924	5.25465241	50.25315248	14.50470649	3.08120184	6.453352206	199.314444579	235.807142839	267.380673682	408.38833214	292.018328914	353.790476174	334.057798135	583.460808724	430.42157092	359.848215431	45.93510784	26.40770997	27.547222016	34.65370555	297.38833654	50.91517556	52.21465375	46.9112544	65.917612762	491.839898985	426.719398199	252.19559086	129.549229659	266.77896661	351.880926104	196.308443535	304.49526832	251.67703214	354.57768323	355.157855705
K01894	12.89811353	28.706525604	2.03589078	3.32580581	1.85826588	7.20363958	3.92821192	2.99678122	0.81195614	4.23528119	0.29633775	0.49841952	0.21333113	0.33327302	0.21345	0	1.56001211	0	0	0	4.52972884	5.59024551	19.28799421	17.04650979	27.86936967	8.994426344	25.06476939	1.2724118	5.09019237	11.46408477	0.6399669	1.02663661	0.40381422	0.63045502	0	0.98205638	2.17722362	2.07120633	6.85832403	0	67.34255057	81.54723005	142.58858154	108.59825218	26.228792318	154.134746147	87.90059492	11.8912364	73.84538224	68.46082171
K01895	130.047188524	213.16210438	44.20878283	133.25528889	124.79669268	45.627245945	53.743722489	92.092249171	25.539705206	40.50186871	14.869849556	4.536736844	10.057169196	11.623592239	9.883445189	2.08241816	14.26420989	9.016493552	1.99211834	1.757182116	119.874704658	322.877915744	292.676151911	205.201208974	423.186942672	378.458037567	278.447910104	81.717167986	180.905653146	325.699389615	15.54726892	25.865840775	15.848872766	10.7846888	37.655914878	22.33215798	30.33320845	32.07661509	57.89527733	35.00060293	259.180227447	249.137606971	502.195934719	277.01161728	194.408752984	333.066300233	249.664742615	498.098318506	243.449005783	218.41188026
K01897	260.895141227	395.916190822	121.973788205	289.111748575	136.13033559	118.985104655	135.031419678	258.937922691	50.006803598	97.019947845	41.218815962	12.388849206	29.171665548	36.428474549	21.167484715	6.784378015	36.989150998	33.005441506	4.592768139	3.224520594	308.027096315	564.355040745	643.494706767	378.05299039	747.369243559	638.232646293	495.293304009	164.65378903	343.539119051	570.211796815	38.323388255	59.644854224	47.05880403	40.427815342	39.442625592	58.93330478	80.155288471	81.765566891	148.701177132	113.496424696	302.207576787	426.734512264	487.605701169	389.354946753	388.681890704	325.445095224	276.334228499	858.119677572	319.686849629	378.055732463
K01902	115.34630103	82.65940803	20.28428228	52.91998766	21.72312842	26.87683418	9.960487106	39.51732564	3.50653338	30.34843081	5.322739684	4.77605716	12.72315175	38.19894659	4.22555746	1.416605335	33.96389513	3.05609786	1.7402646	3.691732286	43.74093481	50.05910607	49.73982404	23.82722321	37.628093307	20.82434325	18.61989941	3.37758224	25.19835664	22.5881058	24.95643175	14.01388328	5.7377974	14.30257346	0	21.74968533	27.92084867	12.79958939	12.37996986	4.26842491	52.096497681	71.609808015	175.10114885	111.53590813	38.2535455	158.828345415	103.459996878	193.91817646	56.94692213	72.211876674
K01903	122.64695547	89.39203979	23.16398859	56.02816927	26.56574701	33.02280428	11.618457125	45.2032257	6.91416085	36.77994232	6.69627976	4.75107242	13.608946344	41.697710751	3.24358485	1.843481766	36.4093198	3.82406823	2.70698265	4.25634403	41.87222478	55.75596063	53.075238863	29.37530323	33.975478547	21.53711918	21.150172955	13.7156567	22.27306051	25.2919512	31.11033324	13.79763327	5.97334396	17.07379138	0.319505694	26.16096959	30.84920598	14.67593915	12.42210076	4.231908519	55.140077211	78.407261707	160.5176477	95.022869316	37.032976364	167.8019243	87.36104516	192.06293399	61.96480037	67.271863216
K01905	0.416171214	0.18156292	0	0	0.43250158	0	0	0	0	0	0	0	0	0	0	0	0.18374674	0.0730517	0	0	0	0.1567587	2.199760075	0	0.27840453	0	0.15878163	0	0.13879935	0.13141572	0	0	0	0	0	0	0	0	0.2160936	0.43398568	0	0.59249858	0	0.35231176	1.1045268	0	0	10.91833478	0	0.57354829
K01906	0.94802047	4.78291543	0.52998471	0	0	0	0.2928028	0.81632572	0.18915021	0.34246567	0	0	0.28929013	0.093173124	0	0	0	0	0	0	4.49387384	0.53159908	0.54629416	0.65877907	0	0.19800346	0	1.069048	0	0	0	0	0	0.25434428	0.39758888	0	0.72608241	0.441200746	0.10819141	0	0.69994228	0.45600455	0.113059476	1.231669744	0	0.11716323	1.21563074	0	0.796713304	0.33355823
K01907	0.78936252	6.30678405	1.18893636	0.59806907	8.0067362	0.94780128	0.55529376	0.79301739	0.61490953	1.49825853	0.39133759	0.10039448	0.41637672	0.78881822	0	0.75328645	0.16260439	0.29592866	0.5876651	0	3.56285254	3.64231974	2.1914121	3.3965742	1.76095675	1.46865744	1.31102487	0.28497818	1.0646953	1.18306257	0.38467408	0.39214929	1.3750247	0	0	0.27053568	2.0793336	0.64403538	0.42473811	0	2.265611275	3.97092244	20.02725888	7.518875785	4.46052122	19.417080845	13.58308217	105.5343103	2.520093474	6.88744161
K01908	0.42102668	25.54688137	0.70342074	0.54034765	5.10521603	0.33781117	0.15325056	0.43071071	0.21131499	0.54520035	0.50398624	0	0.16402309	0.3651575	0	0.3093285	0.31403994	0.14779934	0.21123217	0.17721751	1.5109471	1.35559704	1.1354935	1.4649506	1.12518936	0.72805536	0.5485335	0.13490564	1.76599977	0.6666163	0.18837327	0	0.2530342	0	0	0.13712867	0.9664152	0.253593046	0	0	7.08726082	7.0218208	28.83582057	11.94665739	5.41267895	24.87783908	14.92221076	64.655012805	6.92200762	8.707306735
