CPD_ID,Bger_1,Bger_2,Bger_3,Bger_4,Bger_5,Bger_6,Esin_1,Esin_2,Esin_3,Esin_4,Esin_5,Esin_6,Pame_1,Pame_2,Pame_3,Pame_4,Pame_5,Pame_6,Pful_1,Pful_2,Pful_3,Pful_4,Pful_5,Pful_6,QC01,QC02,QC03,QC04
CPD2267,21249451.476707801,34913339.891617298,37313145.045388497,37594979.168919303,21811455.927148599,52620210.220587097,23085503.8892534,20368318.9732375,28661819.291134499,35785067.995582096,19088513.712818202,35386024.627981998,41657032.381467901,20830992.023320299,40496584.315097399,36102500.173782401,23832592.089266598,29243027.8497741,65657650.748337097,26334229.671086799,68380272.441153407,44421586.029253103,70014674.9124749,70917812.013239101,35539069.343407601,39713902.417651102,39613233.248112798,40011621.439146601
CPD2268,8910578.7616674807,34739060.763670303,2398630.8338965401,9308078.4234484397,3676111.5091795898,7789245.2033368498,168718.87748169599,1921533.38052724,469874.681470068,117633.272262891,310408.02676519501,739317.86979038804,6848600.0489117801,14466316.0060654,170023.32519617199,12079704.772934301,18408560.599246901,25539194.347056601,2718889.3685563598,2529549.6216968698,1480174.4426923799,2545490.3221773398,2001274.2089209,3143047.6420875001,3002063.1143228202,3406099.1197007801,3513338.1365141599,3203639.1372211501
CPD2269,0,0,328508.59004333598,96098.596573948904,282857.84840901702,132077.62231319401,16266391.7886972,15679260.4158026,7769430.77441354,2412171.05724141,22921928.9251858,11058813.665003801,0,0,78953.138407553197,171553.54643082601,0,48445.285636529297,247068.10803932001,265059.39383078401,158888.127456794,52294.966209941398,37628.747160598599,110553.862082377,2907218.5429007802,3106448.1796628502,3197551.5625733598,2999250.70379601
CPD2270,6236554.7653888501,8386638.9988967599,974172.05136051099,8321157.5010683304,2818085.3776763999,1320268.0745137499,31149296.2755429,43635150.235489003,31816799.601249699,45682499.792856403,103866321.78302801,72148692.069555402,2541787.5301399799,6228089.5591325499,2810362.2143502701,2130011.9596949699,6896704.0957672801,5790445.3886823701,57206552.438864797,32481699.077743899,25615520.747602001,25150552.928786699,19624378.365237299,18175629.397782601,12068623.383509601,13227891.163191799,19802789.718516599,18243577.929590199
CPD2271,837301.37459228002,4216105.9956788197,8802767.0878486801,6500672.1954617202,4304880.3412294602,2544159.4766929699,8313565.0149451597,6835194.6113658901,9425132.1002793908,17636034.2721177,6054486.9250459801,6254964.2342356797,18907396.752730101,42708449.901766203,11155438.725141101,14802955.637799701,28805080.516087499,55877650.269777298,75144656.632890806,33208718.7022723,61248788.146849401,34148434.204810597,19366007.106091399,33859006.067721702,18977085.305945098,19186877.237702802,18527623.115394302,17216870.434774701
CPD2272,735124.75068164198,1750443.7687057301,1320582.81992838,1562075.0732847101,573852.164242069,1397140.3135172499,5640.1666718870401,56958.977490819998,0,0,112118.529741466,150500.57875064801,218640.766450389,645285.74394726497,983652.80822473799,1225792.7458433399,376054.5078125,265198.093737724,490498.94416796899,141496.68757304599,446802.04768891999,144346.21158959999,164424.633990234,96013.680992428199,585807.47817466594,536995.02766895294,566064.03403564496,540216.55178142898
CPD2273,11898566.7052476,8385140.8118583402,10275050.0338542,6087020.9010961,22456347.183684699,23616019.684525099,623583.32496289106,1139820.18574249,1137855.53490865,1259950.8439009199,469165.41984082101,566663.12204477203,9980530.4618989397,4137470.0270563299,8542970.6551757902,5163505.8277781298,4336539.3819433497,2796168.9245874998,11938855.538567699,4098091.13602969,15350807.0214941,6862798.4295812501,5607982.5659174798,6567734.1088101501,6773031.2330390597,7006480.4262005296,7081592.2447903603,6900577.3398114499
CPD2274,4193580.03308444,5712844.9175064601,18448810.389947101,11804832.2637609,3357534.4701509099,13581018.0863344,3595278.58504454,9483335.6085549705,3790307.8763687499,3736125.1160908099,9711849.6002062503,5328578.2902323501,4113509.1273914501,5172942.3298129896,6907666.8611626197,13371796.313028401,5920909.9357284401,5597292.52202472,39849653.994562499,26506625.1642658,20436586.8438113,11072381.6970309,37824208.867533498,9920333.3428698499,12165396.4392625,11158086.3464061,10895523.9145767,10968404.571190599
CPD2275,21494274.936599601,9152937.7683845907,39615922.2745848,7949854.87106016,13656303.298417101,2461447.20168804,498141.537644842,1563981.14156367,35956874.901713602,553734.89112773398,2540073.54284593,503857.03705351602,742232.08185322303,1177573.15127812,1735280.14825612,1173049.15121431,1397629.7255992901,1672298.2073262499,576235.08562390704,1215272.32921685,746713.52090319397,808022.59644783405,52144988.603362501,774543.78897685895,6388992.9080343796,6209582.0094411401,6143368.8299809396,5964733.7080650004
CPD2276,401657.59714695602,329299.99701171898,207310.265359802,437136.16038421198,359715.48954016098,209039.55788151099,332749.980663497,292153.25811025401,260241.866336823,331160.29321252299,355642.17574422498,177901.734990967,270150.04719583702,203935.403657324,449351.81460138899,293555.10951187502,266195.59448789799,240289.84887084999,407340.85830517497,330909.10275023401,260783.99685093001,227940.61677539101,278581.05179760797,305337.26940900198,287625.16239756701,288192.88417082903,258862.770401185,278139.35575911403
