CPD_ID	MS2_name	MS2_score	level	MS1_name	MS1_ppm	mz	rt	Formula	type	HMDB	Chinese.Name	CAS	KEGG COMPOUND ID	Super.Class	Superclass.Chinese	Class	Class.Chinese	Sub.Class	Subclass.Chinese
CPD0545	Sepiapterin	3.84	level1			236.0798	80.4	C9H11N5O3	NEG	HMDB0000238		17094-01-8	C00835	Organoheterocyclic compounds	有机杂环化合物	Pteridines and derivatives	蝶啶及衍生物	Pterins and derivatives	蝶呤和衍生物
CPD0546	Nicotinamide N-oxide	3.84	level1			139.0498	76.6	C6H6N2O2	POS	HMDB0002730	N-氧化烟酰胺	1986-81-8		Organoheterocyclic compounds	有机杂环化合物	Pyridines and derivatives	吡啶及衍生物	Pyridinecarboxylic acids and derivatives	吡啶羧酸及衍生物
CPD0547	"7,12-Dioxolithocholic acid"	3.84	level1			403.2503	52.3	C24H36O5	NEG		"7,12-二酮石胆酸"	517-33-9		Lipids and lipid-like molecules	脂质和类脂分子	Steroids and steroid derivatives	甾类和甾类衍生物	"Bile acids, alcohols and derivatives"	胆汁酸类、醇类及其衍生物
CPD0548	Lumichrome	3.84	level1			241.0728	38.5	C12H10N4O2	NEG	HMDB0254199		1086-80-2	C01727	Organoheterocyclic compounds	有机杂环化合物	Pteridines and derivatives	蝶啶及衍生物	Alloxazines and isoalloxazines	咯嗪和异咯嗪类
CPD0549	N-Phenylacetamide	3.83	level1			136.0756	24.9	C8H9NO	POS	HMDB0001250	乙酰苯胺	55576-55-1	C07565	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzene and substituted derivatives	苯和取代衍生物
CPD0550	Turanose	3.83	level1			341.1098	230.6	C12H22O11	NEG		松二糖	547-25-1		Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0551	Phenylacetic acid	3.83	level1			135.0455	48	C8H8O2	NEG	HMDB0000209	苯乙酸	103-82-2	C07086	Benzenoids	苯环型化合物	Benzene and substituted derivatives	苯和取代衍生物	Benzene and substituted derivatives	苯和取代衍生物
CPD0552	Galactose	3.83	level1			179.0566	175.7	C6H12O6	NEG	HMDB0000143	半乳糖	10257-28-0	C00984	Organic oxygen compounds	有机含氧化合物	Organooxygen compounds	有机氧化合物	Carbohydrates and carbohydrate conjugates	碳水化合物和碳水化合物结合物
CPD0553	Goralatide (acetate)	3.83	level1			470.2248	257.1	C20H33N5O9	POS	HMDB0062552	戈雷拉肽	120081-14-3		Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0554	L-Azetidine-2-carboxylic acid	3.83	level1			102.0549	232.1	C4H7NO2	POS		L-氮杂环丁烷-2-羧酸	2133-34-8	C08267	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
CPD0555	Metoprolol acid	3.83	level1			268.1543	214	C14H21NO4	POS	HMDB0254682	美托洛尔酸	56392-14-4		Benzenoids	苯环型化合物	Phenol ethers	酚醚类	Phenol ethers	酚醚类
CPD0556	4-Acetamidobutyric acid	3.83	level1			146.0811	191.3	C6H11NO3	POS	HMDB0003681	4 -乙酰氨基丁酸	3025-96-5	C02946	Organic acids and derivatives	有机酸及其衍生物	Carboxylic acids and derivatives	羧酸及衍生物	"Amino acids, peptides, and analogues"	氨基酸、肽和类似物
