sample	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
Pame_14471.t4	0	0.033116	0	0	0	0	0	0	0	0	0.041493	0.03518	0	0	0	0	0.031958	0.035585	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037756	0.038586	0	0	0.07368	0.03437	0	0.036485	0	0.065337	0.040919	0	0	0	0	0	0.039852	0	0
Pame_14472.t1	666.664	709.226	623.612	381.254	451.805	671.124	591.759	426.693	494.347	488.645	334.04	572.787	605.883	519.753	607.253	591.064	625	545.471	628.201	610.188	611.569	577.7	552.246	577.829	639.463	622.564	571.541	620.989	616.575	593.388	684.885	678.044	617.615	723.172	645.611	811.36	641.006	666.86	714.997	639.063	746.808	704.591	831.324	1021.61	571.709	916.663	628.511	452.09	644.863	599.545
Pame_14473.t1	2.36717	2.83422	3.54853	1.90247	1.98978	2.30847	3.4731	1.84289	2.16244	2.86366	1.85312	1.48738	1.51982	1.35724	1.63049	1.50396	1.14413	1.93429	1.40959	1.41284	2.70067	2.17631	1.43778	1.27072	1.66797	1.43778	2.04427	1.22562	1.97265	1.90533	1.60113	2.12561	2.15706	1.83723	2.19047	1.54815	1.90905	1.52867	1.97812	2.11945	2.29134	2.19237	2.32885	2.45606	2.74593	2.22768	1.96967	4.09056	2.06585	3.0906
Pame_14474.t1	17.2224	12.3125	13.5408	10.8468	13.2718	8.51369	14.6705	13.2834	12.0583	14.492	5.8079	13.2466	13.066	11.3627	8.97411	14.9749	11.7251	8.48846	11.7504	9.46383	11.3389	12.4927	13.7219	16.0655	16.3256	15.7931	11.7507	17.9194	9.79072	13.0199	16.7349	15.1697	16.5365	15.3691	19.4282	16.6012	15.3832	23.2518	15.4329	20.6001	21.197	16.6289	21.8776	35.5414	8.02258	24.91	17.2417	5.84446	23.7097	19.1862
Pame_14475.t2	0.630483	0.71121	0.473299	0.397502	0.560602	0.728755	0.575345	0.490339	0.518016	0.591821	0.083395	0.346553	0.474244	0.173791	0.209013	0.619549	0.279129	0.206157	0.316626	0.20433	0.377896	0.447568	0.449054	0.71973	0.835584	0.522249	0.339864	0.439087	0.294246	0.30033	0.610373	0.378907	0.567099	0.638708	0.917082	0.666463	0.792098	0.832502	0.529309	0.616994	1.03005	0.544454	0.671468	1.12924	0.201818	0.689164	0.572947	0.26367	0.785808	0.747677
Pame_14476.t1	4.9451	4.13139	3.50703	2.80847	4.2171	4.8414	4.41894	3.05696	3.01324	3.43043	0.555597	3.35995	3.1962	1.81099	1.82177	4.22956	3.30635	2.22532	3.4979	2.13272	2.84575	3.4962	4.76665	5.30557	5.15584	3.64716	2.92024	3.58984	5.20048	2.50836	5.51892	4.44161	3.96923	5.65496	7.55274	5.21018	4.63428	6.43113	5.06333	4.37933	7.8518	5.94911	6.74751	9.01446	3.24746	6.09396	4.55825	6.64072	5.95836	6.73245
Pame_14477.t1	2.79458	3.92202	5.23625	0.970793	1.87047	4.3386	4.11561	1.42996	1.36925	2.43498	9.39579	5.25135	4.97006	4.54206	8.92872	4.36239	8.25209	7.78601	7.09117	6.5623	7.85645	10.5833	8.99941	5.72778	3.26131	4.55739	9.39774	3.89764	10.9481	7.453	7.34387	6.55369	6.85305	10.4838	7.89035	10.9833	9.35555	3.75435	11.5283	8.89324	12.2606	10.4876	14.3584	5.3392	15.3519	8.01438	5.93841	27.1392	7.83232	12.4593
Pame_14478.t1	0	0.735025	0	0.648739	0	0	0	0	0	0.646608	0	0	0.680815	0.680448	0	0	0	0	0	0.789248	0	0.822924	0	0	1.33821	0.910832	1.46134	0	0	0	0	0.810822	0	2.35249	0.852939	0	0	0	0	1.5531	0	0	0.797469	0.842653	0	0.79297	0	0	0.837378	0
Pame_14479.t1	2.63947	1.50666	2.15785	0.890376	1.73359	1.23612	1.94781	1.33328	1.1476	1.71643	0.404432	0.865384	1.08346	0.863392	0.637787	1.1255	1.07435	0.86192	0.773944	0.597624	0.932408	1.53433	0.883457	1.42558	1.57317	0.891785	1.16258	0.856105	0.838764	1.16922	1.21978	1.02644	1.14338	1.64345	1.55859	1.46152	1.62788	0.966785	1.22884	1.37973	2.34894	1.14999	1.55129	3.4867	0.765733	3.17109	1.18171	0.471153	1.48435	1.4216
Pame_14480.t1	9.57104	8.22615	11.2066	6.97173	9.23363	8.04093	10.8172	7.5724	7.76513	9.61801	5.81913	5.16209	4.65117	4.69813	4.85785	4.87548	4.80268	6.09818	5.01031	4.86815	6.12732	6.95473	4.41927	6.67774	5.18216	5.87691	6.53589	5.46817	4.09449	4.45555	4.99975	5.92023	6.66434	8.41568	6.58775	7.15827	6.91746	5.77836	5.29527	6.20586	8.12881	7.1252	6.61144	8.78124	4.70491	8.20801	6.38502	1.97015	6.38825	5.71761
