gene Fam Hos Lab Res Wild
Pame_00050.t1 2.57971896642922 2.81211715700765 2.51619846264992 2.71253263272658 2.13570190489422
Pame_00054.t1 1.64343781314876 2.11119059275322 1.70303581868367 2.30994058508176 2.73378504364239
Pame_00055.t1 1.37500158104234 1.92617900056924 1.45432655466178 1.81914692678975 2.33345414767861
Pame_00069.t1 3.23397473372065 4.06920311212769 3.16095288991606 3.54279498426081 3.09138946496993
Pame_00070.t1 1.48958959781302 1.86934842422653 1.18612279621023 1.61805979812095 2.91484855039564
Pame_00096.t1 1.14404882027484 1.82837212526126 1.09334979877378 1.83381056495295 5.02275129559012
Pame_00109.t1 1.80912249290674 2.242400146777 1.2613230812503 1.44896897172543 1.68364890532126
Pame_00210.t1 1.45749286533731 1.69868879702419 1.08480749297055 1.48366392102077 2.98172599624254
Pame_00211.t1 2.7377827122368 3.95527782604569 2.4983466839044 3.18762335357777 0.727549504558259
Pame_00271.t1 2.88763973108594 3.5518187493721 2.5522656405767 3.30369610750617 1.72243942951804
Pame_00315.t1 2.74311339558231 2.14916988211669 2.78844732151311 2.82214041195812 4.20348991363554
Pame_00347.t1 2.27690961939461 1.80251652873649 1.74537153927263 2.09667346759024 0.346838770905474
Pame_00351.t1 4.89991065008472 5.18315693163587 4.75577564035566 5.24629603766772 5.33874509639124
Pame_00356.t1 4.09560423204576 4.55714351052322 3.58632287548011 4.42019134643478 2.08718241787403
Pame_00362.t1 1.69728864130391 1.88314115042683 1.55122011685985 1.98628606288326 1.43611215990991
Pame_00367.t1 3.61560091091851 4.03102022518451 3.26498686303233 3.80012293522216 3.59635254521653
Pame_00370.t1 3.75548856825496 4.23669429756668 3.32973879713794 3.91411078076925 2.24538336214643
Pame_00372.t1 1.62602072332074 1.80737544084176 1.41992868801691 1.66809095523736 2.07204772579563
Pame_00381.t1 1.64764706847873 2.88900769779342 1.43861939083047 2.92603466277308 2.58200320321747
Pame_00390.t2 2.45541169837169 2.90678693228787 1.89027939186903 2.79005540033625 3.72982623865126
Pame_00391.t1 6.45990718690206 6.79370069792927 6.01915719437572 6.57006884434322 0.269544654619143
Pame_00392.t1 2.43772054008837 2.77116576081243 1.91434741003819 2.51804529966012 1.53448380223952
Pame_00393.t1 3.73184266370343 3.52997433793893 3.44118625040576 3.92427303316998 4.28659279019371
Pame_00401.t1 3.40514119765546 3.83488052725525 3.2268513559506 3.60488075682559 3.42890903705268
Pame_00402.t2 3.60221329984007 3.22701088883136 3.55191405520238 3.7880149079468 3.298870971219
Pame_00407.t1 3.16851547633509 3.59149547891717 2.51209570745989 3.14612802122307 3.11107345509742
Pame_00417.t1 3.29086733953364 3.55558898969796 2.92514066405422 3.31044925856793 2.69862736811377
Pame_00419.t1 3.57731734456433 3.89759502784512 3.24884001563514 3.72844879438647 2.47124752790732
Pame_00432.t1 1.47796443915067 1.89748615412067 1.08616635287192 2.28436887297041 4.09666077148331
Pame_00433.t1 3.47453762075661 3.95353591312069 2.74594725316554 4.06706310397737 4.04924004931558
Pame_00435.t1 2.53922444056487 3.50071225251733 2.16939626409115 3.2215129084825 2.90990022522878
Pame_00436.t1 4.09110741121411 3.23492263871657 3.58847582879356 4.32633906829197 4.26721735539154
Pame_00437.t1 4.97796514955454 4.43792335594933 4.72241202721787 4.14500676257384 4.14121340606618
Pame_00439.t1 6.09109393805852 6.59525498220099 5.88801173814974 6.48425604076464 5.47963442099512
Pame_00458.t1 7.23960031636987 6.85942123382448 7.34524259756737 7.64845963958525 9.51978954414031
Pame_00459.t1 3.0138774238178 3.47968902999213 2.47198106183089 3.33791691777812 3.10549739600423
Pame_00460.t1 1.60040641145414 1.88435136813302 1.52576835892898 1.71914252503402 1.54110855212533
Pame_00462.t1 3.70641603706178 4.30102747309637 3.43204663365791 4.03884406522216 3.78059103640399
Pame_00463.t1 5.93088563164316 6.35050805766008 5.39786748564389 6.09720374815463 5.00131102371427
Pame_00464.t1 3.26338171154816 3.61078509988281 2.96896625471277 3.57783278052685 3.72677626756742
Pame_00465.t1 2.3778462288087 2.47477690324412 2.00494473450408 2.49019480418807 2.7057348074302
Pame_00466.t1 3.00505211912926 3.5765442498492 2.48969778631753 3.2205835543614 2.41443430917855
Pame_00467.t1 2.26310153577652 3.29196383060092 1.93307771547209 2.88294040679944 1.2915383033837
Pame_00479.t1 1.66644401753773 1.43053787359361 1.55520396743848 2.16732643841897 1.74054154046619
Pame_00481.t1 1.60187488439939 1.76992031627739 1.38115589638361 1.77733732926274 1.83164667134472
Pame_00485.t2 1.52987453435842 1.65622553448037 1.31748821878906 1.81357788488668 2.81484258784574
Pame_00486.t1 4.38742946090029 4.74165498003932 4.21167497993252 4.54145678163714 4.42784233908304
Pame_00489.t1 5.14661811064304 5.15215266376271 5.40749707321936 5.11744714694608 0
Pame_00491.t1 6.69674197075761 7.26462804643356 6.32158659118494 6.92375753533836 6.9343035884329
Pame_00493.t1 3.34643351432531 4.0263372509774 2.74655593141023 3.60200558852307 4.0746552868559
Pame_00497.t1 5.7074407272415 4.99325173073206 5.82262940446456 5.36054725172094 4.88429891335506
Pame_00499.t1 2.68601001352933 3.258299921235 2.08911202399242 2.78851790924586 4.10032958040069
Pame_00503.t1 3.45906764502309 2.66362882565799 3.78096534048488 2.98231833857157 7.19383521939299
