gene_set	Bger Mean	Esin Mean	Pame Mean	Pful Mean	ANOVA P-value	ANOVA P-value Adj.	ANOVA -log10(P.adj)	ANOVA Significance	ANOVA P-value Adj. Significance
M00156	-0.2219436506	-0.1285031739	-0.212020676	-0.1218096862	0.03708260119	0.04122534411	1.384835711	*	*
M00157	0.4006157622	0.3903746917	0.409969267	0.410105649	0.0006009088518	0.0008396260669	3.075914087	***	***
M00159	0.3464585684	0.3951259228	0.3982853472	0.3706613635	1.745300969e-11	2.297041276e-10	9.638831201	****	****
M00161	-0.3742518643	-0.4466003828	-0.2640548211	-0.2862169171	9.46532333e-14	2.758465656e-12	11.55933242	****	****
M00162	-0.1186764154	-0.3242473097	-0.1476935828	-0.2140491474	5.895199435e-11	5.344980821e-10	9.272053849	****	****
M00163	-0.3916762295	-0.4412320455	-0.3002635716	-0.2890147088	2.440673605e-14	1.106438701e-12	11.95607264	****	****
M00165	0.2615709754	0.2622145762	0.2891546675	0.2770991244	1.366437468e-07	3.898646762e-07	6.409086112	****	****
M00168	0.1737447826	0.1434594282	0.09954233264	0.1484938019	1.933768674e-06	4.219131653e-06	5.374776923	****	****
M00169	0.4329741828	0.4426045698	0.4366896754	0.4390855119	0.00561265366	0.006856175728	2.16391806	**	**
M00170	0.3338421412	0.3073480335	0.2620317773	0.2983266955	1.429903837e-06	3.205498711e-06	5.494104393	****	****
M00171	0.09951983746	0.07534952664	0.03642506547	0.1180597437	1.887436077e-07	5.274478901e-07	6.277820441	****	****
M00172	0.3791794999	0.3536022895	0.3281844024	0.3555122502	2.244116401e-08	8.557004594e-08	7.067678235	****	****
M00173	0.2788755642	0.2887379037	0.2950046029	0.2917059406	0.001321380464	0.001750400095	2.756862672	**	**
M00175	-0.1121716185	0.02657832094	-0.1564501595	-0.1657751936	8.391442793e-09	3.642243255e-08	7.438631052	****	****
M00176	0.1721885191	0.2030672172	0.1815142269	0.1725332157	0.0002554836592	0.0003832254889	3.416545613	***	***
M00307	0.1841412314	0.2657272496	0.2347928035	0.2313185637	2.104017357e-09	1.129525108e-08	7.947104111	****	****
M00308	0.333232724	0.3051905416	0.3365482217	0.3324087593	4.155275687e-05	6.996639979e-05	4.155110473	****	****
M00309	0.04165110575	0.05538520887	0.1085923864	0.06386930229	0.0001809629889	0.0002786147149	3.55499595	***	***
M00338	-0.06730006485	0.1592248209	0.01621689687	0.01560215996	2.557275783e-07	6.731409804e-07	6.171893969	****	****
M00344	0.3095196735	0.2156840769	0.261176711	0.2822431589	1.255741358e-12	2.561712371e-11	10.59146963	****	****
