gene	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6
K09910	7.93821466	1.75625387	2.53852606	0.801992839	3.89931625	3.02958396	1.1523745	0.8800141	0.5878118	1.2268015	1.0906811	5.5014157	0.32005324	0.128824166	0.34353055	0.853195834	0.32579745	0.6081478	7.000486362	4.59646654	1.779365112	7.194884164	2.17316833	1.517865945
K09911	9.47511412	1.293519746	2.44475994	0.569708655	3.120535234	2.98010997	3.71284744	3.33004158	1.482112554	3.470251097	1.968135191	5.491531808	0.148306506	0.325599425	0.192022917	0.60486609	0.21372079	0.13459176	4.98633931	2.72837784	0.881886048	2.457566734	1.12144511	0.79666549
K09912	8.44831665	0.98625749	3.27265397	3.476398563	3.09676733	3.63235009	3.32874149	1.47322429	1.268390996	1.78748273	1.52696828	5.08860424	0.992257838	0.773216009	0.800884733	0.550527875	0.686947882	0.719874643	2.844084361	4.59374902	3.09751016	3.1086493	2.023812093	1.012497904
K09913	3.00307349	2.16391292	3.95549463	1.647955302	3.171745936	3.009085953	8.090793706	7.183986942	7.605314188	5.55224487	13.46367512	17.26635194	4.071464471	3.997847803	6.778893467	4.013568766	5.465530256	6.067574316	7.86012968	3.961064574	4.078928842	4.53598527	5.044647142	4.190328478
K09914	10.06613025	6.735677561	4.313291485	1.620111687	5.63923429	5.742344853	5.206388264	7.942348679	1.45805124	1.938442381	1.996086314	3.97147921	2.20449166	1.487594829	0.72542972	1.62196727	0.988801429	0.725358014	7.480361723	5.374940475	3.368857913	6.27592881	4.010385817	2.596905437
K09915	6.4744849	0.157240155	1.23113876	0.367822743	1.76014873	2.26132998	6.040845944	4.971877364	7.672503746	4.81400199	5.88349107	8.60141563	2.167520448	2.557250284	2.550728834	3.780658801	3.5669004	3.888922634	22.22967981	3.999858469	1.976510383	4.684736633	1.959950854	1.172539917
K09918	5.45233349	0.266869837	0.79538013	0.033607226	0.53926674	0.161066677	2.4040897	0.6408622	0.676366	0.034796733	0.3100512	0.77457345	0.263934221	1.35562894	0.959508064	1.57959797	1.876864068	2.534032396	0.406927473	0.48044905	0.492231939	0.32105491	0.403182712	0.246653397
K09919	8.853926658	5.460656031	4.844899714	11.22321848	5.221245467	8.320178106	8.63218873	7.322997087	1.886145024	1.1367859	2.305698289	2.665295546	12.8307823	8.808074931	11.88140005	8.915346854	5.608670854	7.896016846	8.806037859	10.84012517	19.10633885	13.42150333	10.04334078	12.69944955
K09920	8.352458424	1.960010339	3.055130591	2.648080361	2.613029884	2.32485604	7.95477794	8.221630387	1.386529746	1.79076398	1.758138443	4.710113203	0.519161934	0.834166377	0.540507019	1.247231634	0.700908984	0.887990005	5.815302484	4.544481416	3.096080404	6.11325133	1.48289166	0.754551591
K09921	9.27224422	3.244573539	5.00333223	3.512465126	5.906136364	6.342446455	8.281784826	9.845751216	3.779379906	2.593655566	2.820266898	6.134402484	3.92049072	3.189945898	2.782505611	3.155807013	2.110327372	2.459201548	27.43722105	5.452048624	4.200058254	6.975464621	3.681032784	2.348951562
K09922	187.2109126	183.003493	196.6103227	190.9479471	202.9015327	160.1454133	59.46912891	74.47302594	53.54164298	59.88455638	100.2891103	68.81680183	126.4291627	127.3642815	170.2590152	167.4775412	163.8900849	159.036453	171.6258481	175.9115631	179.0231849	191.4575961	165.2728758	158.0754357
K09923	12.19662587	3.567890906	4.70235362	1.481546088	5.91095821	4.758273442	19.4622694	22.07185532	13.66195925	16.30231572	12.96599267	11.92796961	2.216559742	2.047634728	3.113616573	4.13978266	2.610599968	3.022818348	10.44421278	12.09668415	8.48861352	12.01399953	4.816231453	4.124127188
K09924	27.70235826	14.7665311	22.5049775	11.45699091	38.93316414	18.58303901	17.91451049	21.43134368	6.568274592	7.362226146	25.46482624	11.86332131	6.802098788	6.144713398	8.088143061	12.72008042	13.81548263	6.250697667	7.404979471	12.36096282	9.599400535	8.633844016	8.29629345	7.774451803
K09925	6.630704114	6.184299593	6.553221576	2.465531618	7.00889999	7.590409886	5.8738344	7.210336683	1.50808682	2.382127138	2.23922366	1.534590895	6.901477766	5.487893208	6.099449764	5.274387976	4.886022485	4.538452528	6.451150273	6.839320502	4.386362789	3.055806592	6.686608881	5.000276351
K09927	30.36136837	18.17677221	22.20056701	30.1058621	27.65137205	43.96114736	46.06688514	39.55614527	36.92464726	31.77887469	45.02091191	55.56744502	23.05277754	22.40040447	25.0081707	28.38885936	31.09757851	29.56121148	38.88655981	37.69155441	66.28721515	34.78282609	45.04912183	44.253562
K09928	45.29419099	52.84182652	48.45126927	41.34961489	53.88743107	60.33253171	19.91977382	26.71437576	17.68873989	18.77208469	25.77186493	20.37205369	49.45408458	44.15828362	49.61603562	49.45700606	43.86439138	47.05549001	50.7138947	50.17459666	52.75384551	66.77479513	57.26037164	48.7545935
K09930	2.134501386	1.27448576	1.16422081	2.08076217	1.54597948	7.01441171	7.90467471	10.02933518	5.478091744	3.915572235	4.666405096	5.774353387	2.806326542	1.96255826	3.309831843	3.288253145	3.563193355	3.740194804	4.4063036	3.14679926	2.157472584	1.661244867	5.548576419	2.095250325
K09931	15.67107717	16.95359389	17.46895333	4.493521716	12.50904344	12.8133674	18.54540854	18.65829154	13.51759374	24.67976777	22.98192932	26.5861229	8.188076887	10.99963648	7.967680986	6.376688294	8.372519448	10.16266226	34.12545937	8.750223245	6.375870803	6.387903263	8.287984987	9.87843025
K09932	13.42824019	10.48998328	7.720723805	9.618411837	11.59028392	23.06950651	8.82040824	12.28663323	8.278623205	9.679114275	5.28609279	9.6692829	2.621777347	2.116500413	1.946921127	1.908193974	1.578463779	1.65642366	6.09341147	7.103339796	4.06347544	9.27596537	2.86426963	2.141452529
