pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Directionality x -log10(p.adj)	regulation	Pame_1	Pame_2	Pame_3	Pame_4	Pame_5	Pame_6	Pful_1	Pful_2	Pful_3	Pful_4	Pful_5	Pful_6	Esin_1	Esin_2	Esin_3	Esin_4	Esin_5	Esin_6	Bger_1	Bger_2	Bger_3	Bger_4	Bger_5	Bger_6
ko00220	-0.307939294843509	0.0804242343094964	-13.7604519136766	5.46089485817562e-13	1.67103382660174e-11	19.6915697258289	-10.7770147586298	down	0.119958051152007	0.0728350398952591	0.187499942002352	0.0712383867073456	0.0747490513863269	0.0756443105413367	0.175947101492974	0.129046834936198	0.238554119312186	0.165808960020008	0.205500879395145	0.181541376378199	-0.0990445292713924	-0.165799461130611	-0.168149483152608	-0.165802672200328	-0.165908197562545	-0.138477077621328	0.197612849400253	0.209685589761071	0.191916352143527	0.193843988820908	0.148112912295022	0.193867298726607
ko01250	-0.0689071970773168	0.253188590144808	-5.44817667357315	1.27607743157011e-05	5.91635900091597e-05	2.44432072812588	-4.22794548116156	down	0.276978334284336	0.266772192940663	0.290104857107613	0.302102140402701	0.242698615928654	0.291211839781384	0.276772431074267	0.232364167557821	0.247749545997317	0.279259698638162	0.228628072280617	0.289321615251169	0.21759038902018	0.196950295089452	0.240768505651334	0.205085319449274	0.159304307934858	0.189350336875823	0.236682477342109	0.306890002473666	0.299027258819445	0.293535618355416	0.274154508309741	0.233223632909384
ko01232	-0.0448285280003852	0.116623289411246	-4.19832974851112	0.000310496620448148	0.000863745144155758	-0.742686150390806	-3.06361438114861	down	0.124467871739274	0.107404736016827	0.138549661818205	0.115699034629025	0.103665558086263	0.101440543666548	0.123192699991897	0.11294135849828	0.132788798901935	0.111749210783173	0.101096303630365	0.106146323729749	0.0767553730878968	0.0732317484813718	0.104554325280956	0.0677307824003251	0.0951672776191105	0.0805718535960829	0.145032050754714	0.182657719121972	0.139802133650421	0.171619579501779	0.127606064794667	0.15508793608907
ko00250	-0.063898353547197	0.226867652525179	-4.35704150804117	0.000206914919379946	0.000646081278880239	-0.340671415563941	-3.18971284307499	down	0.271303650561283	0.245443205109931	0.290136257550364	0.268622702999479	0.227155231709847	0.250526979809436	0.281039577685071	0.249007601951477	0.263822314381647	0.265654484671795	0.237245779532499	0.281532959168529	0.199090313333873	0.171804976377268	0.191423483821452	0.180452646827917	0.157520728170941	0.173371175657239	0.153962104990458	0.213658692420405	0.223157952040515	0.247780724488966	0.1990240305957	0.202086086748215
ko03030	-0.122728718740138	0.0555968214353549	-5.98937173018578	3.28534957543137e-06	1.86169809274444e-05	3.81220975782332	-4.73009074617208	down	0.093839195837632	0.132460515199376	0.0898777867195934	0.0940164081250149	0.190848378276319	0.0854041706097912	0.079120457480072	0.0531540479245193	0.0686106809074575	0.053306141635155	0.145289530135513	0.0388239350429929	-0.0325361984730196	-0.029552719130361	-0.0121905114198472	-0.0813577630090995	-0.0366344753279311	-0.0264266383582352	0.14399392117603	0.0431177806719035	0.033806767008938	0.0435596090494923	0.0102686297642861	0.153524064602926
ko00290	-0.254200540029934	-0.00800728304042103	-7.24265371124787	1.59668885652207e-07	1.43701997086986e-06	6.87684620563333	-5.84253719625108	down	0.0708563070962999	0.131285141076565	0.0600625391613566	0.00931411864610596	0.0681915751446724	0.0580804102017884	0.117614908744234	0.101127289561015	0.114106320300857	0.0986950604314396	0.0787302770311634	0.0563349031910995	-0.109124579370896	-0.167774778399409	-0.178471062909358	-0.208648389692702	-0.222947290839357	-0.304980027165509	-0.217075217836354	0.0171660449076701	0.0202112155058459	0.158182695147722	0.0665211609915934	-0.00963341389594796
ko04150	-0.0495326556097956	0.0716849344907727	-6.20646448513735	1.92100624697104e-06	1.22464148244404e-05	4.35462664197534	-4.9119910337363	down	0.107296440797607	0.094976755876109	0.0940921986976226	0.103182278669092	0.0973369808198966	0.0752851312481108	0.093707252957508	0.0781869312997567	0.0898859984012647	0.0984178989471124	0.0930714912342176	0.097556259146945	0.0362318110386042	0.0434089950165089	0.0398557470273934	0.044199308352818	0.017862498557392	0.0256542967078395	0.0641564575399692	0.071348345024057	0.0487811196447509	0.0785153467356588	0.0602209504725023	0.0672079335658085
ko00630	-0.0424361989883806	0.294017814763156	-3.37441429863035	0.00247409721442044	0.00582364421240503	-2.7753901373818	-2.23480516551321	down	0.26943127260568	0.286456205165508	0.302515189654902	0.294350446861044	0.273004541541429	0.290915643368514	0.349909279059698	0.325439365391139	0.331526433983706	0.336656128400494	0.332633364651501	0.343339287251456	0.275562553623965	0.234776791823282	0.23743069219637	0.276657856212027	0.267559080600096	0.281157018675486	0.250473387818995	0.323295802978515	0.29635767842185	0.306088700570897	0.284164034383072	0.286726799076127
ko00910	-0.306695699075008	0.295951550882826	-6.57141602759398	7.88352073195409e-07	6.29289010385601e-06	5.25638275986752	-5.20114985250576	down	0.403926300946807	0.40385435324556	0.388697727987477	0.402730997649646	0.359579418765434	0.386699674003428	0.462883319515753	0.441660005651027	0.444307982875754	0.474796203395008	0.412874002869177	0.451900432620965	0.211788375422483	0.0852839538966184	0.223564106054315	0.140765999437055	-0.121804207743836	-0.144019567607218	0.327052623268914	0.266574250877112	0.232533221388025	0.283282074845662	0.347093002989127	0.21681296883352
ko00360	-0.169070147902504	0.15028273126862	-5.11857984706182	2.94724517682482e-05	0.000118665397908999	1.60365232557643	-3.92567590015184	down	0.114267374911878	0.135479814336114	0.115121489579848	0.100377666997722	0.107967845705653	0.193062262179911	0.183847812778669	0.168277928589069	0.21476174068503	0.125233417756227	0.137856550554137	0.140237801465186	-0.0217848441815014	0.0206121987559104	0.035641282793772	0.0563876161813812	0.0367336197684436	0.0132908487324494	0.239152908016046	0.317947795166303	0.329128178442423	0.29042044606617	0.352959967917574	0.199803827248474
