module	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
MElightyellow4	-0.21153902091133	-0.270115594871882	-0.130966158195921	-0.247499974242809	-0.237876997649633	-0.227135917099429	-0.18868113358355	-0.210653253688561	-0.268406281803012	-0.235933964236581	-0.0767463748296776	-0.0401713994047682	0.0451634565810504	-0.011216012927115	0.072067186876168	0.259896878778357	-0.0754977072417183	0.169099271749567	-0.0402538299066755	-0.104079976028817	-0.0806398167025107	-0.0327888429941524	0.0589432738361103	0.0586707072694229	0.0873511703405675	-0.127740470739844	0.258391945648967	-0.0476713356890359	-0.0123395689462388	-0.00232200194498476	0.0244462475897516	0.0984550132680434	0.0909558609192868	0.058135895152038	0.0568348412727227	0.116438387825003	0.0653937647305028	0.168912044591141	0.0829554907297692	0.00887478114231816	0.0546902246398352	0.0544822124119299	0.0781290168128844	0.182100808677764	0.133960182427872	0.0799932628091798	0.249032913368443	0.196133932090822	0.0445538964678043	0.0262129656309281
MElimegreen	-0.246017043473076	-0.266252100680974	-0.164134558880798	-0.24993987552272	-0.253811141916696	-0.24492926852515	-0.221029273780208	-0.23183437421136	-0.254588416314318	-0.245311951312536	-0.0247711487084623	0.0456638880127144	0.0604456612270131	-0.0543339671429633	-0.0205270793746814	0.0154518029446443	-0.114473713966017	-0.0737090114534937	-0.0769569736978804	0.0436077029612118	0.018064464624341	-0.034343616534351	0.0487534370309402	-0.00990435333987411	0.00444255885862068	0.0674513357991681	0.0367886966143505	0.0453405084352369	0.0144614206335214	0.0923116208712737	0.0586816636433381	0.104050385157849	0.062534906685355	0.078287628516295	0.0658452059073674	-0.0211587238626086	0.0990492109091956	0.0188103404244118	0.126301490164325	0.000173427042196127	0.15411127164207	0.235013872380694	0.0912212085343019	0.218008132521344	0.243536507551834	0.210253200651048	0.115369568493085	0.154388680648285	0.12635073784914	0.153256055962996
MElinen	-0.235028016155414	-0.232930925437707	-0.186631010874417	-0.252383151429018	-0.255754111932345	-0.267528809847375	-0.220897409434667	-0.201152787414418	-0.271068373081285	-0.254203688385244	0.0110891238047602	-0.104557383998091	0.0631963153226602	-0.0504014174048777	0.0681759438889332	0.0299983354332241	-0.0210684926668616	-0.0139191897945213	0.14526254349601	0.0434690290495747	0.121583008940696	0.155412216268592	0.0549187094268686	0.0442034461971524	0.0648091671845362	-0.170511033399793	0.0251911519085259	-0.0122936269545206	-0.0109545887430929	0.0540965936685502	-0.01467017973411	0.0987111128065876	0.0880553112398438	0.16461029091718	-0.0542542373472021	0.170651278187233	-0.0435591668370397	0.172350707000007	0.0787699029011316	0.167786415385187	0.147699750777586	0.101025556985624	0.0492664393588267	0.049113259384296	0.0808980227492437	-0.00112933923899278	0.140341159245172	0.141769873213229	0.258381099997775	0.0840611753719841
MEmagenta	-0.217668021969589	-0.242630297985664	-0.101241502109983	-0.241816372479855	-0.251311563882678	-0.231094693702548	-0.180584458223497	-0.170803456322763	-0.24676572739946	-0.245790432085415	-0.14211901442649	-0.0721774013169788	-0.0609820363347306	0.0255140343273924	-0.069014988710525	-0.100354270784328	-0.042406924678766	-0.103799296081078	-0.0193001559721122	-0.0944379797732398	0.0102474326509619	0.0180270853121488	0.0176157030741414	-0.0126918898172577	-0.0140327613365331	-0.0194825137991034	-0.0216918786863689	-0.051383362516546	0.0424237553050416	-0.00485079068952309	0.129728332579707	0.0954366173974389	0.112237113838028	0.173653861444392	0.0792063261198507	0.112055298990976	0.142673830034394	0.126516881487211	0.0861922050967064	0.10581724849716	0.159186389337628	0.164683508627534	0.210569435817111	0.0716446573454136	0.212671455694854	0.259567354965307	0.124276149703017	0.173219064949956	0.193838327664403	0.11142972082426
MEmagenta1	-0.20377476561968	-0.242696458982533	-0.173956531629712	-0.24062586748681	-0.250196058292881	-0.219471851033677	-0.206163351668443	-0.215684526984123	-0.248618541241091	-0.25835220671974	0.0169643383046999	-0.0451757083731978	-0.0399335053033373	-0.0485235758855924	0.00149621381263786	0.0348041399068378	0.245402420559278	0.164497964469236	-0.0801594517010626	-0.0642033913758222	0.00207457690140148	-0.0191707890194346	0.2413273347573	0.0904188262695437	0.239431500635476	0.135598737366625	0.0418810884351373	-0.016756992318202	0.253477664801542	-0.0240914504362779	0.00107247724871442	0.0218204559260819	0.0372394732787145	0.264865370674446	-0.0232317277882493	0.0553323321573003	-0.0109199450908433	0.0328667938117589	0.135051728185892	0.0127245040143531	0.0416067069635751	0.0314610012559749	0.0303026238060251	0.222199207954421	0.0515738280674293	0.0169844675018866	0.0367519491338814	0.119538890662833	0.0353465427483274	0.0175935373393788
MEmagenta2	-0.223080069414517	-0.248302983853853	-0.1279600224307	-0.24563358182186	-0.266468165266404	-0.237974646122379	-0.196694363592293	-0.182040739962517	-0.259856587546421	-0.257597461123668	-0.113041406010724	-0.0351308797275351	-0.0612801004208473	0.0179431596675665	-0.0732731010131596	-0.0206853700206485	-0.0347145608381057	-0.0551482030867288	-0.0341471011912632	-0.108899937941133	-0.0082398778275584	-0.0359539879125184	0.0136720862238632	-0.0105562045080352	0.000675852710294169	-0.0447317255333942	0.0679876701053684	-0.0200654343199456	0.0264814565778454	-0.00436670596638128	0.101483020760836	0.070628905505301	0.151964541685045	0.148200445275967	0.163978896106823	0.112739927709667	0.181383402662305	0.142450853725437	0.0779978595941302	0.0240608124766249	0.135819695463573	0.145081921235876	0.156608290692893	0.141116782947936	0.191824259810242	0.202270950779412	0.208852454248562	0.188028393482131	0.120921055712783	0.113670522292114
MEmagenta3	0.0135859311015091	-0.0142531814696309	0.0591840152907325	-0.0433216901624642	-0.12791812971487	-0.0351737968660581	0.0351729051900454	0.030014557047597	-0.0709375685726964	-0.0891603294132223	0.0522539657784343	-0.129979976885871	-0.0627176727358147	-0.0820831069986589	-0.056202977499296	-0.342809516274046	-0.0022669592378713	-0.278470498491894	0.0286113398121185	0.0120888923464733	-0.111970872103818	0.185626713966279	0.014725112845029	-0.209885216005996	-0.0703205604742768	-0.196919514843287	-0.157815944277769	-0.113312407400338	0.0979495148911496	0.0623115597142873	0.106311929430554	0.0522757265513821	0.052239567082726	0.0631480429720686	-0.169598547660321	0.114236436750649	-0.0110392674097918	0.108548129495375	-0.0013320394200477	0.273950518160127	0.235025508770036	0.180280383004999	0.130600668299683	-0.367385408338203	0.145345189019065	0.24275462150969	0.0572260646832729	0.00933255870113944	0.183269873628724	0.198805456213096
MEmagenta4	-0.230422551779733	-0.266070493734459	-0.203592045269534	-0.255829686314458	-0.277825727423133	-0.285804208584406	-0.227163406908751	-0.223001567080686	-0.260871513575409	-0.26424147973902	-0.0213699973009839	-0.00203479649782001	0.0976043520722261	-0.0908710310309985	0.0764781240718818	0.15838362646719	-0.0410032604034032	0.0714791208411098	0.15545095846732	0.00333953054420318	0.101415855147673	0.0813963413603183	0.054941679085401	0.0234270008215164	0.0328293462188032	0.0284408151104472	0.134968614685572	-0.00554155238806449	-0.0533493392484028	0.0509410692019298	-0.0203998594989332	0.0773333354552073	0.0230587867606294	0.146064872887264	-0.117760468479395	0.179301961297862	-0.0237641487204349	0.16354767198971	0.145694729757464	0.135664680514451	0.141446630835516	0.0658647256487395	0.0400672992097858	0.143722305883289	0.111482586165137	0.0712057768559688	0.0619445596394472	0.098653157320152	0.156823914498311	0.0379437051635011
MEmaroon	-0.226949669949528	-0.250218842909729	-0.143928139535722	-0.256878941275307	-0.253228649639601	-0.232722304985985	-0.221955169885023	-0.202517560238124	-0.252674639916969	-0.250075493266267	-0.0752518360981361	-0.059938411467426	-0.0226610990062413	-0.0383786410870411	-0.0267246966754284	-0.0755471596637688	-0.0579328079998995	-0.0946474002959403	0.00499992465239577	-0.0024477854857762	0.070177298914949	0.0765528767903178	0.0191194615454354	-0.0173394857549295	0.0497248367931555	-0.0766781047485784	-0.00564170078188643	-0.0159524647688461	-0.0246823479659505	0.0424005334086111	0.129351194153527	0.102953491332365	0.0662943108188022	0.16264832978173	0.0459632976823757	0.170622028784965	0.121972629225082	0.137296387014726	0.0864511058061508	0.169257488797331	0.164023080215473	0.170377635780817	0.159203378576653	0.0279907761161929	0.187479195030428	0.23569084866597	0.021103244977001	0.145009109690242	0.220735125299849	0.0975757635475592
MEmaroon4	-0.241921984221293	-0.24870137078563	-0.228431977702983	-0.242735903344632	-0.251351194174239	-0.194774326081091	-0.23822249874819	-0.218067954713204	-0.258206717042716	-0.244603539158367	-0.0486909399809177	0.0365585350239313	0.0813819288337074	-0.129974336672885	-0.0568106515370767	0.14075396040822	-0.041951827503755	0.0525056879120094	-0.0490698786755201	0.0500763909136098	0.0116925508274479	0.0848666668378569	-0.0143739402158283	-0.0374003623802931	-0.0492267421914929	0.141141061981903	0.116336994141719	0.0270655944882935	-0.0324100236741964	-0.00812751364151165	0.129508834411743	0.011261154598106	0.0817769069430043	0.0969926128019311	-0.0733753633376292	0.181153055841178	0.0521427871910088	0.172550631299218	0.114286050289421	0.142662176492604	0.161352744296787	0.156413057053787	-0.0573527303846838	0.15746773617938	0.185500692568103	0.182733629572755	0.0702650615441841	0.0550688519655707	0.165375499038254	0.106890922712402
MEmediumaquamarine	-0.281268769594358	-0.271159226222904	-0.199136879207785	-0.248736556485178	-0.25733516849627	-0.26524192107987	-0.229801600382053	-0.2395659972141	-0.270349639306102	-0.278609766117836	-0.0777341473326033	0.0217128578462784	0.0211141289292043	0.0495458461727031	-0.0534838098333	0.014769234480018	0.0317047385360219	0.0117121662914416	-0.0356164133277486	0.0372039390955192	0.0648754725264175	0.0410205541118877	0.044984632045476	0.0406304649282745	0.0746248515685478	0.0328887008707658	-0.00982227503491897	0.00627445548444773	-0.00345832261284917	0.0222370803312841	0.183792657112031	0.0824061363647326	0.134641577930291	0.150998547165824	-0.0144616965304788	0.125939836617779	0.0591797912896708	0.118486018844353	0.0683186399267807	0.117004133214184	0.140645500309247	0.176924416229342	0.173039928575558	0.107496059293705	0.15279590601223	0.152419985301394	0.0204205905239776	0.0558640922333858	0.197555173779431	0.00255407483615108
MEmediumblue	0.227218345690722	0.222267613745713	0.303512706179158	0.200278827196001	0.219929693020519	0.228269606411278	0.250173062339632	0.259917432444939	0.20989487734921	0.232798186807968	-0.111595746367125	-0.167086476744396	-0.0903388524226944	-0.286718857286722	-0.0910046600692891	-0.0574433057928285	-0.20906100483035	-0.185177214924112	-0.00560054147287471	-0.0993505840845501	0.0289531064022243	-0.016199550668536	-0.00517691671630345	-0.0821666637918263	0.00587074797810923	-0.214010014917755	-0.0942551988954344	0.0284846140633854	-0.234285101985595	-0.0434429420770073	-0.0956761395877111	-0.034199697271373	-0.0135421826555046	-0.00842226019197783	-0.159056468978029	-0.0268615196444172	-0.0797484164951414	-0.0135107397733299	-0.00471398215296464	-0.0183527801072521	0.000198038880145357	0.00384263349807328	-0.0340720267563269	-0.0479647460484592	-0.0517869491746316	0.0771197992985698	0.00714872617118109	0.100924454881091	0.0901605245537225	-0.116141455027124
MEmediumorchid	-0.229227327112283	-0.245170688714506	-0.0840880291437714	-0.236715287428984	-0.259086266839062	-0.232698390007697	-0.186989921930821	-0.161898620098702	-0.242539616122015	-0.251969527382104	-0.148137960353651	-0.0520798726253074	-0.0726675386855613	0.00668123594512879	-0.0846270954534672	-0.0768362133653552	-0.051388162116184	-0.0902538282209442	-0.0581640084742575	-0.113983961713702	0.00363409245501285	0.00311179612093865	0.0441155500224178	0.00576229211278687	0.0088224121941258	-0.0129927660672782	-0.00549879961180129	-0.0402283788694253	0.0620790303908749	-0.00705812385531507	0.119644382839164	0.10461252297867	0.127153382877545	0.174101149259968	0.084337073793718	0.0714416963674306	0.128688376297199	0.0992991855377198	0.0981155518878289	0.092335753617508	0.149208862857923	0.158693641874276	0.217142446865145	0.0915975243541681	0.221689943466615	0.23562159609726	0.175757851112168	0.180061590666273	0.176399334227091	0.104192107973238
MEmediumorchid1	-0.0905329881615193	-0.11487499532575	-0.0100716506880969	-0.132118641156866	-0.155271387466444	-0.107104391949923	-0.0980290081986219	-0.0595400727997529	-0.123260091416596	-0.117362959460382	-0.163037722958271	-0.208265084437787	-0.108014195779059	-0.176258140049032	-0.132560618758536	0.0189718660648572	0.397481813793166	0.252827674708326	-0.164697503957789	-0.0727299998037416	0.0290576034901558	0.0631435763051496	0.145294932359	0.140890788671363	0.0139197661930246	-0.14425623514985	0.0251514110545753	-0.2173495029884	0.247854487494659	-0.0615602205357574	-0.0130172182358145	-0.0198299463302126	-0.0318523199593068	0.278169288419594	-0.125842612506651	0.270105879982959	-0.0240897334636368	0.221250921259077	-0.00234812766321614	0.180562790020649	0.0364328582655314	0.00019773430596785	0.0964998561004174	-0.0360060344451095	0.100754597534212	-0.0542427272470825	0.0178094772383884	-0.0245184678303744	0.199788639788745	0.0524766356737593
MEmediumorchid2	-0.266262691161653	-0.252225523485269	-0.190953449842415	-0.247241524245191	-0.276792276847984	-0.246634365759714	-0.227493590885833	-0.21217582125465	-0.279413092625093	-0.289195966061255	0.0275351623275803	-0.0416040777457153	0.0691502264278634	-0.0847665849963247	0.0316409886882322	-0.00174550810246225	-0.0577879825176262	-0.0505404046394041	0.0967614756212686	0.0161236467290345	0.0899163606580507	0.0962637548494332	0.0571322359509342	0.0283119619911582	0.050527004733661	-0.0317708904873759	-0.0072561614450052	0.116672857571342	-0.0101790537123528	0.0549100640675876	0.0627508571550128	0.0676681712205494	0.0320005204310023	0.136248060621476	-0.0764225927819755	0.10179770156063	0.0153324627650269	0.0932460783238837	0.178617786832608	0.105549196175151	0.169196482225076	0.161516101506121	0.0820294862985154	0.07033584545078	0.102232988648923	0.153514070427089	0.0754397927120349	0.113197440202012	0.252591159332298	0.142251617092964
MEmediumorchid3	0.205630573284649	0.18848796278263	0.340324206992682	0.170692881630567	0.164223969580376	0.199523921079006	0.238322429203722	0.260229286766116	0.175543368639605	0.180335607736872	-0.25877236188056	-0.172882387047505	-0.102365182125983	-0.208718692727565	-0.148157650714441	0.130776656597045	-0.00216910548897189	0.0540528285298584	-0.175475964245186	-0.246389283852657	-0.132882631738565	-0.0663745505093115	-0.00629506893070366	0.0314830787427644	-0.0234376064019214	-0.27456345015525	0.114425678563749	-0.174219613070178	-0.0577444083626327	-0.13301957001759	-0.0652568273518962	0.0169475409532106	0.00731962257206336	0.0651145928410716	-0.08658306395219	0.0946359850930543	-0.0996404503759176	0.0625574457796353	-0.00449299103829911	-0.0822133704554039	-0.0276385344671797	-0.02840430679822	0.0391199437817582	0.0543951940125881	-0.0286900321672831	-0.093524626074317	0.0125825904752921	0.031963635223064	-0.0349542935729873	-0.103822977338665
MEmediumorchid4	-0.246454125306241	-0.257560210714569	-0.156040408483395	-0.249215771172876	-0.258310491826822	-0.239424762046428	-0.21590493092224	-0.229406228720421	-0.243918351241696	-0.251060075868781	-0.0592689591586389	0.0233505003796649	-0.0313995127877612	0.153280389410985	-0.0411207763023387	-0.0717230696340556	-0.0484545601181563	-0.106183627266107	0.0157739257991576	-0.0624331777240637	0.0824165724565002	-0.0533714686898189	0.0587456245310188	0.0180654819619059	0.00697697267483586	0.0935313871911321	-0.0182960514496033	-0.00950925971139562	0.0406493416265084	0.062060747871649	0.107045752230044	0.0831587773187879	0.104947532418677	0.133167304764769	0.0605735933872696	0.0096573330972133	0.0853750135093121	-0.0017213339709963	0.135843873492034	0.00663910489158056	0.170662871138713	0.142700758911464	0.148820111922272	0.231429179966227	0.175676584443701	0.149345834972719	0.105811963667212	0.282580058096009	0.0751347912986313	0.087355769686411
MEmediumpurple	-0.248214050518958	-0.261763224067081	-0.171813952240299	-0.256169392242098	-0.257538574414462	-0.252532773776855	-0.224359502455436	-0.216557066474261	-0.262025066356098	-0.248715575383045	-0.0931225929553808	0.0534997309881203	0.0149312919526913	-0.0956566380996903	-0.0252662613126943	0.151830089337002	-0.0910908550827391	0.0407562669701636	-0.0988981024549951	0.0202972552227501	0.0278663816570938	0.0341408656259736	0.0268899637151919	-0.0228503849197529	0.00825369940201722	-0.01490215936054	0.135448418950652	0.0017394831989262	-0.0237936462265556	0.0383330115375963	0.159846443670406	0.0797540701537114	0.0865860053228143	0.104021504572514	-0.006013583916513	0.144502761710626	0.0756541023682336	0.122248055439452	0.0508781018217183	0.0854633339824184	0.17744844061199	0.192173693714351	0.0926816745823473	0.170712540124561	0.184276551872946	0.206797963557104	0.0922365327787496	0.055326925909475	0.163646413054933	0.0730418284509256
MEmediumpurple1	-0.194664989629908	-0.209613404848909	-0.0948009565114975	-0.226588355797599	-0.233948524097577	-0.194913321911498	-0.168604066415381	-0.156161744667653	-0.220175936212867	-0.214250775769591	-0.107853490931795	-0.0525502662861903	-0.00837304422175957	-0.14536128252797	-0.0944620125302452	-0.12973295172117	-0.065210314353894	-0.136746027481341	-0.0634982508907236	0.0187659474803927	0.0499186777181929	0.0652162194796344	-0.0663799023219915	-0.109818058909931	-0.0336992098048253	0.0325277149902838	0.0032800740137809	-0.0611188170588065	-0.0260036211281494	0.00757870349426291	0.13367840864651	0.055144934670042	0.0574124216774338	0.165469434599411	0.111553731743075	0.19855159543127	0.177080033637551	0.176675177043359	0.102771355869674	0.18303488182267	0.19581639573931	0.17490346889815	0.108516032574737	-0.0109380685144114	0.205823681234788	0.295923814639431	0.076125793405728	0.0589213324485729	0.201084986907696	0.16969257637973
