CPD Fam Hos Lab Res Wild
neg_11123 19.7480817752308 21.4270792614876 18.9851208849015 20.6463683798248 17.482212376087
pos_6632 18.3419178133857 19.1859978165703 17.0453235868726 19.4648598150955 9.14003327765196
pos_7011 10.5159305057621 12.2729967599751 10.5692809364862 11.2136921781922 11.0401463593073
pos_14958 13.1157796537171 16.0783074373671 13.3383957693855 15.1426133687309 9.0002778697242
pos_17096 12.5416467022894 14.8224218531046 12.1689261808189 14.2356550963069 21.1413162537203
pos_22604 14.255698701197 11.470034507325 12.3633464010542 12.1331400476099 10.134521543527
neg_12303 17.1678558069606 18.6585210181733 16.7160446211179 18.0405324660114 18.8141244588093
neg_13299 14.4131185469658 17.9761844121717 14.3910380991083 16.9968406168694 11.8278895247047
neg_14049 15.2347066546384 15.850130883076 13.9032622809445 16.0852250047335 6.94836269851203
neg_14410 19.9524432193769 21.0254651349838 19.7771266194659 20.7869941241258 18.9042070387509
neg_15678 8.16670996489064 10.6736873560943 8.74966214845693 8.83439574413381 4.46320622663626
neg_17521 17.6765307075971 18.9999169590397 16.8247203228462 18.29342595461 17.2223748208376
neg_18624 15.3998189429798 16.6114170697434 15.0970565348678 16.0258264193224 11.9946733968541
neg_22243 10.6998363108098 11.4312661372722 9.64772025091359 11.5062652067149 9.90098675511368
pos_10062 18.1562792931866 19.8327533362229 18.4331757315297 19.0941878235518 16.9355286146813
pos_20683 15.0251765882943 15.6435535735772 14.7646985654234 15.3225794922511 16.5660832025759
neg_1268 9.49773499505079 12.5215508459064 10.0725693718948 10.0025594899475 7.72361495616668
neg_1416 14.7515328616991 16.0280866940553 14.642827127514 14.8520540913559 13.5879820257521
neg_2655 12.6130476180848 13.3569293269364 12.0151671236158 12.995851336122 11.7382303311696
neg_2690 13.038080668925 13.9994588251378 12.3201868762179 13.3615630187269 15.3535844593453
neg_6660 22.6347920667853 23.3783180442888 22.1823439252737 23.1395385102849 15.33718792245
neg_7381 13.9207342028773 14.1257648920062 12.5304276112817 14.2100340536154 13.3838514271418
neg_12977 19.4402067573057 20.242283932145 19.3202106323662 20.3376620928705 20.2936835580745
