wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
fam01	0.524660659258929	0.510539718150305	0.518579371546804	0.500060758723686	0.51575080100923	0.515030573605435	0.507228393769845	0.523557519116796	0.506455886373332	0.516007569356044	0.249718166572671	0.194156983934253	0.243842681880339	0.300868159846072	0.218399472062737	0.276736411311614	0.356156430115386	0.31427002617261	0.272997625997795	0.181643912658614	0	0.205698498623357	0.256439293467765	0.287165690534465	0.290053310499827	0.384306762000405	0.238372589484653	0.181601226731776	0.333114760106004	0.155487016227755	0.186667547360367	0.192290053999752	0.260716808310657	0.262092685827302	0.232138315137237	0.199671080133219	0.213934868217726	0.218397242011744	0.260629555498314	0.226354743645171	0.183440528597066	0.219466008075481	0.238677510653174	0.271009006267059	0.211832886951664	0.243341505480122	0.353298673328497	0.294305911357817	0.269817337983001	0.227487834642443
fam02	0.444931052835965	0.437621630933879	0.43698030453007	0.434487037511634	0.455921715961416	0.437212459697567	0.437421093321232	0.445602105306863	0.437519277340369	0.453011086162522	0.18094525778653	0.232066642637158	0.224750457111631	0.301782696500817	0.200737536415443	0.283796387500826	0.343111737560097	0.318240202012227	0.249541130844766	0.177613663647741	0.205698498623357	0	0.255083307558982	0.253559840974927	0.256031388538661	0.448970950459514	0.254986159785488	0.166344222623652	0.309147635544429	0.163373586881847	0.200931848823327	0.1681711424378	0.226596652626581	0.228143891533411	0.264558784200109	0.201502706541322	0.226354296311212	0.200514111300456	0.178873576790802	0.0994892998608861	0.17582912125982	0.201788000082649	0.20178123475518	0.311947759954336	0.193084539540183	0.224604240557146	0.294169314052935	0.277125220969454	0.146177980913132	0.181058869544748
fam03	0.536659161792584	0.524805394888506	0.520101024884838	0.514371300570031	0.535712747584363	0.527365157178782	0.51683139511807	0.531673763947014	0.522647497541324	0.536214912409849	0.232501565880849	0.229411832598164	0.269740394013029	0.281863843563371	0.209179835522208	0.287055091585435	0.220107869220858	0.214313400369352	0.294997328061881	0.266139175972059	0.256439293467765	0.255083307558982	0	0.184113320771773	0.170418907561081	0.373659178819355	0.257537439465892	0.197657640784794	0.180925039794744	0.21133852769927	0.259558212443714	0.20300538471508	0.232818063633919	0.169756212463048	0.263865319991172	0.269006012011406	0.256255123248424	0.251291507440186	0.266649721291363	0.258525311535693	0.260753478036111	0.244832405222865	0.246994976697808	0.275356867679818	0.262354004176972	0.283249917797419	0.309152604953139	0.291220345945478	0.310623619635071	0.282867005202578
fam04	0.47373565582767	0.46282875695901	0.456650832717327	0.464359013067715	0.483144832352878	0.465961617816423	0.46240888999448	0.466133561732676	0.467848423932858	0.480766110128085	0.270778378947988	0.264440592214981	0.295890946656791	0.260940232761971	0.187448282695452	0.291446887223366	0.226475020300894	0.22056221634394	0.259274994066306	0.28268315564522	0.287165690534465	0.253559840974927	0.184113320771773	0	0.135610611227373	0.443577945333491	0.258066862784067	0.223439120724687	0.215334052355572	0.211070808558322	0.255172204021829	0.181907764896235	0.213210099044215	0.190026822411137	0.251643727497709	0.264705462796995	0.263279700467797	0.244223039816037	0.261017847580415	0.285061056367628	0.262165550482514	0.25096894040978	0.216590334450561	0.264330163381644	0.256869198872508	0.305941838606173	0.284032093788565	0.284284446356029	0.304347368505051	0.307720907803293
fam05	0.487674995331178	0.477174526350092	0.47109921797856	0.480483110583601	0.496789655673225	0.478981315293068	0.47919704229628	0.482389206050992	0.482497436904916	0.493968567876368	0.25575029300205	0.27596206066027	0.302467898547148	0.273782876501839	0.185515436983807	0.290292267084287	0.191642534516571	0.192855002152571	0.28209453190454	0.274647203018396	0.290053310499827	0.256031388538661	0.170418907561081	0.135610611227373	0	0.437840497920493	0.256139947731657	0.219520598334014	0.194381356147373	0.211918203020881	0.245458818360211	0.193883099731721	0.213216613377495	0.189038267744048	0.258696955453532	0.270719586039024	0.253304756924143	0.253214231806227	0.278813225840746	0.278606353517188	0.268659974988465	0.251435454679312	0.21917682059958	0.284970111628611	0.265863505160137	0.299706448856581	0.308305185862907	0.282994904616216	0.300314830232736	0.317116057317443
fam06	0.611262161143286	0.615998899101424	0.616146391720913	0.583694160350594	0.588571863267657	0.609785817000735	0.592496441554571	0.613363849962463	0.5982099227086	0.595054957878339	0.420862620182079	0.317146417210779	0.366134490969917	0.470478862961659	0.412498227892215	0.430280841430779	0.444763866024611	0.415528257221423	0.521867199011105	0.359069007832235	0.384306762000405	0.448970950459514	0.373659178819355	0.443577945333491	0.437840497920493	0	0.402207993763998	0.410848583320401	0.389452442819382	0.388610587897048	0.392237105086803	0.392715289752047	0.412060796033982	0.389399027191411	0.409539599369453	0.396448948940495	0.369677472134858	0.393750649768146	0.420520842670256	0.436020811521026	0.377551215287247	0.391039896240104	0.45757082130738	0.359223026587632	0.354378955618357	0.368767876942782	0.468087883546049	0.451953975911614	0.452057326522276	0.354846106261207
fam07	0.50524901291404	0.496832024776625	0.497106387810706	0.486848697815401	0.504286377912636	0.497374103758846	0.491591720457809	0.504320615776505	0.495467685548767	0.504055398505741	0.255839108676087	0.181426746721304	0.204035902120005	0.275688381138271	0.170572419700322	0.0558294469962151	0.346814349755702	0.147635987376828	0.301029190743776	0.221460134108951	0.238372589484653	0.254986159785488	0.257537439465892	0.258066862784067	0.256139947731657	0.402207993763998	0	0.204738047735969	0.314012078370147	0.176924980615326	0.206827466557221	0.186524132333675	0.200456686904437	0.289565268541395	0.187892687880054	0.238344301849422	0.17338184843773	0.197635346768106	0.252319155192117	0.272565775832032	0.206574278227359	0.197315774968505	0.258927601785955	0.218916689956637	0.204880701672514	0.2442377791462	0.241062261976143	0.269356883609689	0.303734178365076	0.26207047774738
fam08	0.486844245085574	0.477162412225784	0.478213186868925	0.469637009546044	0.48257938140451	0.477729885638798	0.47383030017045	0.485360854361436	0.476278824591305	0.482878833740952	0.190946504061109	0.190837161589742	0.229678218938982	0.252742769042672	0.166132309716873	0.238200441174861	0.335341818594342	0.279832934782622	0.226169566884065	0.178799561469027	0.181601226731776	0.166344222623652	0.197657640784794	0.223439120724687	0.219520598334014	0.410848583320401	0.204738047735969	0	0.288185291781843	0.132357638538479	0.189822412227032	0.148699232537012	0.192878465167564	0.228760739519522	0.221203159951566	0.239857086014605	0.197357624307836	0.22682226481521	0.189854401349424	0.203664047152815	0.171579645605042	0.175313211269321	0.191836056417423	0.223450701578272	0.190963974354415	0.220103395271412	0.283392832844691	0.245735268037971	0.222940961313008	0.232580521230324
fam09	0.508134693140777	0.499970558034548	0.484839675806856	0.496306064148668	0.513167288584403	0.501713250993451	0.492351335778969	0.500435539451195	0.50024419361059	0.512607428422627	0.313933320006178	0.285428745527241	0.349424681213657	0.295332209287287	0.270053981126775	0.367560278805707	0.157113036314577	0.220960866416134	0.370896379808566	0.324328844411934	0.333114760106004	0.309147635544429	0.180925039794744	0.215334052355572	0.194381356147373	0.389452442819382	0.314012078370147	0.288185291781843	0	0.275145752903348	0.280381106342505	0.252242013160412	0.29225667757976	0.153915489144374	0.275185866305667	0.289382398458679	0.284910106403185	0.263254451865829	0.303661105190787	0.309580831102184	0.290548083615504	0.29396471120617	0.265690955345741	0.325073573497878	0.279398697257281	0.334636378036153	0.311567571524468	0.279670139087072	0.340789757492777	0.289328873755052
fam10	0.472053752090049	0.462103469868955	0.464799515205684	0.449385442044385	0.471437469159247	0.462992444111733	0.456387878788859	0.471453030404347	0.457724342791863	0.469720568117824	0.207079721995154	0.157315811081318	0.198130234071521	0.24375840964417	0.140200613189826	0.221159355357996	0.326347924232786	0.270543205267299	0.22116182983819	0.143108675307225	0.155487016227755	0.163373586881847	0.21133852769927	0.211070808558322	0.211918203020881	0.388610587897048	0.176924980615326	0.132357638538479	0.275145752903348	0	0.152318764920638	0.1170083770346	0.175810668083817	0.213169458613292	0.190247869081297	0.185152877680487	0.176899313773416	0.182160566483746	0.199387865199738	0.18384342288001	0.136305601150219	0.16568120372464	0.171784216129107	0.200220326969928	0.153846359411125	0.214924693084379	0.271059317803813	0.217614659995838	0.211748724490699	0.175091245106263
res01	0.479136700678013	0.465146992041642	0.45286722530859	0.463729482978236	0.478360242934668	0.46509659358158	0.461533548199824	0.469184463812542	0.466689180517768	0.477762563959341	0.257496304329064	0.180990610730661	0.255687070466276	0.230815638290057	0.189543169954167	0.268511282823747	0.331054694761882	0.302607407531706	0.286503578895231	0.205340401341295	0.186667547360367	0.200931848823327	0.259558212443714	0.255172204021829	0.245458818360211	0.392237105086803	0.206827466557221	0.189822412227032	0.280381106342505	0.152318764920638	0	0.143935443080606	0.179962865705701	0.231116267875881	0.17770577765412	0.214416980898081	0.13826880026196	0.185492641750038	0.216822902781793	0.198733594254486	0.103431481534573	0.128572513218482	0.15914194521352	0.237652238798998	0.13425737807534	0.167091817039742	0.249433177065611	0.244468205838528	0.233771363007539	0.207374872739983
res02	0.441686766038378	0.437604440567344	0.430096594494355	0.422390196358762	0.44273270676985	0.434573694919052	0.426536106731367	0.438515455052366	0.430819272665465	0.441660122717325	0.200917052255798	0.161612822969135	0.214615300405861	0.203831845369009	0.148144313425352	0.228178674291261	0.317135984369064	0.269692866820301	0.227246637800765	0.17064286521137	0.192290053999752	0.1681711424378	0.20300538471508	0.181907764896235	0.193883099731721	0.392715289752047	0.186524132333675	0.148699232537012	0.252242013160412	0.1170083770346	0.143935443080606	0	0.153169681750229	0.203345405070272	0.185638866214795	0.220506803632356	0.174718853783164	0.189458309577609	0.178206439994274	0.189665187084996	0.143498056854419	0.141064348767804	0.130201622885386	0.21204659254852	0.140245673166896	0.203864421573499	0.219455737779992	0.21525206634947	0.220585746354095	0.185264535673246
res03	0.459994465554814	0.45275399744072	0.443492796743209	0.44981775649469	0.465656073009942	0.452503147215091	0.449652396005521	0.454705535501992	0.453099968365356	0.463995141663707	0.228253830324496	0.216326661709749	0.253836323997802	0.234190818853166	0.177883682184607	0.231030756704557	0.348716672005369	0.27952341292093	0.243029061893964	0.235314054010157	0.260716808310657	0.226596652626581	0.232818063633919	0.213210099044215	0.213216613377495	0.412060796033982	0.200456686904437	0.192878465167564	0.29225667757976	0.175810668083817	0.179962865705701	0.153169681750229	0	0.251538605865018	0.217572789992938	0.268140567563537	0.18871738926077	0.228617781136156	0.209486362655335	0.237145426733503	0.191360141336595	0.167858235105213	0.182279301802326	0.269079090728266	0.168751712140333	0.207712977858662	0.239085799956928	0.252118214891016	0.232112892796278	0.245292596691738
