Species Path	fam01	fam02	fam03	fam04	fam05	fam06	fam07	fam08	fam09	fam10	wild01	wild02	wild03	wild04	wild05	wild06	wild07	wild08	wild09	wild10	lab01	lab02	lab03	lab04	lab05	lab06	lab07	lab08	lab09	lab10	res01	res02	res03	res04	res05	res06	res07	res08	res09	res10	hos01	hos02	hos03	hos04	hos05	hos06	hos07	hos08	hos09	hos10
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__ML635J-15;g__Bact-19;s__Bact-19 sp031275085	0.6445724	0	0	0	0	0.47195986	0	0	0	0	0	0	0	0	0	0	29.571106	0	0	0	0	0	0	0	0.56157583	7.8728187	0	0	0	0	0	1.44103628	0	0	0	0	0	2.6802554	0	0	7.0634456	0.20813271	0	0	0.19473489	0	0	7.1077533	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Butyricimonas;s_unclassify_g__Butyricimonas	0.46090382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	0.104930334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1566144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp030653695	2.0803857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter;s__Paludibacter sp903912795	0.27180752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	0.53648835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes intestinipullorum	0.34102347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes provencensis	0.38517118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp022767745	0.5170007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp902363575	102.61999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.987926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp937899895	2.826797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp944320685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp944322375	0.88337415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s_unclassify_g__Alistipes	0.625157	0	0.51920736	0	0	0	0	0	0	0.6346294	0	0	0	0	0	0	0	0	0	0	5.660346	0	4.36114466	3.3323824	0.6014938	0	0.32052603	0	0	0.12533164	0	0	0	0	0	0	0	0	0.6193025	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__RGIG9113;s__RGIG9113 sp017935625	0.24610926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14088982	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp934663885	0.24028414	1.0989009	0	0	0	0	1.1823509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.1296437	1.1049181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp947852905	0.89323914	0	0.51920736	0	0	0	0	3.6193949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s_unclassify_g__Tidjanibacter	0.39480042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__DFXE01;s__DFXE01 sp029892785	0	0.37654775	0	0	0	0	0	0.4888613	0	1.6279626	1.1349143	0	0	0	0	0	0	0	0	0	18.85239021	2.08258264	0.6928005	18.7928023	0	0	0	0	0	0	1.4633391	0	0	0.6109642	0	0	0	0	0	0.942953	0	0.6291124	0	0.25581312	0	0	0	0.8794075	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__DFXE01;s__DFXE01 sp031264865	4.589351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__JAJDIA01;s__JAJDIA01 sp030266465	1.508701	0	0	0	0	0	1.5088218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9060328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.59164405	0	0	0	0.4356207	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides chongii	0.5038784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8713164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6830738	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecis	2.0509117	0	0	0	0	0	0.18607694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.46176085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii	2.483881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4530458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113926545	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides hominis	0.55410564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp003473295	0.89727324	0	0	0	0	0	0	0	0	0.61524004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__QVMG01;s__QVMG01 sp029892605	0.32228604	0	0	0	0	0.28282896	0	0.35765174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7020345	0.18980181	0	1.935587	0.18396223	1.85667016	0.55731428	0	0	0	0	0	0	0	0	0	0	1.00017212	0.46229446	0	0	0.70488769	0	2.70044324	0	0	0.5984429
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__QVMG01;s__QVMG01 sp029893085	0.6183965	0.4709572	0	0	0	0	0.9529397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.0076173	1.5822664	2.0132794	2.28388885	1.2100721	0.62086597	0	0.80330295	3.18443985	0	0	0	0	0	0	0	0	0	0.6034743	0.3214309	0.15850098	0	0.22217841	0	0	0	0	0	1.25326412
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella sp031285565	1.06345427	0	0	0	0	0	1.1059187	6.64513808	0	0	0	0	0	0	0	0	0	0	0	0	0	49.6262656	4.22708615	0	0.93645452	0	0	0	0	0	0	0	0	0.6904071	0	0	0	0.58870746	0.96918872	0	0	0	0	0	0	0.53622226	0	1.88972536	0	2.731524
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella sp031285685	0.52678245	0	1.1512661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33147547	0	0	0	0	0	0	0	0	0.124970004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA4181;g__JAIRLS01;s__JAIRLS01 sp031275285	0.79587895	0	0	0	0	1.13855957	0.2329407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.58096515	0	0	0	0	0	0	0	0	0	0	0.5092903	0	0	0	0.75504756	0.6349418	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__JAISFN01;s__JAISFN01 sp031263585	0.48342907	0	0.40556327	0	0	0	0	10.3217813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4469679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f_unclassify_o__Bacteroidales;g_unclassify_o__Bacteroidales;s_unclassify_o__Bacteroidales	0.34386358	0.67279613	0	0.78636929	0	0	0.53755563	0.35452085	0	0	0.5752442	0	0.1669955	0	0.06499795	0	0.22726575	0	0	0	0	2.01559724	1.03959746	0	1.31614318	3.48698304	2.1207979	0	0.53610459	3.60870955	0	0	0	0.21423432	0	0.22038528	0.32832238	0	0	0.9450497	1.0496387	3.11506256	0.54460174	1.26293863	2.60414828	0	1.1516879	0.2528451	0.86378026	8.77289894
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__Sediminibacterium sp947380905	0.5469095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium saliperosum	0.23020425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella;s__Winogradskyella sp002706045	0.055362046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f_unclassify_o__Flavobacteriales;g_unclassify_o__Flavobacteriales;s_unclassify_o__Flavobacteriales	0.24462664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55136985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52867585	0.3413495	0.2825979
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o_unclassify_c__Bacteroidia;f_unclassify_c__Bacteroidia;g_unclassify_c__Bacteroidia;s_unclassify_c__Bacteroidia	0.9943966	0	0	0	0.49252212	0.74997439	0.10157305	0.2232506	0	0.4346874	0.29001886	0	0	0	0.19066066	0	0	0	0	0	0	1.0942755	0.64049585	9.5415788	2.00745314	0	1.63878239	0	0	2.13009362	0	0.18021166	0	0	0	0.38091296	0	0	0.40167545	0	0.44803226	1.8265841	0	12.4546913	1.7131923	0	0	0	0.11587734	0
d__Bacteria;p__Bacteroidota;c_unclassify_p__Bacteroidota;o_unclassify_p__Bacteroidota;f_unclassify_p__Bacteroidota;g_unclassify_p__Bacteroidota;s_unclassify_p__Bacteroidota	0.231082794	0	0	0	0	0	0	0.14883372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29101485	0	0	0	0	0	0	0	0	0	0	0
